Hugo ID	Name
GCN5L1	GCN5-like 1
NPC1	Niemann-Pick disease, type C1
STARD3	CAB1, Homo sapiens MLN64
APOBEC3B	phorbolin I
IRF3	interferon regulatory factor 3
TAF2N	putative RNA binding protein (RBP56)
FOLR2	FOLATE RECEPTOR BETA PRECURSOR
RAB11B	YPT3
ERP29	ERp29
GTF2F1	General transcription factor IIF
GBP1	Guanylate binding protein 1, interferon-inducible
S100A11	Calgizzarin
KRT18	Keratin 18
SKIV2L	Ski-W mRNA for helicase
SCYE1	endothelial-monocyte activating polypeptide
FLOT2	surface antigen (flotillin 2)
TFRC	Transferrin receptor (p90, CD71)
UBE2H	Ubiquitin-conjugating enzyme E2H
ANXA7	Annexin V (endonexin II)
CFLAR	FLICE-like inhibitory protein long form (FLIP)
LGALS3	Lectin, galactoside-binding, soluble, 3 (Galectin-3)
MVP	Lrp
MYL4	Myosin, light polypeptide 4, alkali
BC-2	BC-2 protein
PRG1	Proteoglycan 1, secretory granule
DNAH9	dynein-related protein
ATOX1	copper transport protein HAH1
P4HA1	Procollagen-proline, 2-oxoglutarate 4-dioxygenase
MGC2840	putative glucosyltransferase
GLDC	Glycine cleavage system protein P
SEPW1	selenoprotein W (selW)
COX6C	CYTOCHROME C OXIDASE POLYPEPTIDE VIC
EIF2B1	Eukaryotic translation initiation factor 2B alpha subunit
CD59	CD59 antigen p18-20 (Protectin)
CD59	CD59 antigen p18-20 (Protectin)
LY6E	retinoic acid induced RIG-E precursor
IRF4	Interferon regulatory factor 4 (MUM1)
EMP3	YMP
TEGT	Testis enhanced gene transcript
CASP3	cysteine protease CPP32 isoform alpha (Caspase 3)
ACVR1	SERINE/THREONINE-PROTEIN KINASE RECEPTOR
QSCN6	V-akt murine thymoma viral oncogene homolog
IL2RB	Interleukin 2 receptor beta chain
HARS	Histidyl-tRNA synthetase
