Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
Xist	inactive X specific transcripts	213742	-23.31	0.0014
Xist	inactive X specific transcripts	213742	-18.66	0.0001
Prg4	proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)	96875	-4.63	0.0011
Saa3	serum amyloid A 3	20210	-3.12	0.0011
Cyp1a1	cytochrome P450, family 1, subfamily a, polypeptide 1	13076	-2.84	0.0018
Thrsp	thyroid hormone responsive SPOT14 homolog (Rattus)	21835	-2.46	0.042
St13	suppression of tumorigenicity 13	70356	-2.46	0.0025
3110048L19Rik	RIKEN cDNA 3110048L19 gene	73233	-2.27	0.0156
Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	170439	-2.26	0.0016
D1Pas1	DNA segment, Chr 1, Pasteur Institute 1	110957	-2.2	0.02
Nt5c3l	5-nucleotidase, cytosolic III-like	68106	-2.18	0.0058
Utx	ubiquitously transcribed tetratricopeptide repeat gene, X chromosome	22289	-2.17	0.0036
Zfp386	zinc finger protein 386 (Kruppel-like)	56220	-2.17	0.0047
Npr3	natriuretic peptide receptor 3	18162	-2.16	0.0412
Zfp707	zinc finger protein 707	69020	-2.16	0.0087
Gzma	granzyme A	14938	-2.15	0.0038
Bpgm	2,3-bisphosphoglycerate mutase	12183	-2.13	0.0036
Pcdhb11	protocadherin beta 11	93882	-2.11	0.0139
Rsad2	radical S-adenosyl methionine domain containing 2	58185	-2.07	0.0224
Hnrpk	heterogeneous nuclear ribonucleoprotein K	15387	-2.07	0.0041
Fcna	ficolin A	14133	-2.06	0.0033
Eif2s3x	eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked	26905	-2.06	0.0043
Plat	plasminogen activator, tissue	18791	-2.05	0.0041
BB146404	expressed sequence BB146404	103511	-2.05	0.027
Aspn	asporin	66695	-2.05	0.0097
Npr3	natriuretic peptide receptor 3	18162	-2.04	0.0156
Tmem46	transmembrane protein 46	219134	-2.04	0.0022
Rex2	reduced expression 2	19715	-2.02	0.0043
Tmsb10	thymosin, beta 10	19240	-2.01	0.017
1700123A16Rik	RIKEN cDNA 1700123A16 gene	73610	-2	0.009
Thap2	THAP domain containing, apoptosis associated protein 2	66816	-1.99	0.0024
Eif5a	eukaryotic translation initiation factor 5A	276770	-1.99	0.0046
Cenpb	centromere protein B	12616	-1.99	0.0053
4632417K18Rik	RIKEN cDNA 4632417K18 gene	107373	-1.99	0.0046
EG434179	predicted gene, EG434179	434179	-1.99	0.0039
Zfp518	zinc finger protein 518	72672	-1.98	0.0101
Tubb2a	tubulin, beta 2a	22151	-1.98	0.0052
Tcrb-V13	T-cell receptor beta, variable 13	269846	-1.98	0.0059
Spon2	spondin 2, extracellular matrix protein	100689	-1.97	0.0025
Slc38a4	solute carrier family 38, member 4	69354	-1.97	0.0018
BC002199	cDNA sequence BC002199	211556	-1.95	0.0055
Hsd17b12	hydroxysteroid (17-beta) dehydrogenase 12	56348	-1.95	0.0049
Rgs18	regulator of G-protein signaling 18	64214	-1.95	0.005
BC068171	cDNA sequence BC068171	245474	-1.95	0.0102
Hspa8	heat shock protein 8	15481	-1.94	0.0049
Angpt1	angiopoietin 1	11600	-1.93	0.0073
D0H4S114	DNA segment, human D4S114	27528	-1.93	0.0054
5830431A10Rik	RIKEN cDNA 5830431A10 gene	76024	-1.93	0.0149
Dck	deoxycytidine kinase	13178	-1.92	0.0077
Sh3bgrl	SH3-binding domain glutamic acid-rich protein like	56726	-1.92	0.0051
2810485I05Rik	RIKEN cDNA 2810485I05 gene	72826	-1.92	0.0033
Sec13l1	SEC13-like 1 (S. cerevisiae)	110379	-1.92	0.0071
LOC626802	similar to zinc finger protein 709	626802	-1.92	0.0143
Gucy1a3	guanylate cyclase 1, soluble, alpha 3	60596	-1.91	0.003
Cenpc1	centromere protein C1	12617	-1.9	0.003
Trim59	tripartite motif-containing 59	66949	-1.9	0.0027
Mfap4	microfibrillar-associated protein 4	76293	-1.9	0.0104
Arih1	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila)	23806	-1.9	0.0186
Atp6v1e1	VATPase, H+ transporting, lysosomal V1 subunit E1	11973	-1.89	0.0066
Pitpnb	phosphatidylinositol transfer protein, beta	56305	-1.89	0.0043
OTTMUSG00000000971	predicted gene, OTTMUSG00000000971	100034251	-1.89	0.0171
Cct3	chaperonin subunit 3 (gamma)	12462	-1.89	0.0022
BC023719	cDNA sequence BC023719	548632	-1.89	0.0051
Car8	carbonic anhydrase 8	12319	-1.88	0.0056
Vamp4	vesicle-associated membrane protein 4	53330	-1.88	0.0067
1300003B13Rik	RIKEN cDNA 1300003B13 gene	74149	-1.88	0.0022
Ms4a6b	membrane-spanning 4-domains, subfamily A, member 6B	69774	-1.87	0.0057
Bmp5	bone morphogenetic protein 5	12160	-1.86	0.0121
Txndc1	thioredoxin domain containing 1	72736	-1.86	0.0058
Ctla2b	cytotoxic T lymphocyte-associated protein 2 beta	13025	-1.85	0.0412
Txk	TXK tyrosine kinase	22165	-1.85	0.0044
Uble1a	ubiquitin-like 1 (sentrin) activating enzyme E1A	56459	-1.85	0.0063
3110023E09Rik	RIKEN cDNA 3110023E09 gene	68038	-1.85	0.0126
Ptger3	prostaglandin E receptor 3 (subtype EP3)	19218	-1.85	0.0082
Cma1	chymase 1, mast cell	17228	-1.84	0.0171
5530601H04Rik	RIKEN cDNA 5530601H04 gene	71445	-1.84	0.0051
Rcbtb2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	105670	-1.84	0.0077
Lrat	lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase)	79235	-1.83	0.0221
Zfp617	zinc finger protein 617	170938	-1.83	0.0064
Gm276	gene model 276, (NCBI)	238726	-1.83	0.0058
EG245305	predicted gene, EG245305	245305	-1.83	0.0355
Grpel1	GrpE-like 1, mitochondrial	17713	-1.82	0.0063
Neu3	neuraminidase 3	50877	-1.82	0.0047
Nt5c3	5-nucleotidase, cytosolic III	107569	-1.82	0.0041
Ireb2	iron responsive element binding protein 2	64602	-1.82	0.0139
Mitd1	MIT, microtubule interacting and transport, domain containing 1	69028	-1.82	0.0026
Ube2v2	ubiquitin-conjugating enzyme E2 variant 2	70620	-1.82	0.0047
