Affy probe set ID	Gene name	EntrezGene ID	fold change over ER-negative	perm. p-value
204379_s_at	FGFR3 fibroblast growth factor receptor 3	2261	4.32	0.000061
204686_at	IRS1: insulin receptor substrate 1	3667	3.47	0.00001
221667_s_at	HSPB8: heat shock 22kDa protein 8	26353	3.46	0.000085
204014_at	DUSP4: dual specificity phosphatase 4	1846	3.42	0.004515
220038_at	SGK3: serum/glucocorticoid regulated kinase family, member 3	23678	3.3	0.016929
211535_s_at	FGFR1: fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffersyndrome)	2260	2.8	0.019118
205399_at	DCLK1: doublecortin-like kinase 1	9201	2.74	0.014443
209341_s_at	IKBKB: inhibitor of kappa light polypeptidegene enhancer in B-cells, kinase beta	3551	2.7	0.000001
206197_at	NME5: non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	8382	2.67	0.000016
202962_at	KIF13B: kinesin family member 13B	23303	2.58	0.000943
221207_s_at	NBEA: neurobeachin 2	6960	2.56	0.003208
202786_at	STK39: serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	27347	2.53	0.000082
210740_s_at	ITPK1: inositol 1,3,4-triphosphate 5/6 kinase	3705	2.5	0.000034
207119_at	PRKG1: protein kinase, cGMP-dependent, type I	5592	2.42	0.015191
219686_at	STK32B: serine/threonine kinase 32B	55351	2.42	0.000189
205448_s_at	MAP3K12: mitogen-activated protein kinase kinase kinase 12	7786	2.32	0.000002
202454_s_at	ERBB3: v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	2065	2.29	0.000206
204862_s_at	NME3: non-metastatic cells 3, proteinexpressed in	4832	2.27	0.000627
207169_x_at	DDR1: discoidin domain receptor family, member 1	780	2.26	0.008385
210749_x_at	DDR1: discoidin domain receptor family, member 1	780	2.24	0.009653
208779_x_at	DDR1: discoidin domain receptor family, member 1	780	2.22	0.011492
221918_at	PCTK2: PCTAIRE protein kinase 2	5128	2.22	0.000091
208383_s_at	PCK1: phosphoenolpyruvate carboxykinase1 (soluble)	5105	2.18	0.004562
213264_at	PCBP2: poly(rC) binding protein 2	5094	2.18	0.000343
