Clone ID	Gene Name	Ave. unmut./ave. mut.	p value
1269734	UG159556	0.4	0.00198
1272570	UG159556	0.41	0.00221
685312	NA	0.44	<.000001
825954	UG122383	0.49	0.000037
NA	FLJ20706	0.47	0.000015
NA	FLJ20706	0.49	0.000117
NA	FLJ20706	0.49	0.000116
1371231	NA	0.5	0.000139
1241410	UG120633	0.49	0.000145
2074111	NA	0.5	0.00172
1286077	NA	0.34	<.000001
NA	LC15506	0.27	<.000001
1338881	UG123579	0.44	0.00303
1352920	UG123579	0.37	0.000587
NA	GALECTIN-1	2.09	0.0011
1339166	UG271297	2.41	0.00327
NA	KIAA0808	2.47	0.000753
NA	Gravin	2.69	0.000794
NA	Gravin	2.3	0.00125
NA	Dystrophin	2.56	0.000088
NA	Dystrophin	3.62	0.000008
NA	LC13076	2	0.00126
NA	ckshs1	2.14	0.000248
NA	MYBB	2.39	0.000009
NA	ZAP70	4.52	<.000001
NA	ZAP70	4.07	<.000001
NA	ZAP70	5.68	<.000001
NA	Lipoprotein lipase	5.75	0.000003
NA	AICL	5.6	0.000007
NA	LC23393	2.34	0.000012
NA	LC9883	2.48	0.000012
NA	FGFR1	2.23	0.00108
NA	Pak1	2.26	0.000099
NA	MDS019 phorbolin paralogue	2.26	0.000023
NA	MDS019 phorbolin paralogue	2.1	0.000534
NA	BCL7A	3.29	0.000341
NA	BCL7A	3.27	0.000142
NA	BCL7A	3.89	0.000062
NA	2-5 oligoadenylate synthetase 3	2.58	0.00156
