Symbol	Function	Description	RWP	HDM
Clca3	Epithelial products	Chloride channel calcium activated 3	41.3	26.9
Itln2	Epithelial products	Intelectin 2	3.7	5.7
Muc5ac	Epithelial products	Mucin 5, subtypes A and C, tracheobronchial/gastric	2.1	3
Retnlb	Epithelial products	Resistin-like b	2.5	6.3
Slc5a1	Epithelial products	Solute carrier family 5 (sodium/glucose cotransporter), member 1	1.5	2.7
Ccl12	Chemokines	Chemokine (C-C motif) ligand 12	1.2	2
Ccl8	Chemokines	Chemokine (C-C motif) ligand 8	12.8	23.4
Ccl9	Chemokines	Chemokine (C-C motif) ligand 9	2.7	5.7
Cxcl1	Chemokines	Chemokine (C-X-C motif) ligand 1	1.5	4.5
Cxcl12	Chemokines	Chemokine (C-X-C motif) ligand 12	1.1	2.3
Cxcl13	Chemokines	Chemokine (C-X-C motif) ligand 13	21.2	2.1
Cxcl5	Chemokines	Chemokine (C-X-C motif) ligand 5	1.2	2.3
Ccl11	Chemokines	Small chemokine (C-C motif) ligand 11	3.6	8.4
Mcpt2	Protease pathways	Mast cell protease 2	1.5	2.8
Mmp12	Protease pathways	Matrix metalloproteinase 12	7.2	16.6
Serpina3g	Protease pathways	Serine (or cysteine) proteinase inhibitor, clade A, member 3G	3.3	6.3
Serpina3n	Protease pathways	Serine (or cysteine) proteinase inhibitor, clade A, member 3N	1.5	3.2
Tfpi2	Protease pathways	Tissue factor pathway inhibitor 2	1.6	2.9
Igh-VJ558	Immunoglobulins	Immunoglobulin heavy chain (J558 family)	1.8	4.9
Igk-V8	Immunoglobulins	Immunoglobulin kchain variable 8 (V8)	1.6	3.1
Cd52	Host immune response	CD52 antigen	1.5	2.4
Cd83	Host immune response	CD83 antigen	1.4	2.6
C1qb	Host immune response	Complement component 1, q subcomponent, bpolypeptide	2.7	3.8
Irf4	Host immune response	Interferon regulatory factor 4	1.6	2.1
Il1rl1	Host immune response	IL-1 receptor–like 1	2.5	4.9
Lilrb4	Host immune response	Leukocyte immunoglobulin-like receptor, subfamily B, member 4	1.7	3.1
Lilrb4	Host immune response	Leukocyte immunoglobulin-like receptor, subfamily B, member 4	1.8	2.6
Ly86	Host immune response	Lymphocyte antigen 86	1.4	2.4
Spp1	Host immune response	Secreted phosphoprotein 1	1.6	2.9
Ifi30	Host immune response	IFN-g–inducible protein 30	1.4	2.2
Ctss	Antigen presentation	Cathepsin S	2.1	2.6
Ctsz	Antigen presentation	Cathepsin Z	1.5	2.7
Basp1	Signaling	Brain-abundant, membrane-attached signal protein 1	1	2
F10	Signaling	Coagulation Factor X	1.4	2.1
Creld2	Signaling	Cysteine-rich with epidermal growth factor–like domains 2	1.2	2.1
Lcn2	Signaling	Lipocalin 2	1.1	2.2
Mod1	Signaling	Malic enzyme, supernatant	1.4	2.2
Mapt	Signaling	Microtubule-associated protein t	21.3	22.1
Mapt	Signaling	Microtubule-associated protein t	21.2	22.2
Tgtp	Signaling	T cell–specific GTPase	21.1	2.8
Tenc1	Signaling	Tensin-like C1 domain–containing phosphatase	21.3	22
Thbs1	Signaling	Thrombospondin 1	1.8	2.8
Ctsk	Matrix homeostasis	Cathepsin K	2	3.2
Col3a1	Matrix homeostasis	Procollagen, type III, a1	21	2.3
Col6a2	Matrix homeostasis	Procollagen, type VI, a2	1.4	2.1
Mki67	Growth factors/cell growth	Antigen identified by mAb Ki67	1.2	2.8
Igf1	Growth factors/cell growth	Insulin-like growth factor 1	1.6	2.4
Igfbp3	Growth factors/cell growth	Insulin-like growth factor binding protein 3	21.3	22.6
Igfbp3	Growth factors/cell growth	Insulin-like growth factor binding protein 3	21	22
Ltbp4	Growth factors/cell growth	Latent TGF-bbinding protein 4	21.3	22
Gclc	Arginine metabolism pathway	Glutamate-cysteine ligase, catalytic subunit	21.2	2.1
Eprs	Arginine metabolism pathway	Glutamyl-prolyl-tRNA synthetase	22	1.2
Gatm	Arginine metabolism pathway	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2.1	4.2
Atf3	Apoptosis	Activating transcription factor 3	21	2.1
Ctsb	Apoptosis	Cathepsin B	1.4	2
Adam8	Cell adhesion	A disintegrin and metalloprotease domain 8	1.3	2.1
Actb	Cell motility	Actin, b, cytoplasmic	2.1	21.7
Myh6	Cell motility	myosin, heavy polypeptide 6, cardiac muscle, a	22.4	21.8
Myl7	Cell motility	Myosin, light polypeptide 7, regulatory	22.2	21.9
Alox15	Lipid metabolites/mediators	Arachidonate 15-lipoxygenase	1.5	2.8
Ch25h	Lipid metabolites/mediators	Cholesterol 25-hydroxylase	1.5	2.5
Pon1	Lipid metabolites/mediators	Paraoxonase 1	21.4	22.7
D17H6S56E-5	Others	DNA segment, Chr 17, human D6S56E 5	1.2	2.6
Mest	Others	Mesoderm-specific transcript	21.2	2.3
LOC56304	Others	Single-chain Fv antibody fragment scFv 7-10A mRNA	1.7	3.3
