Probe Set ID	Gene Symbol	Map	P BH	Median AML Like	Median NonAML Like
201655_s_at	HSPG2	1p36.1-p34	0.0021	59851	57096
201690_s_at	TPD52	8q21	0.0021	60396	74270
204150_at	STAB1	3p21.1	0.0021	70341	61344
204581_at	CD22	19q13.1	0.0021	53977	67254
205049_s_at	CD79A	19q13.2	0.0021	66689	83098
205267_at	POU2AF1	11q23.1	0.0021	51776	81220
206255_at	BLK	8p23-p22	0.0021	47351	60989
206398_s_at	CD19	16p11.2	0.0021	60593	76348
207134_x_at	TPSB2	16p13.3	0.0021	68118	59156
210084_x_at	TPSAB1	16p13.3	0.0021	62110	53630
212827_at	IGHM	14q32.33	0.0021	81184	97436
215116_s_at	DNM1	9q34	0.0021	49369	43223
215382_x_at	TPSAB1	16p13.3	0.0021	66138	58915
215925_s_at	CD72	9p13.3	0.0021	49878	65656
216474_x_at	TPSAB1 / TPSB2	16p13.3	0.0021	70110	59944
217023_x_at	TPSAB1 / TPSB2	16p13.3	0.0021	66965	60434
219396_s_at	NEIL1	15q24.2	0.0021	61702	74921
219753_at	STAG3	7q22.1	0.0021	58257	61258
220068_at	VPREB3	22q11.23/22q11	0.0021	48208	69062
227224_at	RALGPS2	1q25.2	0.0021	63989	74564
228377_at	KLHL14	18q12.1	0.0021	29744	47648
230877_at	IGHD	14q32.33	0.0021	60898	78435
232204_at	EBF1	5q34	0.0021	46318	60503
243780_at	NA	NA	0.0021	62330	81442
39318_at	TCL1A	14q32.1	0.0021	52803	82077
209374_s_at	IGHM	14q32.33	0.0036	91640	102441
221969_at	NA	NA	0.0036	55131	77215
227336_at	DTX1	12q24.13	0.0036	58729	63960
227646_at	EBF1	5q34	0.0036	38666	57687
229487_at	EBF1	5q34	0.0036	40068	53307
205683_x_at	TPSAB1 / TPSB2	16p13.3	0.0046	69580	57947
222285_at	IGHD	14q32.33	0.0046	43147	47395
227030_at	NA	NA	0.0046	59180	66413
239214_at	LOC100130458	9p13.2	0.0046	30053	33804
38487_at	STAB1	3p21.1	0.0046	71926	65614
206310_at	SPINK2	4q12	0.0056	90900	75099
236858_s_at	RUNX2	6p21	0.0056	46595	42985
244261_at	IL28RA	1p36.11	0.0056	40262	45427
235824_at	NA	NA	0.0068	69178	56922
207550_at	MPL	1p34.2	0.008	56867	45854
