Toxicological category	Accession no.	Gene symbol	Gene title	Biochemical category	Ek d1	Ek d3	Ek d7	Ek d14	wt d1	wt d3	wt d7	wt d14
Metabolism and Biotrans-formation	NM_031565	CES1B	carboxylesterase RL1	Biotransformation phase I	1	-1.7	-2.7	-1.9	-1.1	-1.5	-2.2	-2.2
Metabolism and Biotrans-formation	L46791	CES3	carboxylesterase 3	Biotransformation phase I	1	-1.4	-2.7	-3.4	-1.2	-1.7	-2.7	-1.9
Metabolism and Biotrans-formation	NM_020538	AADAC	arylacetamide deacetylase	Biotransformation phase I	-1.4	-1.3	-1.9	-2.5	1	-1.2	-1.5	-2
Metabolism and Biotrans-formation	AW142784	CYP4A12	cytochrome P450 4a12	Biotransformation phase I	1	1.6	1.5	1.9	1.7	1.8	2	1.9
Metabolism and Biotrans-formation	NM_133558	CML1 	Camello-like 1	Biotransformation phase II	-1.1	-1.3	-2.6	-2.9	-1.2	-1.1	-2	-2.1
Metabolism and Biotrans-formation	NM_022635	NAT8 	N-acetyltransferase 8	Biotransformation phase II	-1.2	-2.1	-3.3	-2.9	-1.3	-1.5	-2.4	-2.9
Metabolism and Biotrans-formation	AI072042	GGT6 	--glutamyl transpeptidase type VI	Biotransformation phase II	-1.4	-2	-2.9	-2.7	-1.3	-1.3	-1.6	-1.8
Metabolism and Biotrans-formation	NM_134349	MGST1 	microsomal glutathione S-transferase 1	Biotransformation phase II	-1.3	-1.4	-1.8	-1.8	-1.1	-1.3	-1.7	-1.7
Metabolism and Biotrans-formation	NM_134369	CYP2T1	cytochrome P450 2T1	Biotransformation phase I	1	-1.1	-2	-1.9	1.1	-2	-1.3	-1.3
Metabolism and Biotrans-formation	BF283000	WBSCR21	Williams-Beuren syndrome chromosome region 21	Biotransformation phase I	1.1	-1.4	-1.7	-1.9	-1.1	-1.1	-1.3	-1.4
Metabolism and Biotrans-formation	AI407458	ALDH6A1 	aldehyde dehydrogenase 6A1	Biotransformation phase I	1.8	2	1.6	2.1	1.1	1.1	-1.1	-1.1
Metabolism and Biotrans-formation	NM_022270	OCTN1 	organic cation carnitine transporter 1	Drug transport	-1.1	-1.1	-2.1	-1.8	1	-1.1	-1.5	-1.2
Metabolism and Biotrans-formation	NM_017224	OAT1 	organic anion transporter 1; SLC22A6	Drug transport	-1.1	1.1	-1.9	-1.7	1.1	-1.2	-1.3	-1.6
