Component	Gene Symbol	Fold
PM2-CI0111-001-A09	SPATA20	-3.629228009
CM0-BT0794-408-E03	FLJ20105	-3.487196926
CM0-BT0794-408-A04	XAB1	-3.376154963
RC0-CT0299-031-A04	MBOAT2	-3.129756482
IL0-HT0205-145-A11	TRAPPC3	-2.993659411
CM0-NN1156-629-D12	JPH4	-2.803317219
MR1-HT1064-015-G05	ST3GAL5	-2.758630311
MR0-CT0454-001-E04	HSPA9B	-2.699831295
RC2-CS0017-017-D09	SLC7A5	-2.672661826
PM0-HT0911-003-B04	ELAC2	-2.490278658
QV0-UM0091-387-B08	AMOTL2	-2.456976689
PM0-UM0018-004-F01	CSTF3	-2.36268569
QV4-HT0536-145-C06	PLK3	-2.344190521
RC5-HT0218-011-C02		-2.307694969
MR2-HT0788-006-F06		-2.301867675
QV2-EN0098-602-C09	HD	-2.296632896
MR0-RT0033-103-A10	GTF2A2	-2.217035996
QV3-BN0047-152-B06		-2.211274179
CM3-GN0092-408-F12	C15orf15	-2.196618204
RC3-CI0043-013-G06	PPHLN1	-2.188615577
QV2-NN0045-425-B11	RTN1	-2.175580778
QV1-DT0068-072-H01	CHMP2A	-2.172368329
MR1-RT0038-003-D10	ARHGEF17	-2.164485015
MR0-HT0241-004-F06		-2.155370793
QV1-FT0202-470-F06	DHX35	-2.127961926
QV3-OT0065-231-H11		-2.123164285
MR1-TN0045-009-F02	SURF6	-2.102569243
PM0-CT0263-005-E08		-2.099897545
CM3-SN0032-170-G03	CDC14A	-2.0921107
MR2-EN0092-002-F04	TAF12	-2.076685532
QV1-HT0311-050-F01	LIMK2	-2.047402717
RC4-OT0071-014-G04	SGK	-2.024023568
MR4-TN0114-203-H07	PARP1	-2.016604387
CM0-MT0352-746-B08		2.021909282
QV3-BT0537-069-E08	CTNND1	2.079445066
QV2-FT0010-304-A10	KIAA0265	2.083715794
QV0-HT0368-181-C05	EIF5B	2.109973114
QV3-HT0636-203-D10	AQP3	2.133166214
PM0-BT0527-001-D09	KLHL7	2.134747513
CM3-LT0079-092-E12	ANKRD28	2.140565815
RC4-ST0316-011-C11	ANKZF1	2.146114865
PM0-HT0911-016-D09		2.156626923
QV2-BT0685-259-A01	CSNK1G3	2.160216718
RC3-CT0369-011-C05	YIPF5	2.170017423
QV4-CI0153-521-G01	SLC37A3	2.190430233
CM0-HT0283-090-B05	LOXL3	2.235679922
PM3-HT0909-018-E07	INADL	2.270032012
MR4-TN0112-202-G07	CCNI	2.285740371
RC4-GN0253-012-G06	UNC84A	2.361811945
CM1-MT0245-624-C02		2.368177403
CM1-BN0116-171-H08	C12orf23	2.393595099
PM3-BT0346-001-H09	NUDCD3	2.461930646
PM2-CT0265-014-H10		2.469928852
CM0-BN0106-293-G07	TMCO3	2.474331569
IL3-ST0023-005-E07	ATP9B	2.475988522
MR4-GN0192-002-C05	CEP350	2.525551475
CM0-MT0187-787-G08	GENX-3414	2.56127844
MR4-BT0358-006-B06	RBL2	2.64972183
MR1-HN0069-010-C02	ITGA5	2.670199287
RC4-MT0161-011-C09	MTPN	2.675316931
PM0-BN0081-001-H08	KRT5	2.777484679
CM1-UM0039-173-F02	PRPS2	2.84031523
CM0-AN0007-490-C02		2.934893978
CM0-NN1005-289-D01	SDCCAG8	3.083354718
MR3-CI0184-002-E12	PCDH1	3.273436377
PM3-HT0605-002-H09		3.343244427
RC2-CT0298-011-C10	WWC3	3.366207503
CM0-LT0066-264-G06	TACC1	3.411317428
MR2-HT1163-003-B01	DDIT4	3.44394409
MR1-GN0172-005-G10	ADAM12	3.907832429
QV3-ET0196-372-A04	NUP62	3.975385041
PM0-CT0325-002-A09		4.212145531
MR0-BN0115-011-B02	NUP50	4.716200217
CM0-PT0049-140-B06	LDHA	5.507493846
MR1-SN0060-002-B11	SPATA13	5.606282334
PM0-HT1167-002-E08	ZNF395	6.178336914
PM0-ET0254-001-H03	NDRG1	6.573266151
MR0-HT0160-005-A01	ERRFI1	6.75656801
RC0-CT0323-011-C02	RP11-311P8.3	7.899117367
RC2-FN0200-017-E05	FAM102A	9.555593007
QV0-CT0581-419-C04	FLJ13137	36.86436155
