GenBank	Unigene	Name	Symbol	Fold change a	Function
U57721	Hs.444471	kynureninase (L-kynurenine hydrolase)	KYNU	3.74±0.67	Metabolism (22)
U61836	Hs.433337	spermine oxidase	SMOX	3.60±0.90	Metabolism (22)
X92521	Hs.154057	matrix metalloproteinase 19	MMP19	2.96±1.22	Metabolism (22)
D89050	Hs.445299	oxidised low density lipoprotein (lectin-like) receptor 1	OLR1	2.63±0.52	Metabolism (22)
U17760	Hs.436983	laminin, beta 3	LAMB3	2.33±0.44	Metabolism (22)
L13943				2.12±0.26	Metabolism (22)
X68285	Hs.1466	glycerol kinase	GK b	1.97±0.49	Metabolism (22)
X78711				1.90±0.26	Metabolism (22)
U55853	Hs.143600	golgi phosphoprotein 4	GOLPH4	1.56±0.12	Metabolism (22)
U58046	Hs.389559	eukaryotic translation initiation factor 3, subunit 10 (theta, 150/170kD)	EIF3S10	0.70±0.10	Metabolism (22)
L40392	Hs.197184	RNA-binding region (RNP1, RRM) containing 7	RNPC7	0.67±0.08	Metabolism (22)
U43286	Hs.118725	selenophosphate synthetase 2	SPS2	0.66±0.07	Metabolism (22)
D25218	Hs.71827	homolog of yeast ribosome biogenesis regulatory protein RRS1	RRS1	0.65±0.07	Metabolism (22)
J03626	Hs.2057	uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)	UMPS	0.63±0.16	Metabolism (22)
U14391	Hs.437459	myosin IE	MYO1E	0.63±0.11	Metabolism (22)
D10522	Hs.318603	myristoylated alanine-rich protein kinase C substrate	MARCKS	0.61±0.19	Metabolism (22)
D79993	Hs.132853	enthoprotin	ENTH	0.58±0.10	Metabolism (22)
D10704	Hs.77221	choline kinase	CHK	0.55±0.07	Metabolism (22)
L00352	Hs.213289	low density lipoprotein receptor (familial hypercholesterolemia)	LDLR	0.53±0.09	Metabolism (22)
L36720	Hs.106880	bystin-like	BYSL	0.51±0.11	Metabolism (22)
M98045	Hs.754	folylpolyglutamate synthase	FPGS	0.50±0.11	Metabolism (22)
U41387	Hs.169531	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 21	DDX21	0.49±0.19	Metabolism (22)
U08377	Hs.213739	splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)	SFRS8	0.43±0.09	Metabolism (22)
L05606	Hs.927	myosin binding protein H	MYBPH	0.37±0.11	Metabolism (22)
X04500	Hs.126256	Interleukine-1, beta	IL-1B	6.64±2.85	Immune response/Inflammation (21)
M57731	Hs.75765	GRO2 oncogene	GRO2	5.74±1.91	Immune response/Inflammation (21)
D10922	Hs.99855	formyl peptide receptor-like 1	FPRL1	2.86±0.27	Immune response/Inflammation (21)
