Symbol	Signal log ratio	Signal of GFP-positivecells	Phenotypeofknockoutmouseintheear
Otx1	7.6	162.9	AbsenceoftheLSCC,thelateralcrista,theutriculosaccularductandthecochleosaccularduct.Malformedcochlearhookanddefectsintheshapeoftheparsinferior.
Otx2	5.9	225.5	Otx1(/)/Otx2(þ/)compoundmutants:Moreseverephenotype,particularlyinventralstructures,includingthesacculeandcochlea,thanOtx1(/).
Emx2	3.3	100.5	Abnormalmiddleearossiclemorphology.Inheterozygote,  increasedcochlearhaircellnumber.
Gbx2	2.7	580.3	Absentendolymphaticduct.Absentorabnormalcochlearandvestibularlabyrinth.
Espn	2.6	91.6	Shorteningofhaircellstereocilia.Degenerationofbothinner andouterhaircells.Severedeafnessandvestibulardysfunction.
Myo7a	2.1	296.3	Deafness,head-shaking,andcirclingwithdegenerationoftheorganofCorti,  spiralganglion,striavascularisinthecochlea,andvestibularganglioninthelabyrinth.
Bdnf	1.8	109.3	Abnormalcochlearouterhaircellafferentinnervation.  AbnormaltypeIvestibularcell.Abnormalcrista.
Eya4	1.8	363.9	Abnormalmiddleearmorphology.Increasedsusceptibilitytootitismedia.
Clrn1	1.6	58.8	Progressivehearinglossandlossofbalance.Defectsin cochlearouterhaircellsandsupportingcells.
Fbxo2	1.6	197.8	Accelerated,age-relatedhearinglossassociatedwithcochleardegeneration.
Lymx1a	1.6	373.6	Absentormalformedcochlea.UndevelopedSCCs.
Eya1	1.5	262.1	Severemalformationsintheouter,middleandinnerear.Arrestofinner  eardevelopmentatotocyststage.Absentfacioacousticganglion. Absentormalformedendolymphaticduct.
Gata3	1.5	201.7	Cysticinnerearwithasingleextensionoftheendolymphaticductandno  formationofSCCsorsaccularandutricularrecesses.
Otog	1.5	98.7	Progressivehearinglossandlossofbalance.Abnormaltectorialmembrane  oftheorganofCorti,otolithorgans,andcristaofSCCs.
Six1	1.4	599.6	Abnormalotocystdevelopment.Absentcochlea.Abnormalvestiubular organsandendolymphaticduct.
Foxg1	1.3	754.5	Shortenedcochleawithmultiplerowsofhaircellsandsupportingcells.  Lackinghorizontalcrista.MalformedSCCs.Abnormalcochlearandvestibularinnervations.
Neurod1	1.3	1432.4	Failureofinnerearsensoryneuronsurvivalduringdevelopment.
Neurog1	1.3	216.7	Lossofsensoryneuronsandhaircells.
