Gene symbol	Gene name	GO biological process	FC	Expression
LRRC15	Leucine-rich repeat-containing 15		52I	Upregulated by ER b exclusively
UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A9	Xenobiotic metabolism	3.8	Upregulated by ER b exclusively
APOD	Apolipoprotein D	Lipid metabolism; transport	14I	Upregulated by ER b exclusively
HMGCL	3-Hydroxymethyl-3-methylglutaryl-Coenzyme A lyase	Amino acid metabolism; energy pathways	1.9	Upregulated by ER b exclusively
KIF21A	Kinesin family member 21A	Microtubule-based movement	1.9	Upregulated by ER b exclusively
P2RY2	Purinergic receptor P2Y, G-protein coupled, 2	G-protein signaling; cell ion homeostasis	2.0I	Upregulated by ER b exclusively
DKFZP761D0211	Hypothetical protein DKFZp761D0211	Cell growth; cell–matrix adhesion	1.8	Upregulated by ER b exclusively
DKFZP434C212	DKFZP434C212 protein	Phosphoenolpyruvate-dependent sugar phosphotransferase system	1.8	Upregulated by ER b exclusively
QSCN6	Quiescin Q6	Negative regulation of cell proliferation	3.0I	Upregulated by ER b exclusively
PTK9L	PTK9L protein tyrosine kinase 9-like	Intracellular signaling cascade	1.7	Upregulated by ER b exclusively
OXR1	oxidation resistance 1	Cell wall catabolism	1.7	Upregulated by ER b exclusively
ANXA9	annexin A9	Skeletal development	1.7	Upregulated by ER b exclusively
	J00191		1.7	Upregulated by ER b exclusively
SEPT9	Septin 9	Negative regulation of progression through cell cycle; protein heterooligomerization	1.7	Upregulated by ER b exclusively
LOC114990	Hypothetical protein BC013767		1.7	Upregulated by ER b exclusively
UQCRFS1	Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	Electron transport	1.6	Upregulated by ER b exclusively
ALG14	Asparagine-linked glycosylation 14 homolog		1.6	Upregulated by ER b exclusively
GSTT2	Glutathione S-transferase theta 2	Response to stress	1.6	Upregulated by ER b exclusively
KCTD11	Potassium channel tetramerization domain containing 11	Potassium ion transport	1.6	Upregulated by ER b exclusively
NDRG3	NDRG family member 3	Cell differentiation; negative regulation of cell growth	1.6	Upregulated by ER b exclusively
CYB5R3	cytochrome b-5 reductase	Cholesterol biosynthesis; energy pathways; iron ion transport	1.6	Upregulated by ER b exclusively
STAU	Staufen, RNA-binding protein	Development	1.6	Upregulated by ER b exclusively
RG9MTD2	RNA (guanine-9-) methyltransferase domain containing 2		1.6	Upregulated by ER b exclusively
STK3	Serine/threonine kinase 3	Apoptosis; protein amino acid phosphorylation; signal transduction	1.5	Upregulated by ER b exclusively
PIGK	Phosphatidylinositol glycan, class K	Proteolysis and peptidolysis	1.5	Upregulated by ER b exclusively
HIG1	Likely ortholog of mouse hypoxia induced gene 1	Phosphoenolpyruvate-dependent sugar phosphotransferase system	1.5	Upregulated by ER b exclusively
NRIP3	Nuclear receptor interacting protein 3		1.5	Upregulated by ER b exclusively
LOC283932	Hypothetical protein LOC283932		1.5	Upregulated by ER b exclusively
JJAZ1	Joined to JAZF1	Chromatin modification; regulation of transcription	1.5	Upregulated by ER b exclusively
LDHC	Lactate dehydrogenase C	Glycolysis	1.5	Upregulated by ER b exclusively
CBX5	Chromobox homolog 5 (HP1 alpha homolog, Drosophila)	Chromatin assembly/disassembly	0.5	Downregulated regulated by ER b exclusively
S100A6	S100 calcium binding protein A6 (calcyclin)	Axonogenesis; cell–cell signaling; regulation of cell cycle	0.5I	Downregulated regulated by ER b exclusively
EDN1	Endothelin 1	Cell–cell signaling; positive regulation of cell proliferation; regulation of transcription	0.6I	Downregulated regulated by ER b exclusively
IRA1	Likely ortholog of mouse IRA1 protein		0.6	Downregulated regulated by ER b exclusively
SIPA1L2	Signal-induced proliferation-associated 1 like 2		0.6	Downregulated regulated by ER b exclusively
ADM	Adrenomedullin	cAMP biosynthesis; cell–cell signaling; excretion; progesterone biosynthesis; regulation of transcription; response to wounding	0.4I	Downregulated regulated by ER b exclusively
PANK2	Pantothenate kinase 2	Coenzyme A biosynthesis	0.6	Downregulated regulated by ER b exclusively
RPL21	Ribosomal protein L21	Protein biosynthesis; ribosome biogenesis	0.6	Downregulated regulated by ER b exclusively
MGC5306	Hypothetical protein MGC5306	Development	0.6	Downregulated regulated by ER b exclusively
FIBL-6	Hemicentin	Protein amino acid phosphorylation	0.6	Downregulated regulated by ER b exclusively
MRPS16	Mitochondrial ribosomal protein S16	Protein biosynthesis	0.7	Downregulated regulated by ER b exclusively
