Gene symbol	False discovery rate	Fold Change
Hypothetical protein EUROIMAGE 511235	6.95E?8	6.2
Hypothetical protein dJ465N24.2.1	1.21E?6	4.9
Hypothetical protein FLJ10587	1.31E?6	3.6
hbc647 mRNA sequence	2.37E?6	3.3
Hypothetical protein dJ465N24.2.1	2.48E?6	7.1
Hypothetical protein FLJ21870	3.16E?6	3.3
DKFZP564M182 protein	4.31E?6	3.6
Chromosome 15 open reading frame 12	6.75E?6	2.7
Hypothetical protein FLJ14547	6.84E?6	3.6
Hypothetical protein MGC14376	7.56E?6	3.2
KIAA0110 protein	1.25E?5	2.9
Hypothetical protein FLJ38984	1.32E?5	3
Hypothetical protein MGC11308	1.63E?5	3.1
Hypothetical protein FLJ22059	1.74E?5	9.8
KIAA0440 protein	2.06E?5	?15.4
KIAA0903 protein	2.06E?5	?10.8
Hypothetical protein FLJ12484	3.72E?5	3.1
DKFZP564M182 protein	3.79E?5	4
Chromosome 5 open reading frame 6	4.00E?5	2.7
Hypothetical protein FLJ20257	4.35E?5	2.6
Hypothetical protein PRO1635	4.52E?5	?16.1
cDNA FLJ14115 fis	4.75E?5	?13.2
Hypothetical protein MGC4504	4.75E?5	4.3
Hypothetical protein p5326	5.35E?5	3.2
cDNA FLJ11796 fis	5.38E?5	2.8
cDNA DKFZp686D0521	5.39E?5	?3.7
KIAA0970 protein	5.54E?5	?3.6
Hypothetical protein MGC2217	5.54E?5	3.2
KIAA0993 protein	6.46E?5	?26.1
KIAA1102 protein	6.75E?5	?3.4
Hypothetical protein FLJ10517	6.75E?5	?3.0
Hypothetical protein FLJ12827	7.08E?5	2.8
Hypothetical protein FLJ10233	7.18E?5	?4.8
KIAA0182 protein	7.35E?5	?7.6
cDNA DKFZp761P0818	7.40E?5	?3.8
Hypothetical protein FLJ14547	7.40E?5	2.3
Hypothetical protein DKFZp564O0523	7.96E?5	3.8
DKFZP434C212 protein	8.49E?5	?3.6
Chromosome 1 open reading frame 28	9.24E?5	?5.2
Chromosome 10 open reading frame 2	1.01E?4	3.2
Hypothetical protein FLJ10697	1.02E?4	?4.4
KIAA0469 gene product	1.02E?4	2.7
PKC-? mRNA, partial 3? UTR	1.06E?4	?7.5
KIAA1243 protein	1.12E?4	?3.7
Hypothetical protein FLJ20752	1.16E?4	2.4
cDNA FLJ11904 fis	1.16E?4	2.6
Hypothetical protein MGC4701	1.23E?4	2.9
Hypothetical protein MGC3032	1.23E?4	2.6
Hypothetical protein FLJ23399	1.26E?4	?6.6
ESTs, moderately similar to CRL2	1.26E?4	6.3
