Probe Name	Embryonic Liver 9w+3d (3885)	Embryonic Liver 11w (3886)	Embryonic Liver 10w+3d (3887)	Embryo w/o liver 9w+3d (3888)	Embryo w/o liver 11w (3889)	Embryo w/o liver 10w+3d (3890)	Adult Liver Ambion (4339)
hsa-let-7a	1539	2001	2357	771	2939	6114	4142
hsa-let-7b	646	748	1195	1140	3532	2636	3645
hsa-let-7c	2298	1140	1282	3713	7851	10954	6853
hsa-let-7d	1091	1172	1758	797	1958	2589	1505
hsa-let-7d	50	365	477	50	302	278	153
hsa-let-7e	2013	1011	1435	4633	6463	6818	746
hsa-let-7e	454	621	832	197	383	337	363
hsa-let-7f	56	396	636	52	364	505	455
hsa-let-7g	241	741	892	111	542	594	481
hsa-let-7i	590	1004	1526	406	1741	2204	826
hsa-miR-1	50	619	730	50	394	400	269
hsa-miR-100	1460	553	751	3579	1504	3318	850
hsa-miR-101	63	396	457	162	294	293	229
hsa-miR-103	2785	1800	3319	7372	4826	10442	2205
hsa-miR-105	1195	1497	2139	1997	1939	2732	1404
hsa-miR-106a	4707	5517	3246	15691	3324	3220	1437
hsa-miR-106b	8144	11469	13611	7306	2781	2238	10592
hsa-miR-107	2685	2114	2630	6406	5844	6635	2746
hsa-miR-10a	50	265	421	112	228	387	216
hsa-miR-10b	50	196	352	180	250	523	207
hsa-miR-122	46961	53155	71772	255	2563	2997	46461
hsa-miR-124	54	84	298	11398	8175	12086	148
hsa-miR-124	71	468	628	233	421	346	247
hsa-miR-125a-5p	3198	799	1281	4018	5733	16905	1775
hsa-miR-125b	8603	1501	879	24867	23398	24710	6037
hsa-miR-125b-2	394	322	283	379	320	244	459
hsa-miR-126	1638	2311	1683	2004	1028	1009	3962
hsa-miR-126	50	283	326	50	239	220	472
hsa-miR-127-3p	2125	2075	1871	1844	1306	1341	182
hsa-miR-128a	273	429	454	1234	1132	1183	451
hsa-miR-128b	50	50	50	648	236	194	74
hsa-miR-129-3p	309	419	699	537	507	571	443
hsa-miR-129-5p	50	346	351	123	258	237	159
hsa-miR-130a	3695	2972	2867	12433	5086	8528	1209
hsa-miR-130b	449	507	726	2429	707	761	304
hsa-miR-132	50	255	354	427	274	260	163
hsa-miR-133a	1480	395	576	1795	2939	1773	471
hsa-miR-133b	761	50	50	1607	2438	1337	276
hsa-miR-134	497	793	1163	465	494	511	182
hsa-miR-135a	212	451	439	70	251	202	248
hsa-miR-135b	50	178	308	50	143	179	50
hsa-miR-136	179	397	603	98	238	216	217
hsa-miR-136	50	238	253	50	171	167	135
hsa-miR-137	50	282	389	50	204	211	50
hsa-miR-138	212	549	758	307	397	342	253
hsa-miR-138-1	259	435	848	323	333	359	442
hsa-miR-138-2	50	50	50	50	50	50	83
hsa-miR-139-5p	136	371	466	216	379	234	50
hsa-miR-140-3p	368	612	235	7232	10246	5562	506
hsa-miR-140-5p	225	547	742	416	636	528	186
hsa-miR-141	50	282	298	775	418	197	50
hsa-miR-142-3p	136	487	826	62	266	285	150
hsa-miR-142-5p	50	366	236	50	277	163	50
hsa-miR-143	1789	788	1044	1938	1443	1302	1938
hsa-miR-144	412	605	871	50	128	173	50
hsa-miR-145	489	510	286	358	881	650	980
hsa-miR-145	50	210	260	50	212	226	153
hsa-miR-146a	50	339	606	50	320	312	206
hsa-miR-146b-5p	50	50	50	50	50	50	378
hsa-miR-147	50	467	500	50	359	303	86
hsa-miR-148a	146	531	529	192	494	437	1001
hsa-miR-148b	375	679	678	417	737	507	296
hsa-miR-149	112	253	275	684	857	592	307
hsa-miR-150	50	342	338	98	395	330	247
hsa-miR-151-3p	291	380	495	1211	510	421	278
hsa-miR-151-5p	266	538	589	721	505	497	499
hsa-miR-152	166	410	407	524	617	456	387
hsa-miR-153	50	217	253	53	218	186	192
hsa-miR-154	1017	1405	1571	683	857	983	159
hsa-miR-154	50	53	50	50	50	50	112
hsa-miR-155	50	381	594	50	307	348	231
hsa-miR-15a	208	698	604	328	442	390	213
hsa-miR-15b	2074	2575	3154	1900	1632	2748	623
hsa-miR-15b	50	242	364	50	188	211	115
hsa-miR-16	3821	5868	3797	5805	4345	5591	2494
hsa-miR-17	4685	6523	3867	12194	3171	4670	1356
hsa-miR-17	1948	1634	2151	4661	1853	1526	679
hsa-miR-181a	6070	2485	2222	24833	9848	25346	775
hsa-miR-181a	50	217	242	322	247	222	162
hsa-miR-181a-2	50	68	82	414	192	179	146
hsa-miR-181b	1175	591	717	5850	1366	2145	233
hsa-miR-181c	110	375	501	1635	803	831	179
hsa-miR-181d	50	50	50	243	52	111	138
hsa-miR-182	50	212	361	1431	334	557	137
hsa-miR-182	197	633	1014	105	338	422	274
hsa-miR-183	146	487	571	573	486	737	121
hsa-miR-184	59	368	364	146	279	260	158
hsa-miR-185	1186	1036	1114	801	529	456	382
hsa-miR-186	50	319	541	97	226	300	159
hsa-miR-187	50	368	426	50	283	280	167
hsa-miR-188-5p	557	459	702	906	658	670	195
hsa-miR-18a	1884	2526	2681	6407	1529	969	261
hsa-miR-18a	50	50	50	50	50	50	110
hsa-miR-18b	50	138	74	864	175	119	191
hsa-miR-190	221	769	1496	73	449	549	202
hsa-miR-191	1178	810	924	1844	654	598	992
hsa-miR-191	179	150	97	154	144	94	678
hsa-miR-192	801	1915	1249	84	270	272	5387
hsa-miR-193a-3p	3308	2584	4538	2616	3022	2717	3533
hsa-miR-193a-5p	50	50	50	50	50	50	141
hsa-miR-193b	809	791	815	431	712	588	1164
hsa-miR-194	1742	2702	1731	180	280	313	4967
hsa-miR-195	50	236	252	50	408	260	786
hsa-miR-196a	50	263	339	50	233	293	131
hsa-miR-196b	50	239	357	97	225	256	50
hsa-miR-197	50	89	86	50	159	145	120
hsa-miR-198	54	293	440	102	226	236	50
hsa-miR-199a-3p	1914	641	853	5480	6725	17072	50
hsa-miR-199a-5p	10197	1845	1522	24967	22393	31455	2811
hsa-miR-199b-5p	121	272	486	250	320	554	186
hsa-miR-19a	50	370	494	50	258	235	50
hsa-miR-19b	2374	4295	1926	2243	1527	966	1214
hsa-miR-200a	50	232	363	194	209	243	230
hsa-miR-200a	50	50	50	50	50	50	81
hsa-miR-200b	136	361	382	549	324	283	50
hsa-miR-200c	120	465	582	1350	1286	594	320
hsa-miR-202	50	50	50	50	50	50	105
hsa-miR-202	50	296	338	50	212	213	293
hsa-miR-203	50	163	250	50	213	226	188
hsa-miR-204	50	273	367	448	332	516	184
hsa-miR-205	50	261	367	2058	2374	2493	144
hsa-miR-206	3207	563	827	4885	3919	6225	215
hsa-miR-208	50	265	442	50	260	250	63
hsa-miR-20a	327	800	610	1217	623	439	50
hsa-miR-20b	50	50	50	366	50	52	104
hsa-miR-21	405	687	917	526	691	1040	3219
hsa-miR-210	473	951	1023	2355	1204	966	216
hsa-miR-211	50	285	318	50	268	246	155
hsa-miR-212	50	338	373	112	304	242	180
hsa-miR-214	2238	1522	2254	7668	9066	25627	523
hsa-miR-215	50	172	245	50	175	203	248
hsa-miR-216a	50	319	361	583	336	240	415
hsa-miR-216b	50	50	50	50	50	50	87
hsa-miR-217	50	139	204	160	170	152	150
hsa-miR-218	50	418	463	87	321	352	209
hsa-miR-219-2-3p	52	467	495	400	381	418	178
hsa-miR-219-5p	50	243	383	327	318	349	201
hsa-miR-22	2056	2054	1538	1677	2475	1308	6819
hsa-miR-220	50	59	77	50	97	117	179
hsa-miR-221	379	462	724	1743	2090	1941	458
hsa-miR-222	345	443	556	3315	1602	803	361
hsa-miR-223	329	759	851	142	513	549	303
hsa-miR-224	50	206	289	59	236	275	119
hsa-miR-23a	811	573	606	1758	2299	2905	2206
hsa-miR-23b	2755	1396	1487	6256	3820	5786	6875
hsa-miR-24	3175	2068	1633	8333	7757	5853	5795
hsa-miR-24-1	50	385	309	126	302	264	259
hsa-miR-24-2	50	50	50	50	50	50	79
hsa-miR-25	449	591	645	843	422	449	443
hsa-miR-26a	4498	3562	2174	10731	4455	6866	6396
hsa-miR-26b	50	311	323	50	241	232	368
hsa-miR-27a	2055	1321	785	2985	1733	1666	2504
hsa-miR-27b	985	1130	848	1354	1044	1727	2915
hsa-miR-28-3p	50	50	50	50	52	50	143
hsa-miR-28-5p	50	235	334	119	238	254	260
hsa-miR-296-5p	571	638	824	210	397	443	2117
hsa-miR-297	50	631	762	50	384	314	50
hsa-miR-299-3p	50	50	50	162	50	50	110
hsa-miR-299-5p	248	462	598	234	430	437	136
hsa-miR-29a	86	367	439	262	651	347	1665
hsa-miR-29a	50	50	50	50	50	50	173
hsa-miR-29b	50	265	361	50	254	216	352
hsa-miR-29b-2	50	422	514	50	350	269	199
hsa-miR-29c	50	166	298	50	150	163	201
hsa-miR-29c	50	50	50	50	50	50	190
hsa-miR-301a	99	340	408	357	269	300	135
hsa-miR-302a	50	263	351	50	194	203	146
hsa-miR-302a	50	50	50	50	50	50	91
hsa-miR-302b	50	260	344	50	198	190	125
hsa-miR-302b	50	229	306	50	194	199	126
hsa-miR-302c	50	189	256	50	163	168	124
hsa-miR-302c	50	242	295	107	193	196	199
hsa-miR-302d	50	215	398	50	164	203	119
hsa-miR-30a	549	643	645	1963	1032	454	908
hsa-miR-30a	50	215	364	212	216	231	403
hsa-miR-30b	129	331	382	388	282	318	1042
hsa-miR-30c	962	1340	1679	2297	2420	2954	698
hsa-miR-30d	1774	1387	2313	2166	2008	1879	1926
hsa-miR-30e	899	1605	1667	2298	1910	1266	50
hsa-miR-30e	50	473	663	50	420	414	50
hsa-miR-31	569	820	1348	985	743	739	241
hsa-miR-32	50	532	777	50	472	511	50
hsa-miR-320	2968	3315	2957	7191	8501	7670	1688
hsa-miR-323-3p	1423	1640	1933	1648	1276	1421	50
hsa-miR-324-3p	1143	976	780	1244	1190	917	421
hsa-miR-324-5p	452	688	990	796	645	665	50
hsa-miR-325	50	208	50	50	184	50	50
hsa-miR-326	50	50	222	50	50	235	50
hsa-miR-328	876	1418	990	1492	1418	1211	538
hsa-miR-329	356	587	684	410	632	664	159
hsa-miR-330-3p	50	229	198	163	257	217	128
hsa-miR-330-5p	50	353	341	50	304	259	173
hsa-miR-331-3p	941	679	594	2673	2069	1610	840
hsa-miR-331-5p	50	50	50	50	50	50	80
hsa-miR-335	73	359	495	353	383	335	208
hsa-miR-337-3p	50	157	210	50	155	179	179
hsa-miR-338-3p	2155	1292	1381	5622	3161	2877	1260
hsa-miR-338-5p	50	351	331	50	278	226	213
hsa-miR-339-5p	579	577	517	933	846	543	260
hsa-miR-33a	776	780	988	1152	819	730	843
hsa-miR-33b	50	50	50	50	50	50	62
hsa-miR-340	116	296	328	275	350	307	198
hsa-miR-342-3p	201	273	221	1263	540	352	316
hsa-miR-345	275	572	565	1279	722	512	274
hsa-miR-346	50	854	538	50	667	336	194
hsa-miR-34a	442	1120	1105	335	680	548	546
hsa-miR-34b	50	143	226	50	162	205	123
hsa-miR-34b	50	247	489	326	276	341	199
hsa-miR-34c-5p	50	260	374	405	315	380	163
hsa-miR-361-3p	223	408	414	140	267	235	438
hsa-miR-361-5p	223	291	316	1513	452	317	326
