ID	P.Value	FC (Dis/Norm)	Gene Symbol	Gene Name
209292_at	4.36E-06	4.5806	ID4	INHIBITOR OF DNA BINDING 4, DOMINANT NEGATIVE HELIX-LOOP-HELIX PROTEIN
204719_at	1.36E-05	4.5518	ABCA8	ATP-BINDING CASSETTE, SUB-FAMILY A (ABC1), MEMBER 8
221841_s_at	1.92E-05	4.2471	KLF4	KRUPPEL-LIKE FACTOR 4 (GUT)
206101_at	4.23E-04	4.1557	ECM2	EXTRACELLULAR MATRIX PROTEIN 2, FEMALE ORGAN AND ADIPOCYTE SPECIFIC
209047_at	3.76E-04	4.1472	AQP1	AQUAPORIN 1 (COLTON BLOOD GROUP)
205856_at	4.33E-04	4.0672	SLC14A1	SOLUTE CARRIER FAMILY 14 (UREA TRANSPORTER), MEMBER 1 (KIDD BLOOD GROU...
208451_s_at	3.50E-05	4.0529	C4A / C4B	COMPLEMENT COMPONENT 4A (RODGERS BLOOD GROUP)
205907_s_at	4.59E-04	4.0307	OMD	OSTEOMODULIN
211896_s_at	1.05E-04	3.8509	DCN	DECORIN
205608_s_at	2.47E-06	3.6276	ANGPT1	ANGIOPOIETIN 1
209335_at	5.73E-04	3.4846	DCN	DECORIN
214428_x_at	1.81E-04	3.3938	C4A / C4B	COMPLEMENT COMPONENT 4A (RODGERS BLOOD GROUP)
211813_x_at	2.04E-04	3.1688	DCN	DECORIN
207542_s_at	3.87E-04	3.1580	AQP1	AQUAPORIN 1 (COLTON BLOOD GROUP)
218418_s_at	1.36E-05	3.1493	ANKRD25	ANKYRIN REPEAT DOMAIN 25
204457_s_at	9.84E-04	3.1478	GAS1	GROWTH ARREST-SPECIFIC 1
201893_x_at	2.23E-04	3.1145	DCN	DECORIN
217678_at	4.70E-04	3.0599	SLC7A11	SOLUTE CARRIER FAMILY 7, (CATIONIC AMINO ACID TRANSPORTER, Y+ SYSTEM) ...
213110_s_at	5.25E-05	3.0167	COL4A5	COLLAGEN, TYPE IV, ALPHA 5 (ALPORT SYNDROME)
213592_at	8.44E-04	3.0154	AGTRL1	ANGIOTENSIN II RECEPTOR-LIKE 1
215646_s_at	7.38E-06	2.9871	CSPG2	CHONDROITIN SULFATE PROTEOGLYCAN 2 (VERSICAN)
203042_at	3.14E-05	2.9759	LAMP2	LYSOSOMAL-ASSOCIATED MEMBRANE PROTEIN 2
218901_at	2.09E-04	2.9630	PLSCR4	PHOSPHOLIPID SCRAMBLASE 4
218162_at	2.71E-04	2.9477	OLFML3	OLFACTOMEDIN-LIKE 3
