Probe ID	Name	Description	Ratio	P value
1427482_a_at	Car8	Carbonic anhydrase 8	7.2	1.35E-12
1435749_at	Gda	Guanine deaminase	5.3	3.24E-13
1427357_at	Cda	Cytidine deaminase	5.2	5.17E-12
1448154_at	Ndrg2	N-myc downstream regulated gene 2	5.1	2.45E-06
1441962_at	Alox5	Arachidonate 5-lipoxygenase	5	1.97E-11
1433715_at	Cpne7	Copine VII	5	1.35E-05
1423858_a_at	Hmgcs2	3-Hydroxy-3-methylglutaryl-coenzyme A synthase 2	4.9	3.22E-06
1423294_at	Mest	Mesoderm-specific transcript	4.7	5.06E-08
1420944_at	Zfp185	Zinc finger protein 185	4.6	1.30E-09
1425570_at	Slamf1	Signaling lymphocytic activation molecule family member 1	4.5	1.07E-04
1448954_at	Nrip3	Nuclear receptor interacting protein 3	4.4	5.41E-06
1442166_at	Cpne5	Copine V	4.4	2.58E-07
1426887_at	Nudt11	Nudix (nucleoside diphosphate-linked moiety X)-type 11	4.4	4.06E-09
1427221_at	Xtrp3s1	X transporter protein 3 similar 1 gene	4.2	1.22E-10
1419082_at	Serpinb2	Serine (or cysteine) peptidase inhibitor, clade B	4.2	3.87E-05
1417837_at	Phlda2	Pleckstrin homology-like domain, family A, member 2	4.1	8.35E-10
1422824_s_at	Eps8	Epidermal growth factor receptor pathway substrate B	4	4.96E-06
1417429_at	Fmo1	Flavin-containing monooxygenase 1	4	8.37E-09
1432466_a_at	Apoe	Apolipoprotein E	3.9	8.07E-08
1434273_at	A830073O21	RIKEN cDNA A830073O21 gene	3.8	9.64E-10
1427049_s_at	Smo	Smoothened homolog (Drosophila)	-3.5	1.51E-10
1455626_at	Hoxa9	Homeobox A9	-3.5	5.32E-07
1424338_at	Slc6a13	Solute carrier family 6 (neurotransmitter transporter)	-3.5	3.07E-06
1426657_s_at	Phgdh	3-Phosphoglycerate dehydrogenase	-3.6	3.10E-07
1417219_s_at	Tmsb10	Thymosin, beta 10	-3.6	8.47E-07
1433428_x_at	Tgm2	Transglutaminase 2, C polypeptide	-3.8	2.81E-06
1426908_at	Galnt7	Polypeptide GalNac transferase 7	-3.9	2.08E-07
1416330_at	Cd81	CD 81 antigen	-3.9	1.90E-06
1428230_at	Prkcn	Protein kinase C, nu	-4	1.47E-07
1418480_at	Cxcl7	Chemokine (C-X-C motif) ligand 7	-4	7.20E-08
1417777_at	Ltb4dh	Leukotriene B4 12-hydroxydehydrogenase	-4	4.25E-09
1416368_at	Gsta4	Glutathione S-transferase, alpha 4	-4	8.08E-09
1436759_x_at	Cnn3	Calponin 3, acidic	-4	1.12E-04
1460121_at	9630010G10	RIKEN cDNA 9630010G10 gene	-4.1	1.26E-07
1429881_at	Arhgap15	Rho GTPase activating protein 15	-4.1	3.58E-09
1435343_at	Dock10	Dedicator of cytokinesis 10	-4.3	4.63E-07
1433575_at	LOC672274	Similar to transcription factor SOX-4	-4.3	7.89E-07
1419573_a_at	Lgals1	Lectin, galactose binding, soluble 1	-4.3	3.88E-09
1450700_at	Cdc42ep3	CDC42 effector protein (Rho GTPase binding) 3	-4.4	3.53E-09
1425458_a_at	Grb10	Growth factor receptor-bound protein 10	-4.6	8.42E-10
