Probe set	Gene name	Symbol	R†	Functional Category
101028_i_at	Actin, ?, cardiac	Actc1	0.05	Cytoskeleton organization
101029_f_at	Actin, ?, cardiac	Actc1	0.41	Cytoskeleton organization
97904_at	Actin-related protein 3 homologue (yeast)	Actr3	1.29	Cytoskeleton organization
103430_at	Drebrin 1	Dbn1	1.66	Cytoskeleton organization
95529_at	Drebrin-like	Dbnl	2.37	Cytoskeleton organization
92541_at	Myosin, light polypeptide 1, alkali; atrial, embryonic	Myl1	0.11	Cytoskeleton organization
160487_at	Myosin, light polypeptide 4, alkali; atrial, embryonic	Myl4	0.29	Cytoskeleton organization
100828_at	Myosin, light polypeptide 4, alkali; atrial, embryonic	Myl4	0.39	Cytoskeleton organization
92541_at	Myosin light chain, alkali, fast skeletal muscle	Mylf	0.11	Cytoskeleton organization
92881_at	Myosin light chain, phosphorylatable, fast skeletal muscle	Mylpf	0.46	Cytoskeleton organization
101063_at	Troponin C, cardiac/slow skeletal	Tncc	0.06	Cytoskeleton organization
98561_at	Troponin I, skeletal, slow 1	Tnni1	0.19	Cytoskeleton organization
100593_at	Troponin T2, cardiac	Tnnt2	0.25	Cytoskeleton organization
92885_at	Troponin T3, skeletal, fast	Tnnt3	0.26	Cytoskeleton organization
101637_at	CEA-related cell adhesion molecule 10	Ceacam10	2.60	Cell adhesion
98331_at	Procollagen, type III, ?1	Col3a1	0.87	Cell adhesion
101093_at	Procollagen, type IV, ?1	Col4a1	0.40	Cell adhesion
101039_at	Procollagen, type IV, ?2	Col4a2	0.44	Cell adhesion
162459_f_at	Procollagen, type VI, ?1	Col6a1	0.44	Cell adhesion
95493_at	Procollagen, type VI, ?1	Col6a1	0.55	Cell adhesion
101110_at	Procollagen, type VI, ?3	Col6a3	0.37	Cell adhesion
93383_at	Procollagen, type VII, ?1	Col7a1	2.07	Cell adhesion
104587_at	Laminin, ?4	Lama4	1.97	Cell adhesion
95016_at	Neuropilin	Nrp	0.44	Cell adhesion
96272_at	Protein tyrosine phosphatase, receptor-type, F	Ptprf	2.95	Cell adhesion
102669_at	Sialoadhesin	Sn	4.49	Cell adhesion
160319_at	SPARC-like 1 (mast9, hevin)	Sparcl1	0.09	Cell adhesion
97519_at	Secreted phosphoprotein 1	Spp1	1.94	Cell adhesion
92877_at	Transforming growth factor, ? induced, 68 kDa	Tgfbi	0.60	Cell adhesion
161907_s_at	Tenascin XB	Tnxb	0.35	Cell adhesion
160118_at	Matrix metalloproteinase 14 (membrane-inserted)	Mmp14	0.71	ECM proteolysis and peptidolysis
101975_at	Preadipocyte factor-1 (Pref-1)	Dlk1	7.79	Cell communication
160857_at	Ephrin B2	Efnb2	4.22	Cell communication
100064_f_at	Gap junction membrane channel protein ?1	Gja1	0.23	Cell communication
100065_r_at	Gap junction membrane channel protein ?1	Gja1	0.23	Cell communication
104232_at	Gap junction membrane channel protein ?3	Gjb3	12.32	Cell communication
