Gene Symbol	Gene description	 Accession no.	 Discriminating score
	Ig lambda	H14524	-2.74
ESTs	Unknown	H26676	-2.56
ESTs	Unknown	H26661	-2
	Ig lambda	R83196	-2
ESTs	Unknown	H15899	-1.8
CDSN	Corneodesmosin	W95594	-2
MCP	Membrane cofactor protein (CD46)	H26673	-2
ESTs	Unknown	R83001	-2
	Ig lambda	H15030	-1.62
ESTs	Unknown	R74030	-1
ABCD4	ATP-binding cassette, subfamily D, member 4	H51632	-1
SAMHD1	SAM domain and HD domain, 1	H47862	-1
LTBP4	Latent transforming growth factor-beta-binding protein 4	R73631	-1
ESTs	Unknown	R91051	-1.02
ESTs	Unknown	R89772	-1
LMNA	LaminA/C	H26659	-1
	Ig lambda	H41911	-1
ESTs	Unknown	R16095	-1
ZNF361	Zinc finger protein 361	R73795	-0.9
LTA	Lymphotoxin-alpha	 AA910185 	-1
RPL4	Ribosomal protein L4	N35801	-1
ESTs	Unknown	N35710	-1
FMO5	Flavin-containing monooxygenase 5	H51750	-1
ESTs	Unknown	R72642	-1
MXI1	Max-interacting protein 1	 AA115514 	-0.63
SCN1B	Sodium channel, voltage-gated, type 1, beta subunit	R74526	-1
ARHG	Ras homolog gene family, member G	H45512	-0.58
NTE	Neuropathy target esterase	H09751	-1
HVEB	Herpesvirus entry mediator B	R73625	-1
AXL	AXL receptor tyrosine kinase	H09737	-1
GAR22	GAS2-related on chromosome 22	R72509	-1
PBX1	Pre-B-cell leukemia transcription factor 1 	 AA403031 	-1
HYAL1	Hyaluronoglucosaminidase 1	W84634	-1
PRKCI	Protein kinase C, iota form	 AA062633 	1
PLXNB3	Plexin B 3	R41456	1
CTSB	Cathepsin B	H98635	1
CSNK2A2	Casein kinase II, alpha-2	 AA099405 	1
MMP12	Matrix metalloproteinase 12	R63637	1
ACK1	Human activated p21 cdc42Hs kinase	R44803	1
ESTs	Unknown	 AA883518 	1
EDN3	Endothelin 3	 AA553611 	1
ESTs	Unknown	W74500	1
CUL4A	Cullin 4A	 AA100650 	1
DDR1	Discoidin domain receptor family, member 1	 AA574033 	1
Mip1a	Macrophage inflammatory protein 1-alpha (SCYA3)	W74288	1
ESTs	Unknown	T86845	1
NRID1	Nuclear receptor subfamily 1, group D	R85515	1
UBE4A	Ubiquitination factor E4A	R45238	1
FGR	Gardner-Rasheed feline sarcoma viral oncogene homolog	W81586	1
SIAH2	Seven in absentia, drosophila, homolog of 2	R61685	1
ESTs	Unknown	 AA548364 	1
TGFb3	Transforming growth factor, beta-3	W80655	1
ZNF198	Zinc finger protein 198	N71855	1
TJP2	Tight junction protein 2 (zona occludens 2)	H05082	1
CEP3	cdc42 effector protein 3	R43949	1
ESTs	Unknown	H89735	1
GSTM5	Glutathione S-transferase, mu-5	R40442	1
ESTs	Unknown	N58796	0.91
IGKC	Ig kappa	 AA284839 	0.92
UBE3A	Ubiquitin-protein ligase E3A	 AA126792 	0.97
DSG1	Desmoglein 1	W72927	0.97
RECQL5	RECQ protein-like 5	R32075	1.04
BPHL	Biphenyl hydrolase-like	 AA167197 	1.04
ELAVL4	Embryonic lethal, abnormal vision, drosophila, homolog-like 4	R55730	1.06
TNFRSF6	Tumor necrosis factor receptor superfamily, member 6 (CD95)	 AA031300 	1.06
NR2C1	Nuclear receptor subfamily 2, group C, member 1	H68838	1.1
SMARCA1	Actin-dependent regulator of chromatin, subfamily A, member 1	 AA057875 	1.12
NFE2L3	Nuclear factor erythroid 2-like 3	R43198	1.17
CYB5	Methemoglobinemia due to deficiency of cytochrome b5	N23249	1.19
LAMB3	Laminin, beta-3	 AA622206 	1.19
SH3GL2	SH3 domain, GRB2-like 2 (endophilin 1)	R20729	1.2
HSD17B2	17-@beta-hydroxysteroid dehydrogenase II	N23665	1.3
BMP2	Bone morphogenetic protein 2	 AA114112 	1.34
PRKCABP	PRKCA-binding protein	 AA641722 	1.54
HOX11	Homeobox 11	 AA007444 	1.61
ESTs	Unknown	N30860	1.66
ESTs	Unknown	 AA826328 	1.69
EXT1	Exostoses, multiple, type 1	R13402	1.7
ESTs	Unknown	W92915	1.79
IGKC	Ig kappa	R71916	1.82
