Accession number	Gene Symbol	5Fu fold change	ADM fold change	GEM fold change	Prediction strength	Description
BF569051	---	7.701	9.623	5.303	1.609	H19, imprinted maternally expressed untranslated mRNA
BF060683	TNKS2	7.661	7.848	8.501	2.996	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
NM_006456	SIAT7B	7.35	8.231	4.112	1.609	Sialyltransferase 7
NM_025235	TNKS2	6.93	6.25	7.776	2.996	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
NM_006406	PRDX4	6.221	6.79	7.381	1.609	Peroxiredoxin 4
BE542323	VGLL1	6.018	4.901	25.91	2.996	Vestigial like 1 (Drosophila)
U26662	NPTX2	5.574	4.111	14.43	-	Neuronal pentraxin II
AL575306	H19	5.058	6.24	4.693	2.996	H19, imprinted maternally expressed untranslated mRNA
NM_000873	ICAM2	4.816	8.105	8.793	1.609	Intercellular adhesion molecule 2
AF329696	TNKS2	4.776	4.968	4.174	2.996	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
NM_000194	HPRT1	4.444	5.208	4.776	1.609	Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)
NM_024110	CARD14	4.263	3.8	4.731	2.996	caspase recruitment domain family, member 14
AA126728	ICAM2	3.568	9.347	7.372	1.609	Intercellular adhesion molecule 2
AI346639	SNAP29	3.445	3.466	3.04	1.609	Synaptosomal-associated protein, 29kDa
NM_015577	RAI14	3.437	5.085	3.513	1.609	Retinoic acid induced 14
AW189167	UNC13D	3.289	4.075	3.759	2.996	Unc-13 homolog D (C. elegans)
U16797	EFNB2	3.14	3.303	8.568	1.609	Ephrin-B2
BC000892	HSPC154	0.33	0.299	0.32	2.996	Chromosome 18 open reading frame 55
BC036917	C6orf141	0.298	0.216	0.271	2.996	Chromosome 6 open reading frame 141
NM_001448	GPC4	0.276	0.099	0.137	2.996	Glypican 4
AU157881	---	0.274	0.307	0.314	2.996	Homo sapiens cDNA clone PLACE1009921 3,
AW026379	TNFRSF11A	0.27	0.302	0.298	2.996	Tumor necrosis factor receptor superfamily, member 11a, activator of NFKB
NM_000880	IL7	0.264	0.259	0.321	-	interleukin 7
AF077048	SSBP2	0.261	0.27	0.267	2.996	Single-stranded DNA binding protein 2
BC015866	---	0.261	0.295	0.203	2.996	EST
R49041	---	0.254	0.292	0.311	-	Transcribed locus
AA764787	METTL4	0.254	0.156	0.155	2.996	Methyltransferase like 4
M68874	PLA2G4A	0.251	0.0826	0.283	2.996	Phospholipase A2, group IVA (cytosolic, calciumdependent)
BG285837	---	0.243	0.204	0.217	-	Hypothetical gene supported by AK022914; AK095211; BC016035; BC041856; BX248778
AI264121	PLXDC2	0.24	0.162	0.193	1.609	Plexin domain containing 2
NM_000753	PDE3B	0.231	0.18	0.241	2.996	Homo sapiens phosphodiesterase 3B, cGMP-inhibited (PDE3B), mRNA.
T79568	P15RS	0.224	0.202	0.233	2.996	Homo sapiens cDNA clone IMAGE:114107 5
NM_018383	WDR33	0.217	0.193	0.233	2.996	WD repeat domain 33
AI261357	---	0.214	0.215	0.202	2.996	Transcribed locus, weakly similar to XP_510104.1
AU152579	PCSK5	0.211	0.216	0.23	2.996	Proprotein convertase subtilisin/kexin type 5
AA888858	---	0.191	0.22	0.238	-	Phosphodiesterase 3B, cGMP-inhibited
NM_021136	RTN1	0.185	0.209	0.238	-	Reticulon 1
AI799018	EPHA4	0.153	0.176	0.294	2.996	EPH receptor A4
AA428240	RBMS3	0.151	0.174	0.185	2.996	Homo sapiens cDNA clone IMAGE:773575 3
BE466525	EVI1	0.151	0.174	0.185	2.996	Ecotropic viral integration site 1
AI718421	C4orf7	0.148	0.209	0.243	2.996	Chromosome 4 open reading frame 7
NM_000492	CFTR	0.133	0.135	0.201	2.996	Cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)
NM_000963	PTGS2	0.126	0.145	0.154	2.996	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
NM_006200	PCSK5	0.125	0.172	0.152	2.996	proprotein convertase subtilisin/kexin type 5
BG261252	EVI1	0.123	0.142	0.172	2.996	Ecotropic viral integration site 1
NM_017533	MYH4	0.105	0.0868	0.329	1.609	myosin, heavy polypeptide 4, skeletal muscle
NM_001877	CR2	0.0964	0.126	0.231	2.996	complement component (3d/Epstein Barr virus) receptor 2
NM_004615	TM4SF2	0.0807	0.14	0.0986	1.609	Transmembrane 4 superfamily member 2
BC006141	EPB41L3	0.0802	0.0945	0.0787	2.996	Erythrocyte membrane protein band 4.1-like 3
AK026733	---	0.0641	0.0713	0.101	2.996	L(3)mbt-like 4 (Drosophila)
AI770004	EPB41L3	0.0607	0.0602	0.0639	2.996	Erythrocyte membrane protein band 4.1-like 3
NM_012307	EPB41L3	0.0336	0.0387	0.0411	2.996	erythrocyte membrane protein band 4.1-like 3
