AFFYID	SYMBOL	LOCUS	GENENAME	p-value	WT Fold ?	p55-/-p75+/+ Fold ?	p55+/+p75-/- Fold ?	DKO Fold ?
1415830_at	Orc5l	26429	origin recognition complex, subunit 5-like (S. cerevisiae)	0.0037	1.08	0.83	0.64	0.66
1416077_at	Adm	11535	adrenomedullin	0.0483	1.16	1.41	1.54	1.69
1416135_at	Apex1	11792	apurinic/apyrimidinic endonuclease 1	0.0407	1.45	1.33	1.18	1.1
1416416_x_at	Gstm1	14862	glutathione S-transferase, mu 1	0.025	1.18	1.26	1.08	0.95
1417084_at	Eif4ebp2	13688	eukaryotic translation initiation factor 4E binding protein 2	0.0014	1.03	0.77	1.25	1.24
1417294_at	Akr7a5	110198	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)	0.0167	1.04	0.95	1.29	1.15
1417350_at	Pldn	18457	pallidin	0.0264	1.43	1.16	0.94	0.99
1417515_at	Lsm10	116748	U7 snRNP-specific Sm-like protein LSM10	0.0235	0.96	0.95	0.9	0.71
1417657_s_at	Zrf2	22792	zuotin related factor 2	0.0183	0.97	1.02	1.29	1.33
1417810_a_at	Pacsin2	23970	protein kinase C and casein kinase substrate in neurons 2	0.013	0.96	0.79	1.09	1
1417833_at	AI790326	103284	expressed sequence AI790326	0.0098	0.8	1.15	0.48	0.58
1418075_at	Siat7d	20448	sialyltransferase 7 ((alpha-N-acetylneuraminyl 2,3-betagalactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) D	0.0163	0.94	0.61	1.03	1.14
1418254_at	Mmrp19	56369	monocyte macrophage 19	0.0336	1.06	1.01	1.2	1.25
1418292_at	Asna1	56495	arsA (bacterial) arsenite transporter, ATP-binding, homolog 1	0.0057	1.32	1.13	1.03	0.93
1418586_at	Adcy9	11515	adenylate cyclase 9	0.017	1.01	1.1	0.92	0.82
1418798_s_at	Stk23	56504	serine/threonine kinase 23	0.0172	0.87	1.05	0.79	0.77
1419834_x_at	Mark1	98697	MAP/microtubule affinity-regulating kinase 1	0.0406	1.05	1.1	0.9	0.86
1420349_at	Ptgfr	19220	prostaglandin F receptor	0.0208	0.75	0.85	1.17	1.15
1420654_a_at	Gbe1	74185	glucan (1,4-alpha-), branching enzyme 1	0.0165	0.83	0.96	1.61	1.2
1421229_at	Dffb	13368	DNA fragmentation factor, beta subunit	0.0065	1.05	0.97	0.55	0.71
1421340_at	Map3k5	26408	mitogen activated protein kinase kinase kinase 5	0.002	0.68	0.72	1.09	0.89
1421847_at	Wsb2	59043	WD repeat and SOCS box-containing 2	0.0123	0.81	0.87	1.14	0.92
1421870_at	Trim44	80985	tripartite motif-containing 44	0.031	0.83	0.95	0.63	0.75
1421953_at	Crkl	12929	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	0.0058	0.94	1.42	0.8	0.7
1422090_a_at	Pfkfb2	18640	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	0.0293	0.75	0.85	0.64	0.44
1422218_at	P2rx7	18439	purinergic receptor P2X, ligand-gated ion channel, 7	0.0131	1.1	1.05	1.8	2.54
1422464_at	Mrpl3	94062	mitochondrial ribosomal protein L3	0.0268	1.04	1.03	1.23	1.15
1422692_at	Rpo2tc1	20024	RNA polymerase II transcriptional coactivator	0.032	0.91	1.1	1.39	1.49
1423218_a_at	Mrpl49	18120	mitochondrial ribosomal protein L49	0.0338	1.04	0.79	1.1	1.31
1423571_at	Edg1	13609	endothelial differentiation sphingolipid G-protein-coupled receptor 1	0.0169	1.02	1.13	1.27	1.33
1423608_at	Itm2a	16431	integral membrane protein 2A	0.0097	1.2	1.63	0.7	0.91
1423787_at	Nup133	234865	nucleoporin 133	0.0264	0.73	0.97	1.05	1.16
1423901_at	Gtl6	14897	gene trap locus 6	0.04	1.03	1.36	0.97	1.02
1424375_s_at	Ian1	107526	immune associated nucleotide 1	0.0264	0.78	0.81	0.86	0.98
1424532_at	Zap3	56531	ZAP3 protein	0.0155	0.91	0.95	0.67	0.69
1424615_at	Frag1	233575	FGF receptor activating protein 1	0.0041	0.82	0.76	0.99	1.09
1425620_at	Tgfbr3	21814	transforming growth factor, beta receptor III	0.0256	0.82	0.98	0.74	0.54
1425861_x_at	Cacna2d1	12293	calcium channel, voltage-dependent, alpha2/delta subunit 1	0.0061	1.25	1.17	0.97	0.66
1426032_at	Nfatc2	18019	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	0.0114	0.77	1.08	0.72	0.61
1426100_a_at	Tk2	57813	thymidine kinase 2, mitochondrial	0.0015	1.52	1.2	0.82	0.51
1426488_at	Bfar	67118	bifunctional apoptosis regulator	0.0331	0.85	1	0.97	1.26
1426668_at	Slc30a9	109108	solute carrier family 30 (zinc transporter), member 9	0.0229	0.91	1.13	1.2	1.27
1426875_s_at	Npn3	18154	neoplastic progression 3	0.0371	0.93	0.87	0.75	0.5
