Affymetrix ID	Gene Name	Unigene ID	DLD-1	DLD-1 Met	DKO-4	DKO-4 Met
97935_3_at	transcription factor ISGF-3 mRNA, complete cds	NA	0	0.1	1.2	2.3
200902_at	15 kDa selenoprotein	Hs.90606	0	0.8	1.6	2.8
200969_at	EST, stress-associated endoplasmic reticulum protein 1	Hs.76698	0	-0.1	0.7	2.1
200970_s_at	stress-associated endoplasmic reticulum protein 1	Hs.76698	0	0.6	1.2	2.6
200992_at	RAN binding protein 7	Hs.5151	0	0.3	1.3	2.6
200996_at	ARP3 (actin-related protein 3, yeast) homolog	Hs.5321	0	0.4	1.6	2.7
201132_at	heterogeneous nuclear ribonucleoprotein H2 (H)	Hs.278857	0	-0.1	1.1	2.2
201153_s_at	muscleblind (Drosophila)-like	Hs.28578	0	0.7	1.7	3.1
201177_s_at	SUMO-1 activating enzyme subunit 2	Hs.4311	0	0.5	1.4	2.5
201180_s_at	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	Hs.73799	0	0.4	1.5	2.5
201215_at	plastin 3 precursor	Hs.4114	0	0.3	1.7	2.6
201302_at	annexin IV	Hs.77840	0	0.5	1.6	2.5
201312_s_at	SH3 domain binding glutamic acid-rich proteinlike	Hs.14368	0	0	1.7	2.2
201327_s_at	chaperonin containing TCP1, subunit 6A (zeta 1)	Hs.82916	0	0.4	1.6	2.9
201334_s_at	Rho guanine exchange factor (GEF) 12	Hs.6582	0	1.2	0.4	2.7
201351_s_at	YME1 (S.cerevisiae)-like 1	Hs.206521	0	0.6	1.5	2.6
201398_s_at	translocating chain-associating membrane protein	Hs.4147	0	-0.1	1.1	2.3
201407_s_at	protein phosphatase 1, catalytic subunit, beta isoform	Hs.21537	0	0.7	1.6	2.7
201477_s_at	ribonucleotide reductase M1 polypeptide	Hs.2934	0	0.5	1.2	2.6
201501_s_at	G-rich RNA sequence binding factor 1	Hs.79295	0	0.2	1.1	2.2
201505_at	laminin, beta 1 precursor	Hs.82124	0	0.8	1.4	2.8
201560_at	chloride intracellular channel 4	Hs.25035	0	0.6	1.8	3
201656_at	integrin alpha chain, alpha 6	Hs.227730	0	0.7	1.5	2.7
201816_s_at	glioblastoma amplified sequence	Hs.152707	0	-0.1	0.7	2.2
201922_at	hypothetical protein	Hs.8170	0	0.2	1.8	2.3
202088_at	LIV-1 protein, estrogen regulated	Hs.79136	0	0.6	1.4	2.6
202130_at	sudD (suppressor of bimD6, Aspergillus nidulans) homolog	Hs.209061	0	0.4	1.3	2.6
202131_s_at	sudD (suppressor of bimD6, Aspergillus nidulans)homolog	Hs.209061	0	0.5	1.5	2.7
202169_s_at	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Hs.64595	0	-0.1	1.2	2.3
202277_at	serine palmitoyltransferase, long chain base subunit 1	Hs.90458	0	0.7	1.6	2.7
202381_at	a disintegrin and metalloproteinase domain 9 (meltrin gamma)	Hs.2442	0	-0.2	1.4	2.4
202396_at	transcription factor CA150	Hs.13063	0	-0.4	0.2	1.6
202609_at	epidermal growth factor receptor pathwaysubstrate 8	Hs.2132	0	0.1	0.8	2.2
202620_s_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase(lysine hydroxylase) 2	Hs.41270	0	-0.2	0.7	2
202673_at	dolichyl-phosphate mannosyltransferasepolypeptide 1	Hs.5085	0	0.3	1.8	2.3
203138_at	histone acetyltransferase 1	Hs.13340	0	-0.2	2	1.4
203213_at	cell division cycle 2, G1 to S and G2 to M	Hs.184572	0	1	1.7	3
203343_at	UDP-glucose dehydrogenase	Hs.28309	0	-0.2	0.4	1.8
203594_at	RNA 3-terminal phosphate cyclase	Hs.27076	0	0.5	1.5	2.5
203824_at	transmembrane 4 superfamily member 3	Hs.84072	0	0.6	2.2	2.6
203852_s_at	survival of motor neuron 1, telomeric isoform d	Hs.288986	0	-0.6	0.5	1.5
204053_x_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	Hs.10712	0	0.3	1.5	2.3
204342_at	hypothetical protein	Hs.24713	0	1.7	1.6	3.7
204540_at	eukaryotic translation elongation factor 1 alpha2	Hs.2642	0	-0.2	2.8	2.5
205444_at	ATPase, Ca++ transporting, cardiac muscle, fasttwitch 1	Hs.183075	0	-0.4	-2.5	-2.5
205767_at	epiregulin precursor	Hs.115263	0	0.4	1.7	2.5
