Group name	Affy ID	Gene	Symbol	Array fold change 1% CSE	Array fold change 10% CSE	Array fold change 25% CSE
Cytokine and chemokine signalling	205067_at	Interleukin 1, beta	IL1b	1.45	-1.6	-3.69
Cytokine and chemokine signalling	39402_at	Interleukin 1, beta	IL1b	1.49	-1.6	-4.05
Cytokine and chemokine signalling	207433_at	Interleukin 10	IL10	-1.59	-3.55	-1.93
Cytokine and chemokine signalling	204912_at	Interleukin 10 receptor alpha	IL10RA	-1.19	-2.14	-2.29
Cytokine and chemokine signalling	207375_s_at	Interleukin 15 receptor, alpha	IL15RA	-1.05	-1.89	-2.59
Cytokine and chemokine signalling	206295_at	Interleukin 18 (interferon-gamma-inducing factor)	IL18	-1.29	-2.17	-1.76
Cytokine and chemokine signalling	205291_at	Interleukin 2 receptor, beta	IL2RB	-1.11	-1.5	-2.26
Cytokine and chemokine signalling	205926_at	Interleukin 27 receptor, alpha	WSX1	-1.26	-1.62	-2.22
Cytokine and chemokine signalling	222062_at	Interleukin 27 receptor, alpha	WSX1	1.08	-1.63	-4.36
Cytokine and chemokine signalling	205207_at	Interleukin 6 (interferon, beta 2)	IL6	-1.27	-1.77	-3.18
Cytokine and chemokine signalling	210390_s_at	Chemokine (C–C motif) ligand 15	CCL15	1.25	-1.87	-6.84
Cytokine and chemokine signalling	216598_s_at	Chemokine (C–C motif) ligand 2	CCL2	-1.11	-1.78	-2.81
Cytokine and chemokine signalling	205476_at	Chemokine (C–C motif) ligand 20	CCL20	-1.01	-3.4	-9.22
Cytokine and chemokine signalling	205114_s_at	Chemokine (C–C motif) ligand 3	CCL3	-1.01	-1.36	-2.14
Cytokine and chemokine signalling	204103_at	Chemokine (C–C motif) ligand 4	CCL4	-1.07	-2.3	-5.96
Cytokine and chemokine signalling	1405_i_at	Chemokine (C–C motif) ligand 5	CCL5	-1.03	-1.59	-2.06
Cytokine and chemokine signalling	1555759_a_at	Chemokine (C–C motif) ligand 5	RANTES precursor	-1.21	-1.62	-2.34
Cytokine and chemokine signalling	204655_at	Chemokine (C–C motif) ligand 5	CCL5	-1.11	-1.62	-2.2
Cytokine and chemokine signalling	214038_at	Chemokine (C–C motif) ligand 8	CCL8 / MCP2	-1.23	-4.33	-9.12
Cytokine and chemokine signalling	204470_at	Chemokine (C–X–C motif) ligand 1	CXCL1	-1.06	-2.1	-11.07
Cytokine and chemokine signalling	204533_at	Chemokine (C–X–C motif) ligand 10	CXCL10	-1.32	-3.45	-5.56
Cytokine and chemokine signalling	209774_x_at	Chemokine (C–X-C motif) ligand 2	CXCL2	-1.13	-1.11	-3.12
Cytokine and chemokine signalling	207652_s_at	Chemokine-like receptor 1	CMKLR1	-1.41	-3.61	-8.05
