EntrezGeneID	Gene Symbol	Mapping Location	Description	SAMq-value (%)	Fold Change
84302	C9orf125	9q31.1	chromosome9openreadingframe125	0	51.5
81578	COL21A1	6p12.3-p11.2	collagen,typeXXI,alpha1	0	40.0
3679	ITGA7	12q13	integrin,alpha7	0	28.1
79614	C5orf23	5p13.3	chromosome5openreadingframe23	0	25.7
2044	EPHA5	4q13.1	EPHreceptorA5	0	25.0
2006	ELN	7q11.23	elastin(supravalvularaorticstenosis,Williams-Beurensyndrome)	0	23.9
7373	COL14A1	8q23	collagen,typeXIV,alpha1(undulin)	0	23.9
10631	POSTN	13q13.3	periostin,osteoblastspecificfactor	0	22.3
5168	ENPP2	8q24.1	ectonucleotidepyrophosphatase/phosphodiesterase2(autotaxin)	0	16.7
5137	PDE1C	7p15.1-p14.3	phosphodiesterase1C,calmodulin-dependent70kDa	0	15.3
8839	WISP2	20q12-q13.1	WNT1induciblesignalingpathwayprotein2	0	15.2
183	AGT	1q42-q43	angiotensinogen(serpinpeptidaseinhibitor,cladeA,member8)	0	14.4
8490	RGS5	1q23.1	regulatorofG-proteinsignalling5	0	13.9
182	JAG1	20p12.1-p11.23	jagged1(Alagillesyndrome)	0	13.1
1879	EBF1	5q34	earlyB-cellfactor1	0	12.5
253738	EBF3	10q26.3	earlyB-cellfactor3	0	12.3
2012	EMP1	12p12.3	epithelialmembraneprotein1	0	11.7
6696	SPP1	4q21-q25	secretedphosphoprotein1(osteopontin,bonesialoproteinI,  earlyT-lymphocyteactivation1)	0	10.9
23136	EPB41L3	18p11.32	erythrocytemembraneproteinband4.1-like3	0	10.7
3983	ABLIM1	10q25	actinbindingLIMprotein1	0	10.5
3783	KCNN4	19q13.2	potassiumintermediate/smallconductancecalciumactivated  channel,subfamilyN,member4	0	10.2
342184	FMN1	15q13.3	formin1	0	10.1
5328	PLAU	10q24	plasminogenactivator,urokinase	0	9.2
130916	MTERFD2	2q37.3	MTERFdomaincontaining2	0	8.6
9510	ADAMTS1	21q21.2	ADAMmetallopeptidasewiththrombospondintype1motif,1	0	8.5
9783	RIMS3	1pter-p22.2	regulatingsynapticmembraneexocytosis3	0	7.9
57520	HECW2	2q32.3-q33.1	HECT,C2andWWdomaincontainingE3ubiquitinproteinligase2	0	7.9
4629	MYH11	16p13.11	myosin,heavychain11,smoothmuscle	0	7.8
255488	IBRDC2	6p22.3	IBRdomaincontaining2	0	6.8
