Probe Set ID	A269_R11	A269_R18	A269_R28	A269_R43	A269_R46	A269_R8	Gene Title	Gene Symbol
203504_s_at	485.00632	402.16925	324.7085	93.76172	115.41547	250.16016	ATP-binding cassette, sub-family A (ABC1), member 1	ABCA1
203505_at	812.7474	610.77313	566.0781	302.87695	231.82013	352.69897	ATP-binding cassette, sub-family A (ABC1), member 1	ABCA1
1557374_at	41.142673	23.509445	37.469006	6.3442626	7.432487	7.4174657	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	ABCC9
206134_at	3.53131	7.0857506	3.6025422	16.150126	47.06529	13.513588	ADAM-like, decysin 1	ADAMDEC1
1554393_a_at	52.222088	33.691765	26.688375	67.00768	114.209045	86.90629	arginine decarboxylase	ADC
228000_at	116.258484	70.686	63.71271	153.39432	182.84384	153.74231	arginine decarboxylase	ADC
233030_at	87.48345	41.913395	40.201885	121.73107	112.19566	255.15654	adiponutrin	ADPN
244312_at	34.957523	38.980015	17.427485	13.229517	11.5785055	13.971294	Aftiphilin protein	AFTIPHILIN
202820_at	7.4952397	44.893505	129.7056	370.65732	343.97134	2091.1665	aryl hydrocarbon receptor	AHR
205771_s_at	609.66785	720.0408	556.12177	328.30966	293.2276	228.76247	A kinase (PRKA) anchor protein 7	AKAP7
202054_s_at	845.79266	386.35605	691.69464	1352.7701	1158.6686	1380.2397	aldehyde dehydrogenase 3 family, member A2	ALDH3A2
204174_at	17.31062	12.322769	9.366498	50.44524	98.43337	22.959723	arachidonate 5-lipoxygenase-activating protein	ALOX5AP
202125_s_at	570.0281	337.31464	443.00192	838.08167	1163.9924	703.39294	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3	ALS2CR3
226718_at	95.65422	41.454903	67.29141	178.83914	124.91676	125.17478	adhesion molecule with Ig-like domain 1	AMIGO1
224339_s_at	125.97116	105.86807	11.1428795	3.9310987	5.179113	7.062753	angiopoietin-like 1 /// angiopoietin-like 1	ANGPTL1
242116_x_at	30.228523	29.766752	21.73338	14.934423	12.653658	10.559035	Ankyrin repeat domain 17	ANKRD17
1570255_s_at	108.69484	69.44061	29.021578	19.74163	11.052481	16.374674	ankyrin repeat domain 20 family, member A1	ANKRD20A1
221036_s_at	33.33352	77.39265	58.879696	193.2666	138.85713	174.63297	anterior pharynx defective 1 homolog B (C. elegans)	APH1B
