Gene Title	Gene Symbol	RefSeq Transcript Id	p-value(TREATMENTS)	p-value(Let7b - negative control1)	ratio (Let7b - negative control1)	p-value(Let7b - negative control2)	ratio (Let7b - negative control2)
aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	AKR1D1	NM_005989	3.28E-12	2.52E-12	-3.85007	3.59E-12	-3.73727
lin-28 homolog B (C. elegans)	LIN28B	NM_001004317	6.13E-15	8.29E-15	-3.29879	1.55E-15	-3.79656
high mobility group AT-hook 2 /// high mobility group AT-hook 2	HMGA2	NM_001015886 /// NM_003483 /// NM_003484	3.74E-14	4.29E-14	-3.06085	4.56E-14	-3.04538
HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	HECW2	NM_020760	1.27E-13	6.65E-13	-2.94724	4.47E-12	-2.50907
cell division cycle 25A	CDC25A	NM_001789 /// NM_201567	2.01E-11	7.32E-11	-2.88831	1.99E-11	-3.22735
hypothetical protein FLJ21986	FLJ21986	NM_024913	1.05E-09	5.19E-10	-2.80277	1.18E-09	-2.61084
solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	NM_006931	1.59E-13	3.49E-13	-2.78111	1.84E-12	-2.41734
Transcribed locus	NA	NA	2.58E-13	1.08E-13	-2.59794	1.69E-13	-2.50248
Hypothetical protein LOC145786	LOC145786	NA	4.23E-12	1.07E-11	-2.58849	3.00E-12	-2.88135
Dicer1, Dcr-1 homolog (Drosophila)	DICER1	NM_030621 /// NM_177438	1.06E-08	4.37E-09	-2.5442	4.49E-09	-2.53796
mannose-binding lectin (protein C) 2, soluble (opsonic defect)	MBL2	NM_000242	9.73E-10	1.48E-09	-2.53211	9.84E-10	-2.62363
cell division cycle 25A	CDC25A	NM_001789 /// NM_201567	7.44E-14	8.65E-14	-2.49891	3.90E-14	-2.67164
hypothetical protein LOC145786	LOC145786	NA	9.68E-11	2.10E-10	-2.49462	6.21E-11	-2.7689
Dicer1, Dcr-1 homolog (Drosophila)	DICER1	NM_030621 /// NM_177438	2.79E-14	2.51E-14	-2.45436	3.21E-14	-2.40416
haloacid dehalogenase-like hydrolase domain containing 1A	HDHD1A	NM_012080	9.61E-15	1.00E-14	-2.44389	1.23E-14	-2.40192
Dicer1, Dcr-1 homolog (Drosophila)	DICER1	NM_030621 /// NM_177438	4.46E-08	2.78E-08	-2.43541	1.49E-08	-2.57479
dual specificity phosphatase 9	DUSP9	NM_001395	8.85E-13	7.63E-13	-2.42489	6.76E-13	-2.4497
solute carrier organic anion transporter family, member 4C1	SLCO4C1	NM_180991	4.23E-10	4.73E-10	-2.41257	9.91E-11	-2.75897
solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	NM_006931	6.99E-14	2.93E-13	-2.37509	1.06E-12	-2.13093
hyaluronan-mediated motility receptor (RHAMM)	HMMR	NM_012484 /// NM_012485	1.53E-11	1.48E-11	-2.35937	8.98E-12	-2.46154
Putative neuronal cell adhesion molecule	PUNC	NM_004884	1.13E-08	1.31E-08	-2.33991	2.42E-08	-2.21604
aurora kinase B	AURKB	NM_004217	1.04E-11	9.53E-12	-2.29164	8.71E-12	-2.30913
solute carrier family 2 (facilitated glucose transporter), member 3 /// solute c	SLC2A3 /// SLC2A14 NM_006931 ///	NM_153449	2.53E-11	1.17E-10	-2.28343	3.73E-10	-2.06781
pleiomorphic adenoma gene-like 2	PLAGL2	NM_002657	2.13E-12	1.62E-12	-2.25936	1.43E-12	-2.28277
cyclin A2	CCNA2	NM_001237	5.19E-13	4.88E-13	-2.24473	6.29E-13	-2.19724
ubiquitin-like, containing PHD and RING finger domains, 1	UHRF1	NM_013282	6.16E-14	1.70E-13	-2.22165	2.84E-13	-2.12743
tubulin tyrosine ligase-like family, member 4	TTLL4	NM_014640	1.97E-14	1.49E-14	-2.15645	7.76E-15	-2.27775
similar to RIKEN cDNA 1200014N16 gene	MGC14289	NM_080660	3.62E-13	7.78E-13	-2.14115	6.29E-13	-2.17971
E2F transcription factor 5, p130-binding	E2F5	NM_001951	1.92E-13	1.19E-13	-2.12946	5.24E-13	-1.8803
CDC6 cell division cycle 6 homolog (S. cerevisiae)	CDC6	NM_001254	4.82E-13	8.52E-12	-2.12602	7.53E-12	-2.14828
deiodinase, iodothyronine, type I	DIO1	NM_000792 /// NM_213593	1.70E-09	3.42E-09	-2.123	1.02E-09	-2.35815
denticleless homolog (Drosophila)	DTL	NM_016448	4.35E-11	6.78E-10	-2.07975	9.03E-10	-2.02875
RAD18 homolog (S. cerevisiae)	RAD18	NM_020165	6.73E-09	6.63E-09	-2.07149	5.77E-09	-2.09708
serine/threonine kinase 6	STK6	NM_003600 /// NM_198433 /// NM_198434 /// NM_198435 /// NM_198436 /// NM_198437	2.06E-13	4.75E-13	-2.06623	6.77E-13	-2.00555
S-phase kinase-associated protein 2 (p45)	SKP2	NM_005983 /// NM_032637	1.46E-11	3.79E-10	-2.0565	1.90E-10	-2.18265
dopa decarboxylase (aromatic L-amino acid decarboxylase)	DDC	NM_000790	6.92E-14	3.77E-14	-2.05118	4.33E-14	-2.02728
APin protein	APIN	NM_017855	7.25E-11	5.75E-11	-2.04877	3.38E-11	-2.14365
DNA replication complex GINS protein PSF2	Pfs2	NM_016095	7.74E-14	3.73E-13	-2.02611	8.01E-13	-1.89993
activator of S phase kinase	ASK	NM_006716	7.22E-12	4.16E-12	-2.02005	3.28E-12	-2.061
solute carrier family 2 (facilitated glucose transporter), member 3 /// solute c	SLC2A3 /// SLC2A14 NM_006931 ///	NM_153449	2.55E-13	3.64E-13	-2.01819	2.97E-12	-1.69067
solute carrier family 35, member F5	SLC35F5	NM_025181	9.35E-11	3.24E-11	-2.01487	6.50E-11	-1.89889
ribonucleotide reductase M2 polypeptide	RRM2	NM_001034	2.28E-15	4.66E-15	-2.01117	2.93E-15	-2.09111
CDNA FLJ11381 fis, clone HEMBA1000501	NA	NA	3.88E-09	3.07E-09	-2.01062	2.27E-09	-2.06382
hypermethylated in cancer 2	HIC2	NM_015094	1.37E-08	8.34E-09	-2.01005	4.96E-09	-2.1038
Galactosidase, beta 1	GLB1	NM_000404	1.29E-10	1.15E-10	-2.00307	3.31E-11	-2.22704
denticleless homolog (Drosophila)	DTL	NM_016448	6.33E-15	1.38E-13	-1.99945	9.77E-14	-2.05806
solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	NM_006931	2.27E-12	2.57E-12	-1.99809	1.58E-11	-1.71314
GAJ protein	GAJ	NM_032117	5.28E-11	5.62E-11	-1.99004	3.34E-11	-2.0803
hypothetical protein LOC253842	LOC253842	NA	5.23E-10	6.50E-10	-1.98709	1.90E-10	-2.20856
putative small membrane protein NID67	NID67	NM_032947	1.09E-08	5.41E-09	-1.9577	5.69E-09	-1.9489
