Function	Gene symbol	Fold change	Product
Response to stress	SOD1	?1.61	Superoxide dismutase 1, soluble
Response to stress	HSPA6	2.25	Heat shock 70-kd protein 6 (HSP70B)
Response to stress	CSNK1E	1.66	Casein kinase 1 epsilon
Response to stress	MAP3K5	6.97	Mitogen-activated protein kinase kinase kinase 5
Response to stress	HSPA1L	2.35	Heat shock 70-kd protein 1-like
Response to stress	CIRBP	?1.55	Cold-inducible RNA binding protein
Response to stress	DUSP1	2.76	Dual specificity phosphatase 1
Response to stress	100A8	2.12	S100 calcium-binding protein A8 (calgranulin A)
Response to stress	PLAT	2.05	Plasminogen activator, tissue
Response to stress	SPP1	?4.10	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I)
Response to stress	CTGF	2.15	Connective tissue growth factor
Response to stress	HSPA1A	3.57	Heat shock 70-kd protein 1A
Response to stress	PX3	2.29	Glutathione peroxidase 3, plasma
Response to stress	THBS1	2.47	Thrombospondin 1
Response to stress	CD59	?1.63	CD59 antigen p18-20
Response to stress	FOS	4.96	v-fos FBJ murine osteosarcoma viral oncogene homolog
Response to stress	PAI	?3.10	Human placental plasminogen activator inhibitor
Response to stress	VWF	1.57	von Willebrand factor
Response to stress	NDRG1	3.58	N-myc downstream regulated gene
Response to stress	DnaJ	1.91	Homolog subfamily B member 1 (Hsp40)
Cell surface receptor-linked signal transduction	CTGF	2.15	Connective tissue growth factor
Cell surface receptor-linked signal transduction	ITGAV	?1.48	Integrin alpha-V precursor
Cell surface receptor-linked signal transduction	PLAT	2.05	Plasminogen activator, tissue
Cell surface receptor-linked signal transduction	CALM2	2.42	Calmodulin 2
Cell surface receptor-linked signal transduction	CALCR	2.53	Calcitonin receptor
Cell surface receptor-linked signal transduction	FZD5	?1.67	Transmembrane receptor
Cell surface receptor-linked signal transduction	CALM1	2.17	Calmodulin 1 (phosphorylase kinase, delta)
Cell surface receptor-linked signal transduction	CXCR4	1.49	Chemokine (C-X-C motif) receptor 4
Cell surface receptor-linked signal transduction	FLT1	5.13	fms-related tyrosine kinase 1 (vascular endothelial growth factor receptor)
Cell surface receptor-linked signal transduction	CD59	?1.63	CD59 antigen p18-20
Cell surface receptor-linked signal transduction	LF6	1.6	COPEB protein
Cell surface receptor-linked signal transduction	FKBIA	1.77	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
Regulation of transcription	HIRA	?1.50	HIR histone cell-cycle regulation defective homolog A (S. cerevisiae)
Regulation of transcription	HMGB3	1.98	High-mobility group box 3
Regulation of transcription	KLF6	1.6	COPEB protein
Regulation of transcription	RAB26	?3.28	RAB26, member RAS oncogene family
Regulation of transcription	ZNF614	2.81	Hypothetical protein FLJ21941
Regulation of transcription	TAF1	2.11	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250 kd
Regulation of transcription	FOS	4.96	v-fos FBJ murine osteosarcoma viral oncogene homolog
Regulation of transcription	FOSL2	1.62	FOS-like antigen 2
Regulation of transcription	NFIL3	1.78	Nuclear factor, interleukin 3 regulated
Regulation of transcription	ELK1	?1.57	ELK1
Immune system process	NFIL3	1.78	Nuclear factor, interleukin 3 regulated
Immune system process	KLF6	1.6	COPEB protein
Immune system process	GTPBP1	2.36	HSPC018 protein
Immune system process	SPP1	?4.10	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I)
Immune system process	CD59	?1.63	CD59 antigen p18-20
Immune system process	LEP	3.54	Leptin (obesity homolog, mouse)
Immune system process	NFKBIA	1.77	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
Immune system process	LYN	2.33	v-yes-1 Yamaguchi sarcoma viral-related oncogene homolog
Immune system process	XCR4	1.49	Chemokine (C-X-C motif) receptor 4
Blood vessel development	PGF	?1.67	Placental growth factor
