Function	Gene Description	Gene Symbol
Signal transduction	Mucin 1, transmembrane	MUC1
Signal transduction	Coronin, actin binding protein, 2A	CORO2A
Signal transduction	Ectonucleoside triphosphate diphosphohydrolase 1	ENTPD1
Signal transduction	Dual specificity phosphatase 5	DUSP5
Signal transduction	Anterior gradient 2 homologue (Xenopus laevis)	AGR2
Signal transduction	Epidermal growth factor receptor pathway substrate 8	EPS8
Signal transduction	Epidermal growth factor receptor [erythroblastic leukaemia viral (v-erb-b), oncogene homologue, avian]	EGFR
Signal transduction	Stratifin	SFN
Cell cycle control	Met proto-oncogene (hepatocyte growth factor receptor)	MET
Cell cycle control	Pleckstrin homology-like domain, family A, member 2	PHLDA2
Cell cycle control	Phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1
Cell cycle control	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	TIMP1
Cell cycle control	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homologue	KRAS
Cell cycle control	Neuronal guanine nucleotide exchange factor	NGEF
Cell cycle control	PDZK1 interacting protein 1	PDZK1IP1
Cell cycle control	Fatty acid binding protein 7, brain	FBXW7
Cell cycle control	Hexokinase 2	HK2
Cell cycle control	Inhibin, beta B (activin AB beta polypeptide)	INHBB
Cell cycle control	Transforming growth factor, alpha
Transcription Regulation	Thyroid transcription factor 1
Transcription Regulation	Normal mucosa of oesophagus specific 1	NMES1
Transcription Regulation	LIM domain only 3 (rhombotin-like 2)	LMO3
Transcription Regulation	Pleiomorphic adenoma gene 1	PLAG1
Transcription Regulation	PR domain containing 1, with ZNF domain	PRDM1
Transcription Regulation	RAP2B, member of RAS oncogene family	RAP2B
Transcription Regulation	Runt-related transcription factor 1 (acute myeloid leukaemia 1; aml1 oncogene)	RUNX1
Tumour suppressor	DIRAS family, GTP-binding RAS-like 3	DIRAS3
Apoptosis	Amphoterin induced gene 2	AMIGO2
Apoptosis	Milk fat globule-EGF factor 8 protein	MFGE8
Apoptosis	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)
