Component	Gene Symbol	Fold
CM1-HT0762-309-F07	LCN2	-16.91411853
CM0-FN0044-384-G02	TJP2	-6.241874582
RC0-EN0080-032-E12	CDCP1	-5.107845008
QV3-HT0636-306-C12	FOSL2	-4.514566147
QV0-BT0263-054-H04	SLC22A18	-4.205499638
RC0-CT0300-031-B06	IL1B	-4.152734426
RC0-TN0080-031-E01		-3.788780983
RC0-EN0022-022-G06		-3.761814436
MR4-RT0048-012-B02	HLA-F	-3.547980463
QV3-HT0513-125-F06	GSN	-3.332533771
CM0-CI0137-674-B04	GLTSCR2	-3.312339079
CM0-NN1004-277-D09	ATP1A3	-3.227367822
CM2-BT0306-034-H10	CRYL1	-3.212413529
CM0-CN0045-225-B11	TATDN2	-3.170107477
MR2-CI0186-006-D01	COX5B	-3.107083959
QV1-FT0037-241-G06	IRF7	-3.086552111
QV0-EN0059-444-F03	F11R	-3.074347394
RC3-CT0254-028-H07	RNF141	-3.014897317
CM0-BT0591-328-C08	TKT	-3.008156853
QV2-MT0131-460-D05	TSPO	-2.989575408
PM3-LT0032-001-A04	DPP4	-2.957423396
QV1-DT0068-072-H01	CHMP2A	-2.938520667
MR2-EN0092-002-F04	TAF12	-2.929813335
RC3-BT0319-015-E07	PPM1B	-2.894747203
RC0-HT0771-031-D04	PIM1	-2.893642419
QV3-ET0198-497-B08	NAPA	-2.891676852
QV0-CT0224-029-D06	ETHE1	-2.880966433
QV3-OT0064-230-G01	TRAPPC1	-2.74529091
RC0-HT0374-031-C12	MYC	-2.725582808
QV3-BT0537-048-G07	HSF4	-2.711323924
CM2-BT0753-162-C12	CDK6	-2.70426262
MR2-EN0093-002-A04	MAP2K3	-2.703800751
RC2-BN0405-011-E10	FES	-2.652377816
QV3-FT0209-455-G06	TMEM38A	-2.617091518
MR4-NT0141-201-A12	SOD2	-2.615894286
QV3-OT0065-264-E12	UBE2L6	-2.599591498
MR4-HT1052-003-C03	SPINT2	-2.579973855
MR0-GN0176-201-C01	FAM32A	-2.526025613
QV1-NN0229-444-C03	AK1	-2.511066167
PM3-FT0024-006-G01	RGL2	-2.45053802
RC1-MT0159-021-H07	KIAA1949	-2.441109009
QV0-CT0225-198-B03	PXDN	-2.435326046
MR4-UM0021-008-E09	PLTP	-2.434190459
QV3-HT0461-103-E08	CD97	-2.424874297
RC1-BN0014-011-A12	RBM41	-2.411802724
QV2-MT0131-460-G10		-2.408110527
MR4-ET0138-003-F08	PTK2B	-2.34099449
PM0-NN1173-003-F01	TOM1L2	-2.316550935
MR2-BT0590-106-E04	RHOV	-2.277399517
QV2-OT0034-289-C07	NPEPL1	-2.235614411
MR1-CI0182-002-C06	KDELR3	-2.226812838
QV1-ET0178-525-E08	TRADD	-2.099939392
PM0-KT0003-004-B01	CHD8	-2.074692855
QV1-HT0638-200-A03	P4HB	-2.074319232
RC3-CT0254-210-C04	VRK2	-2.05348417
RC4-CI0167-011-H03	MAEA	2.003100677
MR3-UT0091-005-E11	DICER1	2.071619233
RC0-EN0022-021-G06	RP11-125A7.3	2.092405413
CM0-UT0005-536-B08	NRP1	2.09516641
CM1-NN1006-154-D12		2.104587409
QV0-BN0041-180-F09	GALNAC4S-6ST	2.115509096
CM0-UT0006-523-F02	DDEF1	2.118449783
CM0-OT0213-811-D03		2.145412093
MR0-HT0240-002-G06	ABCC4	2.15381686
QV3-DT0045-063-F01		2.170123658
PM0-HT0346-002-A08	HAT1	2.191286307
PM0-HT1166-002-E09	THOC1	2.206844413
MR4-DT0078-002-C04		2.216418135
RC0-CT0317-031-B07	EHHADH	2.224990984
MR1-CT0058-004-H09	CTCF	2.225947623
MR0-BN0115-011-B02	NUP50	2.241687969
MR3-ST0203-208-C01	SCYL2	2.246373541
QV0-HT0366-087-A05	LOC51136	2.268335624
QV2-CI0106-609-F08	ENC1	2.275580762
CM3-HT0511-085-D09	TGFB2	2.295729942
QV0-CI0197-500-A06	SH3BP4	2.2986381
MR3-GN0185-009-F01	VKORC1L1	2.348144635
MR3-SN0009-107-B03	USP38	2.527674531
QV3-BN0096-162-F12	DDX21	2.608675242
RC2-HT0560-013-E08		2.781880397
RC2-CS0017-011-H09	CDC42SE1	2.794176361
QV0-HT0368-181-C05	EIF5B	2.871964314
CM0-CT0507-544-H10		2.874589732
MR1-TN0046-005-E08		2.947157268
QV4-HT0539-131-G06	EPB41L4A	2.978842246
RC1-PT0027-011-D07	SYP	3.002310052
QV1-EN0042-233-E06	DYNC1H1	3.150326275
RC2-BN0120-012-C12	FBXO28	3.164346539
RC1-IT0013-022-C08		3.230181897
QV1-LT0037-100-D07	HSPH1	3.306132367
