UniGene ID	Gene Name	Description	SAM score(d)
Hs.280604	PPP3R1	Protein phosphatase 3 (formerly 2B), regulatory subunit B, 19 kDa, alpha isoform	6.48
Hs.201034	NTN4	Netrin 4	6.35
Hs.126497	AEBP2	AE binding protein 2	6.18
Hs.373857	KLF12	Kruppel-like factor 12	6.06
Hs.514242	PLEKHM1	Pleckstrin homology domain containing, family M (with RUN domain) member 1	5.93
Hs.499489	8-Mar	Membrane-associated ring finger (C3HC4) 8	5.63
Hs.349150	PURB	Purine-rich element binding protein B	5.55
Hs.25960	MYCN	V-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	5.25
Hs.474536	MTMR3	Myotubularin related protein 3	5.24
Hs.291623	TAOK2	TAO kinase 2	5.24
Hs.271341	RABGAP1	RAB GTPase activating protein 1	5.13
Hs.134221	MBNL2	Muscleblind-like 2 (Drosophila)	4.92
Hs.520187	PYCR2	Pyrroline-5-carboxylate reductase family, member 2	4.78
Hs.490347	MKRN1	Makorin, ring finger protein, 1	4.75
Hs.191179	RAB11FIP1	RAB11 family interacting protein 1 (class I)	4.67
Hs.567754	MIER3	Mesoderm induction early response 1, family member 3	4.48
Hs.4779	GATAD2B	GATA zinc finger domain containing 2B	4.34
Hs.159430	FNDC3B	Fibronectin type III domain containing 3B	4.2
Hs.632239	MNT	MAX binding protein	4.16
Hs.591552	RAB6A	RAB6A, member RAS oncogene family	4.15
Hs.434961	ATXN1	Ataxin 1	4.06
Hs.149261	RUNX1	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	3.69
Hs.497148	RGL1	Ral guanine nucleotide dissociation stimulator-like 1	3.19
Hs.208124	ESR1	Estrogen receptor 1	3.04
