Probe set	Gene symbol	In vitro, fold change posttreatment versus pretreatment	In vivo, fold change posttreatment versus pretreatment	Ratio of in vitro fold-change to in vivo fold-change (average, range)	Adjusted P
203574_at	NFIL3	5.44	2.83	1.92, 1.45-2.66	0.014
205660_at	OASL	29.06	17.39	1.67, 1.50-2.28	0.009
210797_s_at	OASL	25.5	15.12	1.69, 1.55-2.25	0.007
204224_s_at	GCH1	3.09	2.5	1.24, 0.91-1.83	0.796
204747_at	IFIT3	36.43	33.42	1.09, 1.01-1.33	0.833
33304_at	ISG20	4.53	4.45	1.02, 0.86-1.15	1
204698_at	ISG20	4.53	4.54	1.00, 0.84-1.12	1
208436_s_at	IRF7	5.09	5.16	0.99, 0.76-1.24	1
212859_x_at	MT1E	2.65	2.81	0.94, 0.75-1.19	1
202307_s_at	TAP1	3.43	3.65	0.94, 0.81-1.27	1
211012_s_at	PML	4.97	5.36	0.93, 0.62-1.49	1
206461_x_at	MT1H	2.91	3.17	0.92, 0.77-1.17	1
216565_x_at	LOC391020	1.58	1.76	0.90, 0.72-1.25	1
214453_s_at	IFI44	6.71	9.49	0.71, 0.62-1.03	0.093
200923_at	LGALS3BP	1.3	1.97	0.66, 0.53-1.09	0.129
219062_s_at	ZCCHC2	3.09	4.91	0.63, 0.44-1.04	0.187
215719_x_at	FAS	3.09	4.9	0.63, 0.52-0.76	0.014
205875_s_at	TREX1	2.53	4	0.63, 0.48-0.72	0.013
218543_s_at	PARP12	3.05	5.14	0.59, 0.44-0.95	0.078
219211_at	USP18	22.32	42.81	0.52, 0.35-0.87	0.05
53720_at	FLJ11286	1.81	3.52	0.52, 0.43-0.69	0.007
213294_at	EST sequence	3.43	6.7	0.51, 0.36-0.79	0.035
216202_s_at	SPTLC2	1.09	2.34	0.47, 0.37-0.64	0.008
