Gene	Entrez	Fold-change	Pattern
car4	12351	33.2	E
mogat2	233549	33.2	E
apcdd1	494504	13.4	E
tcfap2c	21420	13.3	E
bcat1	12035	11.7	E
defcr-rs7	13226	10.6	E
1810014l12rik	69071	10	E
1435998_at	239083	8.2	E
elavl2	15569	7.8	E
slc7a3	11989	7.8	E
mthfd2	17768	6.2	E
ror2	26564	6.2	E
1418155_at	1418155_at	5.6	E
dnmt3b	13436	5.5	E
eno1	13806	5.5	E
mt1	17748	5.5	E
pttg1	30939	5.5	E
2610201a13rik	70434	5.4	E
1438163_x_at	1438163_x_at	5	E
slc2a1	20525	4.9	E
ptges3	56351	4.7	E
nr6a1	14536	4.6	E
sap30	60406	4.6	E
wdr50	217109	4.6	E
adora2b	11541	4.5	E
aldoa	11674	4.5	E
rpo1-2	20017	4.5	E
dcps	69305	4.3	E
foxn2	14236	4.3	E
idi1	319554	4.3	E
abcg2	26357	4.2	E
ftsj3	56095	4.2	E
1420251_at	1420251_at	4.1	E
bc006705	214572	4.1	E
sema3a	20346	4.1	E
plac8	231507	4	E
adrm1	56436	3.9	E
ak3l1	11639	3.9	E
hnrpa1	15382	3.9	E
ppat	231327	3.9	E
calm1	12313	3.8	E
eif5a	276770	3.8	E
gspt1	14852	3.8	E
timm17a	21854	3.8	E
1449727_x_at	1449727_x_at	3.7	E
loc383438	383438	3.7	E
trp53	22059	3.6	E
1110007m04rik	68493	3.5	E
ccnj	240665	3.5	E
d13wsu177e	28126	3.5	E
ppie	56031	3.5	E
rpp40	208366	3.5	E
clec1b	56760	3.4	E
eml5	319670	3.4	E
mgi:1347093	26383	3.4	E
phlda2	22113	3.4	E
wdr12	57750	3.4	E
acsl4	50790	3.3	E
d19ertd678e	108673	3.3	E
eif3s1	78655	3.3	E
sall4	99377	3.3	E
shmt2	108037	3.3	E
srm	20810	3.3	E
tuba3	22144	3.3	E
1449641_at	1449641_at	3.2	E
akr1b3	11677	3.2	E
sssca1	56390	3.2	E
trim2	80890	3.2	E
1110017c15rik	66164	3.1	E
1439065_x_at	1439065_x_at	3.1	E
itgb4bp	16418	3.1	E
nol11	68979	3.1	E
snx5	69178	3.1	E
d15wsu75e	28075	3	E
eif3s8	56347	3	E
etf1	225363	3	E
hk2	15277	3	E
nolc1	70769	3	E
tgfa	21802	3	E
wdr36	225348	3	E
wdr43	72515	3	E
1425238_at	1425238_at	2.9	E
2810409h07rik	67059	2.9	E
cbx3	12417	2.9	E
coro1c	23790	2.9	E
klhl21	242785	2.9	E
