 GenBank accession no., by gene function 	 Probe set 	 Gene symbol 	 Fold change C/EBP? 	 C/EBP 	 C/EBP? 	 C/EBP? 	Functional Category
M63695	103422_at	 Cd1d1 	53.47	3.05	7.36	2.42	 Immune response 
AW124547	96092_at	 Hp 	28.05	2.72	3.76	1.85	 Immune response 
M27008	100436_at	 Orm1† 	14.2	1.03	3.25	1.23	 Immune response 
M83218	103448_at	 S100a8 	12.99	0.99	1.72	2.12	 Immune response 
M63697	 101897_g_at 	 Cd1d2 	11.76	1.63	2.65	2.27	 Immune response 
A1786089	93837_at	 Kng 	9.13	1.74	2.15	2.16	 Immune response 
K02782	95910_f_at	 C3† 	8.43	2.18	3.39	1.62	 Immune response 
X81627	160564_at	 Lcn2† 	5.84	0.75	1.16	3.82	 Immune response 
U27267	98772_at	 Cxcl5‡ 	4.21	2.03	2.48	5.02	 Immune response 
M74123	94224_s_at 	 Ifi205‡ 	3.9	1.23	1.88	3.34	 Immune response 
X57349	 X57349_M_at 	 Trfr 	3.7	3.46	1.61	2.78	 Immune response 
M21050	100611_at	 Lyzs† 	3.69	1.34	1	1.12	 Immune response 
M31419	98465_f_at	 Ifi204 	3.07	1.03	1.5	2.51	 Immune response 
M32486	100477_at	 M32486 	3.06	1.15	1.3	2.74	 Immune response 
AB012693	103611_at	 Cd47† 	2.91	2.09	1.61	2.52	 Immune response 
X83601	92731_at	 Ptx3 	2.82	1.28	2.44	4.19	 Immune response 
L09737	102313_at	 Gch 	0.31	0.5	0.89	0.39	 Immune response 
X68273	 103016_s_at 	 Cd68 	0.25	0.5	0.91	0.36	 Immune response 
L39017	98018_at	 Procr 	0.16	0.29	0.9	0.15	 Immune response 
AJ242830	102948_at	 Hemt1 	0.08	0.19	0.86	0.07	 Immune response 
AF099973	92472_f_at	 Slfn2 	8.85	2.48	2.12	6.82	 Cell proliferation 
AF036893	93694_at	 Per2 	4.85	1.73	1.75	11.4	 Cell proliferation 
AF099977	92315_at	 Slfn4 	4.98	1.1	2.36	2.27	 Cell proliferation 
Z22703	99435_at	 Fgf7 	4.28	1.59	2.46	4.75	 Cell proliferation 
X72307	102898_at	 Hgf 	4.07	1.17	0.86	1.31	 Cell proliferation 
X53929	93534_at	 Dcn 	3.93	3.09	1.73	9.75	 Cell proliferation 
A1834950	98507_at	 Nr1d1 	0.31	0.44	0.69	0.31	 Cell proliferation 
M64292	101583_at	 Btg2 	0.3	0.49	0.92	0.28	 Cell proliferation 
X61940	104598_at	 Dusp1 	0.27	0.44	0.98	0.28	 Cell proliferation 
AV373612	 161980_f_at 	 Bag3 	0.25	0.38	0.74	0.25	 Cell proliferation 
D14077	95286_at	 Clu 	0.24	0.41	0.75	0.31	 Cell proliferation 
sX67083	101429_at	 Ddit3 	0.22	0.42	0.93	0.22	 Cell proliferation 
AA770736	161067_at	 Ifld2 	0.2	0.36	0.93	0.07	 Cell proliferation 
M17298	102298_at	 Ngfb 	0.16	0.49	0.65	0.16	 Cell proliferation 
X54149	102779_at	 Gadd45b§ 	0.16	0.46	1.03	0.07	 Cell proliferation 
U21673	99134_at	 Tcte3 	0.16	0.23	0.97	0.16	 Cell proliferation 
L31958	100548_at	 Pea15 	0.11	0.46	1.09	0.28	 Cell proliferation 
AF061972	103671_at	 Htatip2 	0.1	0.34	0.78	0.11	 Cell proliferation 
V00727	160901_at	 Fos 	0.08	0.2	1.12	0.06	 Cell proliferation 
AF055638	101979_at	 Gadd45g‡§ 	0.05	0.19	0.94	0.04	 Cell proliferation 
AA726364	95611_at	 Lp1 	38.65	3.49	6.44	3.99	 Metabolism 
Z48670	92913_at	 Abcd2† 	13.46	2.52	2.73	3.44	 Metabolism 
AI849718	160111_at	 elF1A 	6.81	6.02	1.6	5.63	 Metabolism 
AW048512	95426_at	 Echs1 	6.38	4.35	3.45	6.12	 Metabolism 
AW049778	160770_at	 Mvd 	5.69	6.38	1.59	6.09	 Metabolism 
U15977	94507_at	 Facl2 	5.4	1.22	1.39	1.48	 Metabolism 
L16992	102302_at	 Bckdhb 	3.05	1.73	1.06	1.62	 Metabolism 
X07888	99425_at	 HMGCR 	2.91	2.39	1.3	1.68	 Metabolism 
AW106745	98631_g_at 	 Nsdh1 	2.74	2.91	1.39	3.54	 Metabolism 
AW122523	103665_at	 Lce-pending	2.67	3.22	1.19	2.95	 Metabolism 
AW047343	160841_at	 Dbp 	0.69	2.1	0.91	0.41	 Metabolism 
X05862	93833_s_at 	 Hist1h2bc† 	0.62	0.58	0.97	0.36	 Metabolism 
M18070	100606_at	 Prnp 	0.36	0.5	0.76	0.41	 Metabolism 
Y11092	92473_at	 Mknk2 	0.35	0.45	0.74	0.22	 Metabolism 
M18070	100606_at	 Prnp 	0.36	0.5	0.76	0.41	 Metabolism 
AI835630	96680_at	 Dnajb9 	0.34	0.48	1.33	0.35	 Metabolism 
AI845732	101007_at	 Mknk2 	0.3	0.47	0.77	0.25	 Metabolism 
L46651	102341_at	 Gla 	0.25	0.37	0.71	0.07	 Metabolism 
M74495	98435_at	 Adss1 	0.21	0.32	0.65	0.27	 Metabolism 
J03520	93981_at	 Plat 	0.19	0.37	0.96	0.31	 Metabolism 
AB028272	96254_at	 Dnajb1 	0.09	0.25	0.76	0.1	 Metabolism 
L10385	96566_at	 Tgm3 	47.62	1.2	2.87	2.83	 Differentiation/development 
U10374	97926_s_at 	 Pparg‡ 	44.91	1.72	4.92	0.39	 Differentiation/development 
AJ001700	99494_at	 Serpini1 	14	3.66	3.33	2.26	 Differentiation/development 
X16490	92978_s_at 	 Serpinb2 	10.94	1.31	1.36	1.54	 Differentiation/development 
Y12293	99846_at	 Foxf2 	4.96	2.22	1.51	2.21	 Differentiation/development 
X75129	97950_at	 Xdh 	4.14	2.49	2.31	3.82	 Differentiation/development 
U36760	161049_at	 Foxg1† 	2.8	3.17	1.36	2.19	 Differentiation/development 
M35523	100127_at	 Crabp2† 	0.39	0.59	0.78	0.26	 Differentiation/development 
V00756	160092_at	 Ifrd1 	0.35	0.47	1.12	0.33	 Differentiation/development 
AA41985	9277_at	 Cyr61† 	0.34	1.09	1.02	0.81	 Differentiation/development 
X13297	93100_at	 Acta2† 	0.34	0.47	0.84	0.37	 Differentiation/development 
AF077861	93013_at	 Idb2 	0.32	0.39	1.05	0.46	 Differentiation/development 
M60523	92614_at	 Idb3 	0.25	0.39	1.14	0.36	 Differentiation/development 
X51829	160463_at	 Myd116‡ 	0.18	0.24	0.82	0.17	 Differentiation/development 
AV138783	 161666_f_at 	 Gadd45b† 	0.09	0.22	1.15	0.06	 Differentiation/development 
