Gene	PBMC	SEM	UCB	SEM	MPB (Cycling)	SEM	UCB (Cycling)	SEM
HDAC1	5.93	3.04	1.22	0.62	7.08	3.63	2.47	1.26
HDAC2	34.39	16.01	7.59	3.53	16.51	7.69	9.87	4.6
HDAC3	7.68	3.6	1.29	0.6	6.95	3.26	2.35	1.1
HDAC4	3.23	2.15	0.37	0.24	3.37	2.24	2.29	1.52
HDAC5	0.11	0.03	0.03	0.01	0.18	0.05	0.19	0.05
HDAC6	23.03	9.71	1.49	0.63	96.18	40.54	10.3	4.34
HDAC7A	6.27	3.87	0.24	0.15	2.14	1.32	1.64	1.01
HDAC8	14.06	5.42	0.91	0.35	3.28	1.27	2.54	0.98
HDAC9	14.99	9.73	1.13	0.73	20.57	13.35	3.57	2.32
HDAC10	5.44	1.85	0.52	0.18	7.24	2.47	1.75	0.59
HDAC11	3.4	1.63	0.98	0.47	3.68	1.76	3.27	1.57
SIRT1	26.12	15.76	17.44	10.52	30.37	18.32	32.86	19.82
SIRT2	12.46	7.38	4.2	2.49	12.16	7.21	16.41	9.73
SIRT3	13.5	7.04	0.91	0.47	5.49	2.86	4.51	2.35
SIRT4	0.74	0.47	0.06	0.04	0.67	0.43	1.12	0.72
SIRT5	13.52	7.83	1.54	0.89	9.02	5.23	9.41	5.45
SIRT6	1.89	0.8	0.88	0.37	1.76	0.74	2.11	0.89
SIRT7	3.03	2.13	1.42	0.99	5.86	4.11	4.76	3.34
SIN3A	29.72	15.99	5.61	3.02	14.64	7.87	10.1	5.43
SET7	38.84	17.35	9.95	4.44	20.33	9.08	3.64	1.63
MLL	12.67	6.9	2.53	1.38	2.79	1.52	6.11	3.33
RBBP4	3.68	3.61	0	0	0.07	0.04	0.03	0.02
RBBP7	87.29	51.54	5.49	3.24	15.21	8.98	11.53	6.81
