Group name	Affy ID	Gene	Symbol	Array fold change 1% CSE	Array fold change 10% CSE	Array fold change 25% CSE
Cell survival and apoptosis	1557257_at	B-cell CLL/lymphoma 10	Bcl10 / Bcl-xl	-1.3	-1.56	-2.29
Cell survival and apoptosis	217911_s_at	Bcl2 anthogene 3	BAG3	1.03	2.05	5.29
Cell survival and apoptosis	212312_at	Bcl2 like 1	BCL2L1	1.01	1.27	2.11
Cell survival and apoptosis	1570001_at	CASP8 associated protein 2	5203092, mRNA	2.19	1.91	1.94
Cell survival and apoptosis	207686_s_at	Caspase 8, apoptosis-related cysteine protease	CASP8	-1.15	-1.55	-2.39
Cell survival and apoptosis	213373_s_at	Caspase 8, apoptosis-related cysteine protease	CASP8	-1.08	-1.32	-2.34
Cell survival and apoptosis	1552553_a_at	Caspase recruitment domain family, member 12	CARD12	-1.42	-3.08	-2.32
Cell survival and apoptosis	225646_at	Cathepsin C	CTSC_V1	-1.28	-2.26	-1.36
Cell survival and apoptosis	231234_at	Cathepsin C	CTSC_V1	-1.65	-2.03	-1.63
Cell survival and apoptosis	200881_s_at	DnaJ (Hsp40) homolog, subfamily A, member 1	DNAJA1	1.02	1.39	2.04
Cell survival and apoptosis	1554333_at	DnaJ (Hsp40) homolog, subfamily A, member 4	DNAJA4	1.04	1.54	3.18
Cell survival and apoptosis	1554334_a_at	DnaJ (Hsp40) homolog, subfamily A, member 4	DNAJA4	1.05	1.64	3.15
Cell survival and apoptosis	225061_at	DnaJ (Hsp40) homolog, subfamily A, member 4	DNAJA4	1.05	1.7	2.95
Cell survival and apoptosis	200664_s_at	DnaJ (Hsp40) homolog, subfamily B, member 1	DNAJB1	1.03	2.3	9.1
Cell survival and apoptosis	200666_s_at	DnaJ (Hsp40) homolog, subfamily B, member 1	DNAJB1	1.03	2.34	8.38
Cell survival and apoptosis	203810_at	DnaJ (Hsp40) homolog, subfamily B, member 4	DNAJB4	1.33	4.1	6.71
Cell survival and apoptosis	203811_s_at	DnaJ (Hsp40) homolog, subfamily B, member 4	DNAJB4	1.3	5.67	11.71
Cell survival and apoptosis	1554462_a_at	DnaJ (Hsp40) homolog, subfamily B, member 9	DNAJB9	1.04	1.83	2.36
Cell survival and apoptosis	202842_s_at	DnaJ (Hsp40) homolog, subfamily B, member 9	DNAJB9	1.06	1.86	2.24
Cell survival and apoptosis	202843_at	DnaJ (Hsp40) homolog, subfamily B, member 9	DNAJB9	1.17	2.44	3.27
Cell survival and apoptosis	202535_at	Fas (TNFRSF6) associated via death domain	FADD	-1.05	-1.63	-2.18
Cell survival and apoptosis	200799_at	Heat shock 70 kDa protein 1A	HSPA1A	1.03	2.97	4.71
Cell survival and apoptosis	200800_s_at	Heat shock 70 kDa protein 1A	HSPA1A	-1	4.3	10.11
Cell survival and apoptosis	202581_at	Heat shock 70 kDa protein 1A	HSPA1B	1.17	5.16	16.66
Cell survival and apoptosis	211538_s_at	Heat shock 70 kDa protein 2	HSPA2	1.14	2.14	3.09
Cell survival and apoptosis	219475_at	Pregnancy-induced growth inhibitor	OKL38	2.37	8.6	12.02
Cell survival and apoptosis	225214_at	Proteasome (prosome, macropain) subunit, beta type, 7	NEK6	-1.3	-2.21	-2.08
Cell survival and apoptosis	215886_x_at	Ubiquitin specific protease 12	USP12	1.03	1.64	2.13
Cell survival and apoptosis	223289_s_at	Ubiquitin specific protease 38	USP38	1.35	1.62	2.1
Cell survival and apoptosis	239163_at	Ubiquitin-conjugating enzyme E2B	AW364833	1.34	1.61	2.1
Cell survival and apoptosis	221962_s_at	Ubiquitin-conjugating enzyme E2H	UBE2H	1.26	2.53	3.11
Cell survival and apoptosis	222420_s_at	Ubiquitin-conjugating enzyme E2H	UBE2H	1.21	2.13	2.12
Cell survival and apoptosis	222421_at	Ubiquitin-conjugating enzyme E2H	UBE2H	1.32	2.47	2.25
Cell survival and apoptosis	223014_at	Ubiquitin-conjugating enzyme E2R 2	UBE2R2	1.41	1.76	2.46
