Gene	Description	UniGene	Skin	Chronic TPA	Low-risk	High-risk	SCC
-Globin	Mus musculus  globin	NA	1	13.9	1.4	9.7	11
5.7SRNA	5.7S U4 small nuclear RNA type a	NA	1	38.1	0.8	5.8	4.5
4.5SRNA	4.5S RNA	NA	1	1.1	5.1	0.8	NA
7SRNA	7S small cytoplasmic RNA	NA	1	3.3	0.9	4	2.1
1810064A23RIKEN	NA	NA	1	3.5	0.8	3.3	1.8
2210019G11RIKEN	NA	NA	1	5	0.8	2.7	1.9
Galk1	Galactokinase 1	Mm.213873	1	0.5	7.6	2.4	1.2
2610303G11RiKEN	NA	Mm.53530	1	1.2	9	2.4	2.7
Icam1	Intercellular adhesion molecule	Mm.90364	1	1.2	0.7	2.2	1.4
Col5a3	Procollagen, type V,  3	Mm.334994	1	NA	8	2.2	3.2
Rnf3	Polycomb group ring finger 3	Mm.261218	1	1.7	0.8	2.1	0.9
TSAP2	p53-induced apoptosis differentially expressed	Mm.366224	1	1.2	0.4	2	0.7
Glt8d1	Glycosyltransferase 8 domain containing 1	Mm.8766	1	0.9	0.4	1.9	1.6
4931423N10RIKEN	NA	Mm.314026	1	1.7	0.5	1.8	1.1
Vhlh	Von Hippel–Lindau syndrome homolog	Mm.29407	1	0.9	0.6	1.7	1.1
Eml4	Echinoderm microtubule-associated protein like 4	Mm.295565	1	1.3	0.6	1.7	0.9
Erf1	Mus musculus ETS-related transcription factor ERF	NA	1	2.1	0.4	1.6	1.2
Nek4	NIMA-related expressed kinase 4.	Mm.251494	1	0.6	8.7	1.1	1.1
Prkacb	Protein kinase, cAMP-dependent, catalytic, 	Mm.16766	1	5.1	3.3	1.1	1.1
D19Ertd386e DNA segment, Chr 19, ERATO Doi 386	NA	Mm.254169	1	0.3	4.1	1	1.2
Uck2	Uridine-cytidine kinase 2	Mm.280895	1	0.5	4.4	0.9	1.2
Armc9	Armadillo repeat containing 9 (Armc9), mRNA	Mm.379264	1	0.6	1.9	0.7	0.3
Rexo1	RNA exonuclease 1 homolog	Mm.1116	1	0.4	3.1	0.6	1.6
Oaz1	Ornithine decarboxylase antizyme	Mm.683	1	0.5	1.5	0.6	0.7
Zscan2	Zinc finger and SCAN domain containing 2	Mm.358645	1	0.5	1.9	0.6	0.5
Plekhm2	Pleckstrin homology domain containing	Mm.33220	1	0.5	2.1	0.6	0.9
Lgals2	Galectin2	Mm.379288	1	0.2	2.6	0.6	0.4
Trpc6	Transient receptor potential cation channelC6	Mm.325086	1	0.3	2.6	0.5	0.4
Ttn	Titin transcript variant N2-B	Mm.373672	1	0.8	2.3	0.5	1
Calcoco1	Calcium binding and coiled-coil domain 1	Mm.71682	1	0.2	2	0.5	0.4
Sgta	Small glutamine-rich TPR-containing, 	Mm.30068	1	1.2	1.3	0.4	0.4
Car3	Carbonic anhydrase 3	Mm.300	1	1.9	1.4	0.4	0.5
Dnajc17DnaJ (Hsp40) homolog	NA	Mm.222241	1	NA	1.3	0.3	0.5
Psmd2	Proteasome 26 S subunit	Mm.243234	1	0.8	1.1	0.3	0.6
Gnao1	Guanine nucleotide binding protein,  o	Mm.354720	1	1.1	0.9	0.3	0.4
Rspo1	R-spondin homolog	Mm.42202	1	0.7	0.8	0.3	0.3
Scn1b	Sodium channel, voltage-gated, type I, 	Mm.1418	1	0.4	1.2	0.3	0.7
Ggtl3	- Glutamyltransferase-like 3	Mm.41757	1	0.4	1.1	0.3	0.6
col20a1	Collagen 201	Mm.156855	1	0.2	1.2	0.2	0.2
Mns1	Meiosis-specific nuclear structural protein 1	Mm.14485	1	0.4	1.3	0.2	0.5
Tcte1	t-Complex-associated testis expressed 1	Mm.1290	1	0.6	1	0.2	0.5
IgK chain mRNA V4J2	NA	Mm.333130	1	1	9.2	2.4	4.7
NC41	NA	Mm.305097	1	0.5	2.4	0.5	0.4
LOC56304	Single-chain Ig VH and VL domains	Mm.358673	1	1.1	0.2	0.3	NA
Ig  chain gene	NA	NA	1	0.4	1.1	0.2	0.3
LOC545850 similar to Ig light chain variable region	NA	Mm.380074	1	0.3	1.1	0.3	0.3
Igk-V21	NA	Mm.372601	1	0.4	1	0.2	0.2
Igh-6	IgM immunoglobulin heavy chain 6	Mm.342177	1	0.5	0.9	0.3	0.2
IgG light chain gene, V region	NA	Mm.360535	1	0.3	0.8	0.2	0.2
Igk-V8	Immunoglobulin  chain, mAb 667	Mm.333124	1	0.3	0.8	0.1	0.1
H26 immunoglobulin  chain variable region 12/13	NA	Mm.304150	1	0.7	0.5	0.2	0.3
T-cell receptor  chain V5 repertoire	NA	NA	1	NA	1.6	0.4	0.5
T-cell receptor  chain mRNA, partial cds	NA	NA	1	NA	1.5	0.3	0.3
Tcrb-V13	T-cell receptor , variable 13, mRNA	Mm.333026	1	0.4	1.4	0.5	0.6
T-cell receptor  chain mRNA	NA	NA	1	NA	1.4	0.3	0.3
T-cell receptor  chain mRNA, partial cds	NA	NA	1	0.5	1.1	0.4	0.4
T-cell receptor  chain mRNA, partial cds	NA	NA	1	0.5	0.9	0.4	0.4
T-cell receptor  chain	NA	NA	1	0.3	0.9	0.4	0.2
T cell receptor  chain mRNA, partial cds	NA	NA	1	0.5	0.8	0.3	0.4
Tcrb T-cell receptor 	NA	Mm.380431	1	0.1	0.6	0.1	0.2
Cx3cl1	Chemokine (C-X3-C motif) ligand 1	Mm.103711	1	1.5	9.6	1.6	2.3
Traf2	Tnf receptor-associated factor 2	Mm.3399	1	NA	2.1	8.6	1.8
Hamp1	Hepcidin antimicrobial peptide 1	Mm.23995	1	1.1	6.2	1.5	0.9
Hemgn	Hemogen (Hemgn), mRNA	Mm.25793	1	0.4	1.8	0.2	0.8
Laf4	AF4/FMR2 family, member 3	Mm.336679	1	0.4	1.2	0.2	0.2
Amphoterin	NA	Mm.366196	1	0.7	1.1	0.3	0.5
IL15	Shorter isoform of interleukin 15	NA	1	NA	1	4.4	7.7
