Gene	Description	Unigene Id	Score(d)	Fold change
TM4SF12	Transmembrane 4 superfamily member 12	Hs.16529	1.4343708	6.11278
DIO2	Deiodinase, iodothyronine, type II	Hs.436020	1.3718215	7.33664
CAPNS2	Calpain small subunit 2	Hs.13359	1.3074648	5.3875
CCKBR	Cholecystokinin B receptor	Hs.203	1.2563882	4.21661
LCN2	Lipocalin 2 (oncogene 24p3)	Hs.204238	1.2002276	5.07216
BLVRB	Biliverdin reductase B (flavin reductase (NADPH))	Hs.76289	1.1751826	5.4596
EHD4	EH-domain containing 4	Hs.55058	1.1646133	5.67989
MGC29898	Hypothetical protein MGC29898	Hs.388749	1.1500615	5.20681
FLRT2	Fibronectin leucine-rich transmembrane protein 2	Hs.48998	1.1337755	6.33282
GUCY1A3	Guanylate cyclase 1, soluble, alpha 3	Hs.433488	1.1045856	3.29975
TM4SF9	Transmembrane 4 superfamily member 9	Hs.8037	1.1039144	4.61288
PPP2R3A	Protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	Hs.133234	1.1008696	8.09162
ROBO2	Roundabout, axon guidance receptor, homolog 2 (Drosophila)	Hs.31141	1.0970799	5.14947
GUCY1A3	Guanylate cyclase 1, soluble, alpha 3	Hs.433488	1.0831366	4.0182
CD34	CD34 antigen	Hs.374990	1.0823162	2.66837
B3GAT1	Beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)	Hs.381050	1.0821947	4.39357
COL8A1	Collagen, type VIII, alpha 1	Hs.114599	1.0747639	3.39593
WWP2	Nedd-4-like ubiquitin-protein ligase	Hs.315485	1.0729466	5.10464
SNCAIP	Synuclein, alpha interacting protein (synphilin)	Hs.24948	1.0662587	3.91528
EVI1	Ecotropic viral integration site 1	Hs.436019	1.0610498	6.23988
SLC21A6	Solute carrier family 21 (organic anion transporter), member 6	Hs.137425	1.0377796	3.61817
GRIN3A	Glutamate receptor, ionotropic, N-methyl-d-aspartate 3A	Hs.283852	1.0258401	10.30622
MAOA	Monoamine oxidase A	Hs.183109	1.0221565	4.02053
MYCN	V-myc myelocytomatosis viral related oncogene	Hs.25960	1.0119469	12.59488
SDCCAG33	Serologically defined colon cancer antigen 33	Hs.284217	0.9968087	4.65098
PTGER3	Prostaglandin E receptor 3 (subtype EP3)	Hs.27860	0.9779319	4.2676
BMPR1A	Bone morphogenetic protein receptor, type IA	Hs.2534	0.9773508	3.9999
AUTS2	Autism susceptibility candidate 2	Hs.296720	0.9760794	3.38653
PTPRD	Protein tyrosine phosphatase, receptor type, D	Hs.323079	0.9610238	3.11846
DSCR1L1	Down syndrome critical region gene 1-like 1	Hs.156007	0.9484743	2.61334
KIAA1233	KIAA1233 protein	Hs.18705	0.9473329	2.9812
GJA12	Gap junction protein, alpha 12, 47kDa	Hs.100072	0.9350071	4.59277
LOC83690	Cocoa Crisp	Hs.436542	0.9044242	2.82651
C1QTNF7	C1q and tumor necrosis factor related protein 7	Hs.153714	0.8964934	3.30323
DPP4	Dipeptidylpeptidase 4	Hs.44926	0.8926644	5.57371
AR	Androgen receptor	Hs.99915	0.8895907	2.78782
CAPN6	Calpain 6	Hs.169172	0.8783318	4.98333
SYTL4	Synaptotagmin-like 4 (granuphilin-a)	Hs.376981	0.8686386	2.54623
RGS5	Regulator of G-protein signalling 5	Hs.24950	0.8590866	3.17894
EBAF	Endometrial bleeding associated factor	Hs.25195	0.8379553	1.89733
SDCCAG33	Serologically defined colon cancer antigen 33	Hs.284217	0.8327929	3.67324
CIT	Citron (rho-interacting, serine/threonine kinase 21)	Hs.405932	0.8305713	3.29672
PLEKHE1	Pleckstrin homology domain containing, family E	Hs.38176	0.8257496	3.43921
SQRDL	Sulfide quinone reductase-like (yeast)	Hs.435468	0.8180404	2.99402
EFS	Embryonal Fyn-associated substrate	Hs.24587	0.8119308	2.26245
FLJ31978	Hypothetical protein FLJ31978	Hs.12381	0.8101573	2.62416
SEMACAP3	semaF cytoplasmic domain associated protein 3	Hs.177635	0.8079168	2.54872
SH3BGR	SH3 domain binding glutamic acid-rich protein	Hs.47438	0.8032776	3.025
DPT	Dermatopontin	Hs.80552	0.8032766	1.85113
