Gene symbol	Gefitinib fold	Cetuximab fold	Description	Functional Category
PRIM1	?3.33	?2.32	Primase, polypeptide 1 (49 kd)	Cell cycle/DNA replication
CCNH	?2.50	?2.20	Cyclin H	Cell cycle/DNA replication
CCNC	?2.43	?2.25	Cyclin C	Cell cycle/DNA replication
TOP1	?2.20	?2.40	Topoisomerase (DNA) 1	Cell cycle/DNA replication
TOP2A	?2.17	?2.08	Topoisomerase (DNA) II ? (170 kd)	Cell cycle/DNA replication
CCNA2	?2.16	?2.20	Cyclin A2	Cell cycle/DNA replication
PCDHB5	?2.27	?2.27	Protocadherin ? 5	Cell adhesion
ITGA6	?2.20	?2.17	Integrin, ? 6	Cell adhesion
ITGB5	?2.12	?2.27	Integrin, ? 5	Cell adhesion
EMP1	?2	?4	Epithelial membrane protein 1	Cell adhesion
PCDHA10	2.06	2.01	Protocadherin ? 10	Cell adhesion
CLDN1	2.33	2.24	Claudin 1	Cell adhesion
PCDHA12	2.61	2.15	Protocadherin ? 12	Cell adhesion
CDH1	2.92	2.96	Cadherin 1, type 1, E-cadherin (epithelial)	Cell adhesion
VEGF	?3.80	?4.65	Vascular endothelial growth factor	Cell growth
LTBP2	?2.17	?2.32	Latent transforming growth factor ? binding protein 2	Cell growth
PDGFA	?2.08	?2.04	Platelet-derived growth factor ? polypeptide	Cell growth
GADD45B	2.29	2.16	Growth arrest and DNA-damage-inducible, ?	Cell growth
BST2	2.42	2.28	Bone marrow stromal cell antigen 2	Cell growth
IGFBP3	2.63	2.5	Insulin-like growth factor binding protein 3	Cell growth
TNFRSF6	?2.81	?3.70	Tumor necrosis factor receptor superfamily, member 6 (FAS)	Cell death related
TNFSF10	2.74	2.44	Tumor necrosis factor receptor (ligand) superfamily member 10 (TRAIL)	Cell death related
BCL3	?3.70	?2.31	B-cell CLL/lymphoma 3	Transcription related
SIX6	?3.22	?2.63	Sine oculis homeobox (Drosophila) homolog 6	Transcription related
ZFP37	?2.63	?2.86	Zinc finger protein homologous to Zfp37 in mouse	Transcription related
MATR3	?2.50	?2.27	Matrin 3	Transcription related
LRRC2	?2.43	?2.17	Leucine-rich-repeat-containing 2	Transcription related
PBX2	?2.17	?2.22	Pre-B-cell leukemia transcription factor 2	Transcription related
TCF6L1	?2.04	?2.63	Transcription factor 6-like 1 (mitochondrial TF 1-like)	Transcription related
HDAC2	?2	?2.50	Histone deacetylase 2	Transcription related
XBP1	?2.04	?2.2	X-box binding protein 1	Transcription related
TRAP95	2.03	2.14	Thyroid hormone receptor-associated protein, 95 kd subunit	Transcription related
HDAC7A	2.05	2.37	Histone deacetylase 7A	Transcription related
POU5F1	2.16	2.8	POU domain, class 5, transcription factor 1	Transcription related
NXPH1	?2.98	?4	Neurexophilin 1	Signal transduction
ILRAP	?2.50	?3.57	Interleukin1 receptor accessory protein	Signal transduction
PRKRIR	?2.25	?2.35	Protein-kinase, interferon-inducible dsrna dependent inhibitor	Signal transduction
TEK	?2.22	?4	TEK tyrosine kinase	Signal transduction
MAPK8IP3	2.03	2.17	Mitogen-activated protein kinase 8 interacting protein 3	Signal transduction
MAP3K10	2.1	2.17	Mitogen-activated protein kinase kinase kinase 10	Signal transduction
IL1RN	2.65	3.69	Interleukin1 receptor antagonist	Signal transduction
ARF5	?2.56	?3.33	ADP-ribosylation factor 5	Transporter
ARF1	2.61	2.12	ADP-ribosylation factor 1	Transporter
TUBB5	?8.19	?7.7	Tubulin, ? 5	Cytoskeleton
CAPZA1	?2.70	?2.56	Capping protein (actin filament), muscle Z-line, ? 1	Cytoskeleton
KRT19	2.37	4.48	Keratin 19	Cytoskeleton
LYPLA1	?2.22	?2.7	Lysophospholipase 1	Metabolism
TBCE	?2.38	?2.08	Tubulin-specific chaperone E	Basic cellular function
VBP1	?2.32	?2.5	Von Hippel-Lindau binding protein 1	Basic cellular function
N33	?2.22	?2.56	Putative prostate cancer tumor suppressor	Basic cellular function
MAN1	?2.12	?2.32	Integral inner nuclear membrane protein	Basic cellular function
CTSD	2.55	2.69	Cathepsin D (lysosomal aspartyl protease)	Secreted protein
SERPINE1	?2.70	?2.63	Serine (or cysteine) proteinase inhibitor, plasminogen activator inhibitor 1 (PAI-1)	Secreted protein
TSSC3	?5.2	?5.55	Tumor suppressing subtransferable candidate 3	Miscellaneous
PCANAP1	?2.77	?3.92	Prostate cancer associated protein 1	Miscellaneous
P23	?2.63	?2.86	Unactive progesterone receptor, 23 kd	Miscellaneous
TSSC1	2.02	2.31	Tumor suppressing subtransferable candidate 1	Miscellaneous
ANXA8	2.24	2.03	Annexin A8	Miscellaneous
SKI	2.14	2.01	V-ski avian sarcoma viral oncogene homolog	Miscellaneous
