Probe_ID	Gene Symbol	Gene ID	Gene Name	Regession Coeff	R-squared	Pearson Correlation	p-value
239427_at	Not known	Not known	Not known	-3.54	0.35	-0.59	0.000
202848_s_at	GRK6	2870	G protein-coupled receptor kinase 6	-3.64	0.31	-0.56	0.000
229054_at	C14orf181	400223	chromosome 14 open reading frame 181	-3.49	0.30	-0.54	0.000
219441_s_at	LRRK1	79705	leucine-rich repeat kinase 1	-2.53	0.28	-0.53	0.000
205718_at	ITGB7	3695	integrin, beta 7	-2.62	0.27	-0.52	0.000
231418_at	MS4A1	931	membrane-spanning 4-domains, subfamily A, member 1	-1.69	0.27	-0.52	0.000
204562_at	IRF4	3662	interferon regulatory factor 4	-1.43	0.27	-0.52	0.000
226879_at	HVCN1	84329	hydrogen voltage-gated channel 1	-1.91	0.26	-0.51	0.000
235522_at	CLEC2D	29121	C-type lectin domain family 2, member D	-1.99	0.26	-0.51	0.000
206759_at	FCER2	2208	Fc fragment of IgE, low affinity II, receptor for (CD23)	-2.44	0.26	-0.51	0.000
225530_at	MOBKL2A	126308	MOB1, Mps One Binder kinase activator-like 2A (yeast)	-2.01	0.26	-0.51	0.000
206255_at	BLK	640	B lymphoid tyrosine kinase	-1.66	0.26	-0.51	0.000
225610_at	UHRF2	115426	ubiquitin-like with PHD and ring finger domains 2	-2.52	0.26	-0.51	0.000
227182_at	SUSD3	203328	sushi domain containing 3	-1.56	0.26	-0.51	0.000
244172_at	Not known	Not known	Not known	-1.48	0.25	-0.50	0.000
242104_at	Not known	Not known	Not known	-1.57	0.25	-0.50	0.000
205297_s_at	CD79B	974	CD79b molecule, immunoglobulin-associated beta	-1.17	0.25	-0.50	0.000
227393_at	ANO9	338440	anoctamin 9	-3.13	0.25	-0.50	0.000
