Probe ID	Fold change (Non-responder / Responder)	T-test P value	Gene Symbol	GenBank	Gene Name
41470_at	2.839	0.0231	PROML1	AF027208	prominin-like 1 (mouse)
33703_f_at	2.398	0.00548	PCK1; PEPCK1; PEPCKC	L12760	Human phosphoenolpyruvate carboxykinase (PCK1) gene, complete cds with repeats.
35981_at	2.217	0.0501		D17291	Human gene for regenerating protein I beta, complete cds.
40386_r_at	1.854	0.0418	TDGF3; CR-3; TDGF1; TDGF2; CRIPTO; CRIPTO-3	M96956	Human (clone CR-3) teratocarcinoma-derived growth factor 3 (TDGF3) mRNA, complete cds.
948_s_at	1.83	0.0363	PPID; CYPD; CYP-40	D63861	Homo sapiens DNA for cyclophilin 40, complete cds.
1553_r_at	1.788	0.0857	CYP2A13; CPAD	U22028	Human cytochrome P450 (CYP2A13) gene, complete cds.
39062_at	1.709	0.0589		AL008726	Cluster  Incl.  AL008726:dJ337O18.2  (Lysosomal  Protective  Protein  precursor  (EC  3.4.16.5,  Cathepsin  A,  Carboxypeptidase  C))  /cds=(133,1575)  /gb=AL008726  /gi=3183870  /ug=Hs.118126  /len=1946
1125_s_at	1.651	0.0521	CD44	L05424	L05424  /FEATURE=cds#1  /DEFINITION=HUMSCG19  Human  cell  surface  glycoprotein  CD44  (CD44)  gene,  3  end  of  long  tailed  isoform
38072_at	1.639	0.0223		AL031432	Cluster  Incl.  AL031432:Human  DNA  sequence  from  clone  465N24  on  chromosome  1p35.1-36.13.  Contains  two  novel  genes,  ESTs,  GSSs  and  CpG  islands  /cds=(201,1073)  /gb=AL031432  /gi=4375969  /ug=Hs.8084  /len=1414
40891_f_at	1.614	0.0533	DXS9879E	X92896	DNA segment on chromosome X (unique) 9879 expressed sequence
41152_f_at	1.607	0.0859	RPL36A	T89651	ribosomal protein L36A
32225_at	1.589	0.000905		X04297	ATPase alpha subunit (aa 1-1023); Human mRNA for Na,K-ATPase alpha-subunit.
41585_at	1.569	0.0991	KIAA0746	AB018289	KIAA0746 protein
35194_at	1.567	0.0288	GPX2	X53463	glutathione peroxidase 2 (gastrointestinal)
40487_at	1.564	0.00856	MC7	W26634	likely ortholog of mouse brain cDNA 7
35306_at	1.558	0.0914	DDX15	AB001636	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 15
33650_at	1.529	0.0542	DDX27	W25911	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 27
40141_at	1.491	0.0688	CUL4B	AB014595	cullin 4B
32878_f_at	1.484	0.0211		AA524802	ESTs, Weakly similar to  H3 histone, family 3B [Homo sapiens] [H.sapiens]
32597_at	1.463	0.0558	RBL2	X76061	retinoblastoma-like 2 (p130)
34340_at	1.46	0.06	CYB5-M	AA173896	cytochrome b5 outer mitochondrial membrane precursor
33374_at	1.452	0.0637	C2; CO2	L09708	Homo sapiens complement component 2 (C2) gene allele b, exons 10 through 18 and complete cds.
37061_at	1.448	0.0446	CHIT1	U29615	chitinase 1 (chitotriosidase)
36816_s_at	1.43	0.0849	CFTR	M28668	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)
35384_at	1.427	0.0466	HRH1	Z34897	histamine receptor H1
266_s_at	1.425	0.0678	CD24	L33930	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
39766_r_at	1.417	0.0501	POLR2K	AI744294	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa
35646_at	1.413	0.0783	SURF1	Z35093	surfeit 1
39812_at	1.404	0.065	MRPL12	X79865	mitochondrial ribosomal protein L12
41225_at	1.403	0.0379	DUSP3	AL049417	EST
38736_at	1.402	0.0471	WDR1	AL050108	WD repeat domain 1
41488_at	1.402	0.0679		AC_002394	Cluster  Incl.  AC002394:Human  Chromosome  16  BAC  clone  CIT987SK-A-211C6  /cds=(236,604)  /gb=AC002394  /gi=2815550  /ug=Hs.28607  /len=918
36667_at	1.397	0.0414	PYGB	U47025	phosphorylase, glycogen; brain
35632_at	1.392	0.0993	CBLB	U26710	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
32046_at	1.391	0.0149	PRKCD	D10495	protein kinase C, delta
31509_at	1.385	0.0247	RPL13	X64707	ribosomal protein L13
34865_at	1.375	0.0455	NDUFS6	AI360249	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)
32805_at	1.372	0.0259	AKR1C1; C9; DD1; DDH; DDH1; H-37; MBAB; HAKRC; MGC8954; 2-ALPHA-HSD; 20-ALPHA-HSD	U05861	Human hepatic dihydrodiol dehydrogenase gene, exon 9.
39758_f_at	1.372	0.0297	LAMP1	J04182	lysosomal-associated membrane protein 1
