Affymetrix ID	Gene name/ID	n CN>8	n EXP>4X	Mean CN	Mean EXP XP	Correlation	P-value
241535_at	LOC388920	1	1	50	64	0.9942	<0.0001
220487_at	SNTG2	1	1	99	86	0.9995	<0.0001
210342_s_at	TPO	1	1	99	21.7	0.9965	<0.0001
216941_s_at	TAF1B	2	2	11.3	13.8	0.7173	0.0195
239046_at	Anon	2	2	11.3	7.7	0.5421	0.1055
235878_at	FLJ42198	2	2	11.3	10.8	0.7689	0.0093
230948_at	yj20d11.s1mRNA	2	2	11.3	8.8	0.696	0.0254
222830_at	LBP-32	3	2	13.5	7	0.8563	0.0016
1553137_s_at	TIEG2	3	1	13.5	4.16	0.7963	0.0058
209773_s_at	RRM2	3	3	18	7.8	0.8278	0.0031
242556_at	Anon	3	0	19	—	0.754	0.0118
212552_at	HPCAL1	3	3	19	7.75	0.9765	<0.0001
200790_at	ODC1	3	3	19	6.2	0.8856	0.0007
244728_at	Anon	3	0	18	—	0.8472	0.002
1565577_s_at	FLJ34486	2	2	19	10.6	0.991	<0.0001
222684_s_at	FLJ14075	2	2	19	11.6	0.974	<0.0001
208638_at	ATP6V1C2	2	2	19	5.2	0.8986	0.0004
208639_x_at	P5	2	2	19	6.8	0.872	0.001
216640_s_at	FLJ23273	2	2	19	9.1	0.9068	0.0003
210263_at	KCNF1	2	0	19	—	0.2528	0.4811
225579_at	MGC33602	2	0	34	—	-0.1702	0.6382
211504_x_at	ROCK2	2	2	34	10.3	0.9187	0.0002
205862_at	GREB1	3	3	31	12.5	0.7809	0.0077
206899_at	NTSR2	3	1	31	374	0.9515	<0.0001
234250_at	FLJ20410	3	1	44	8.5	0.8528	0.0017
212274_at	LPIN1	2	2	19	19.2	0.8888	0.0006
202479_s_at	TRB2	3	2	15	15	0.5062	0.1355
1566716_at	DKFZp566F0224	3	0	26.5	—	0.5915	0.0717
234331_s_at	NSE1	3	2	26.5	21.7	-0.163	0.6528
231439_at	ZD76G03 cDNA	3	2	26.5	6.45	0.7525	0.012
229546_at	LOC400944	9	3	33.1	97	0.7604	0.0107
240579_at	NAG	9	4	33.1	45.8	0.1095	0.7633
207478_at	Anon	9	0	38	—	0.1966	0.5861
207477_at	Anon	9	1	38	6.1	0.4958	0.145
201241_at	DDX1	9	5	41	6.6	0.0791	0.828
207028_at	NCYM	10	9	35	38.9	0.3067	0.3886
211377_x_at	MYCN	10	9	35	33.7	0.1668	0.6452
230276_at	DKFZP566A1524	7	0	17.4	—	0.5437	0.1043
226324_s_at	SLB	1	0	13	—	0.1363	0.7074
218843_at	FRCP1	1	0	17	—	0.2611	0.4662
225050_at	ZNF512	1	1	17	8.5	0.0229	0.9533
220321_s_at	FLJ13646	1	1	18	20.8	0.0206	0.9581
209313_at	XAB1	1	1	18	20	0.0353	0.928
201838_s_at	STAF65	1	1	18	20.6	0.001	0.98
218682_s_at	SLC4A1AP	1	1	18	22.9	0.0261	0.947
203781_at	MRPL33	1	1	18	10.1	-0.1578	0.6633
57540_at	RBSK	1	1	17	14.8	-0.0896	0.8056
1562111_at	MAGE:5285600	1	1	13	6.9	-0.0332	0.9274
225262_at	FOSL2	1	0	43	—	0.037	0.9192
235703_at	PLB	1	1	43	7.3	0.6513	0.0574
1553310_at	Anon	1	1	46	34.8	0.6647	0.0508
231036_at	Anon	1	1	46	83.8	0.6569	0.0546
228222_at	PPP1CB	1	0	16	—	0.2694	0.4834
221229_s_at	FLJ20628	1	0	16	—	0.1656	0.6475
214662_at	KIAA0007	1	0	16	—	0.7171	0.0196
238186_at	Anon	1	0	16	—	0.4237	0.2224
242710_at	Anon	1	1	42	4.8	0.9214	0.0002
226425_at	FLJ21069	1	0	42	—	0.882	0.0007
242964_at	Anon	1	1	42	20.9	0.9732	<0.0001
208211_s_at	ALK	1	1	42	24.9	0.9891	<0.0001
222408_s_at	CGI-127	1	0	19	—	0.4318	0.2128
