Affy ID	Gene Title	Gene Symbol	Ratio(Mt/Wt)
1427801_at	keratin associated protein 16-2	Krtap16-2	0.04432133
1439384_at	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	Slc13a3	0.059677419
1438612_a_at	---	---	0.070217918
1438551_at	neurogenin 1	Neurog1	0.071790541
1451206_s_at	pleckstrin homology, Sec7 and coiled-coil domains, binding protein	Pscdbp	0.075301205
1460613_x_at	growth hormone	Gh	0.082603254
1426937_at	RIKEN cDNA 6330406I15 gene	6330406I15Rik	0.083102493
1460309_at	T-cell acute lymphocytic leukemia 2	Tal2	0.083507307
1419571_at	solute carrier family 28 (sodium-coupled nucleoside transporter), member 3	Slc28a3	0.092369478
1421687_at	beta-microseminoprotein	Msmb	0.093240093
1427281_at	RIKEN cDNA A230052E19 gene	A230052E19Rik	0.097222222
1420346_at	ankyrin repeat and SOCS box-containing protein 12	Asb12	0.09771987
1416784_at	phosphoglycerate kinase 2	Pgk2	0.099740933
1421776_at	olfactory receptor 74	Olfr74	0.101593625
1427665_a_at	nuclear factor I/C	Nfic	0.103139013
1420512_at	dickkopf homolog 2 (Xenopus laevis)	Dkk2	0.103286385
1423640_at	synaptoporin	Synpr	0.104504505
1427340_at	regulator of G-protein signaling 6	Rgs6	0.105947955
1422099_a_at	opioid receptor-like	Oprl	0.108108108
1423400_at	klotho	Kl	0.118852459
1425458_a_at	growth factor receptor bound protein 10	Grb10	0.123129495
1459814_at	RIKEN cDNA 1110006I15 gene	1110006I15Rik	0.124137931
1450160_at	leukemia inhibitory factor	Lif	0.124183007
1451946_a_at	calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)	Cabyr	0.128
1453265_at	RIKEN cDNA 4930579C15 gene	4930579C15Rik	0.128089888
1456598_at	DNA segment, Chr 5, ERATO Doi 577, expressed	D5Ertd577e	0.129193433
1448974_at	doublecortin	Dcx	0.130730051
1454912_at	pre-B-cell leukemia transcription factor 4	Pbx4	0.131455399
1433678_at	expressed sequence AI132321	AI132321	0.133732535
1425677_a_at	ankyrin 1, erythroid	Ank1	0.136518771
1425729_at	vitelliform macular dystrophy 2-like protein 1	Vmd2l1	0.137071651
1453515_at	RIKEN cDNA 4930511A21 gene	4930511A21Rik	0.139112903
1423669_at	procollagen, type I, alpha 1	Col1a1	0.140499195
1449015_at	resistin like alpha	Retnla	0.141779789
1421620_at	interleukin 5 receptor, alpha	Il5ra	0.147013783
1449453_at	bone marrow stromal cell antigen 1	Bst1	0.147643979
1417649_at	cyclin-dependent kinase inhibitor 1C (P57)	Cdkn1c	0.147911286
1427045_at	synaptopodin	Synpo	0.151476252
1426087_at	icos ligand	Icosl	0.156351792
1451373_at	expressed sequence AI313915	AI313915	0.156862745
1450349_at	syntaxin 1 b-like	Stx1bl	0.162835249
1419723_at	opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan)	Opn1mw	0.163333333
1456283_at	neuropilin (NRP) and tolloid (TLL)-like 1	Neto1	0.163963964
1448982_at	protease, serine, 18	Prss18	0.166841553
1460296_a_at	fibroblast growth factor 22	Fgf22	0.167231638
1460280_at	monocytic adaptor	Mona	0.167286245
1421403_at	protease inhibitor 15	Pi15	0.169381107
1424596_s_at	LIM and cysteine-rich domains 1	Lmcd1	0.169741697
1425406_at	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 6	Clecsf6	0.170212766
1449212_at	prolactin induced protein	Pip	0.175491679
1450789_at	rhophilin, Rho GTPase binding protein 1	Rhpn1	0.178926441
1423186_at	T-cell lymphoma invasion and metastasis 2	Tiam2	0.179245283
1460408_at	gamma-aminobutyric acid (GABA-A) receptor, subunit gamma 1	Gabrg1	0.179775281
1418243_at	ficolin A	Fcna	0.181490385
1421712_at	selectin, endothelial cell	Sele	0.182441701
1424729_at	cDNA sequence BC054059	BC054059	0.183219178
1423023_at	secreted frizzled-related sequence protein 5	Sfrp5	0.183453237
1421039_at	major intrinsic protein of eye lens fiber	Mip	0.183703704
1425155_x_at	colony stimulating factor 1 (macrophage)	Csf1	0.1875
1417528_at	sperm associated antigen 6	Spag6	0.188255613
1431331_at	monoglyceride lipase	Mgll	0.18957346
1425915_at	solute carrier family 26, member 8	Slc26a8	0.193377483
1420204_at	---	---	0.19379845
1438314_at	PCTAIRE-motif protein kinase 1	Pctk1	0.19554849
1433483_s_at	expressed sequence C86187	C86187	0.198347107
1425873_a_at	leptin receptor	Lepr	0.199021207
1427662_at	---	---	0.199329983
1437138_at	forkhead box M1	Foxm1	0.203296703
1425925_at	Fc receptor, IgA, IgM, high affinity	Fcamr	0.203797468
1460405_at	RIKEN cDNA 2810441C07 gene	2810441C07Rik	0.205679202
1450279_at	G protein-coupled receptor 73	Gpr73	0.206756757
1426041_a_at	FYVE, RhoGEF and PH domain containing 4	Fgd4	0.2092257
1452723_at	RIKEN cDNA 2310051E17 gene	2310051E17Rik	0.211281071
1460218_at	CD52 antigen	Cd52	0.215817694
1420807_a_at	EGF-like-domain, multiple 9	Egfl9	0.217948718
1460310_a_at	growth hormone	Gh	0.219889503
1424262_at	RIKEN cDNA 2810003C17 gene	2810003C17Rik	0.220301581
1448021_at	Transcribed sequences	---	0.223001403
1452801_at	phosphatidylinositol glycan, class K	Pigk	0.223577236
1450689_at	trypsin 4	Try4	0.226107226
1429562_at	RIKEN cDNA 5031415C07 gene	5031415C07Rik	0.229551451
1450142_a_at	caspase recruitment domain family, member 14	Card14	0.231917336
1425151_a_at	NADPH oxidase organizer 1	Noxo1	0.232123212
1417244_a_at	interferon regulatory factor 7	Irf7	0.233236152
1451603_at	cDNA sequence BC022744	BC022744	0.234345351
1426942_at	absent in melanoma 1	Aim1	0.234398782
1417877_at	RIKEN cDNA 2310005P05 gene	2310005P05Rik	0.235867446
1450545_a_at	deoxynucleotidyltransferase, terminal	Dntt	0.236459709
1424814_a_at	Bcl2-like 14 (apoptosis facilitator)	Bcl2l14	0.23803132
1437946_x_at	Rap guanine nucleotide exchange factor (GEF) 3	Rapgef3	0.242647059
1419106_at	RIKEN cDNA 2210409E12 gene	2210409E12Rik	0.246459522
1419206_at	CD37 antigen	Cd37	0.246530612
1448022_at	---	---	0.247944079
1460300_a_at	leukocyte tyrosine kinase	Ltk	0.249253731
1449867_at	homeo box C9	Hoxc9	0.257309942
1422300_at	noggin	Nog	0.25982256
1439051_a_at	MAP/microtubule affinity-regulating kinase 4	Mark4	0.260980592
1449088_at	fructose bisphosphatase 2	Fbp2	0.261988304
1421244_at	estrogen receptor 1 (alpha)	Esr1	0.263378804
1427017_at	special AT-rich sequence binding protein 2	Satb2	0.266313933
1450520_at	calcium channel, voltage-dependent, gamma subunit 3	Cacng3	0.26681128
1422735_at	forkhead box Q1	Foxq1	0.269642857
