Gene Symbol	Fold Change	Gene Title	Chromosomal Location	Affymetrix Probeset ID
MUC4	0.04	mucin 4, tracheobronchial	3q29	217109_at
MUC4	0.04	mucin 4, tracheobronchial	3q29	217110_s_at
NA	0.04	Homo sapiens cDNA FLJ44379 fis, clone TRACH3035235	3p21.1	239150_at
C20orf85	0.05	chromosome 20 open reading frame 85	20q13.32	229542_at
UPK1B	0.05	uroplakin 1B	3q13.3-q21	210065_s_at
FLJ37927	0.05	CDC20-like protein	5q11.2	240161_s_at
GSTA2	0.06	glutathione S-transferase A2	6p12.1	203924_at
IMUP	0.06	immortalization-upregulated protein	19q13.13	223631_s_at
LTF	0.06	lactotransferrin	3q21-q23	202018_s_at
NA	0.06	Homo sapiens cDNA FLJ44282 fis, clone TRACH2003516	16p13.11	240304_s_at
TMC5	0.06	transmembrane channel-like 5	16p13.11	219580_s_at
KRT4	0.06	keratin 4	12q12-q13	213240_s_at
C9orf24	0.06	chromosome 9 open reading frame 24	9p13.2	229012_at
PIGR	0.06	polymeric immunoglobulin receptor	1q31-q41	226147_s_at
FLJ25333	0.07	hypothetical protein FLJ25333	5q15	240065_at
TSGA2	0.07	testes specific A2 homolog (mouse)	21q22.3	230093_at
FLJ25200	0.07	hypothetical protein FLJ25200	3p24.3	239477_at
MSMB	0.07	microseminoprotein, beta-	10q11.2	207430_s_at
S100P	0.07	S100 calcium binding protein P	4p16	204351_at
OMG	0.08	oligodendrocyte myelin glycoprotein	17q11.2	238720_at
AKAP28	0.08	A-kinase anchoring protein 28	Xq25	237281_at
LOC136288	0.08	hypothetical protein LOC136288	7p12.3	1557636_a_at
NA	0.08	Homo sapiens similar to RIKEN cDNA 1700028P14 (LOC138255), mRNA	9q21.13	243610_at
LOC146845	0.08	hypothetical protein LOC146845	17p13.1	239916_at
LCN2	0.08	lipocalin 2 (oncogene 24p3)	9q34	212531_at
MUC4	0.08	mucin 4, tracheobronchial	3q29	204895_x_at
UPK1B	0.08	uroplakin 1B	3q13.3-q21	210064_s_at
DKFZp547I048	0.08	hypothetical protein DKFZp547I048	1p31.1	229973_at
DNCL2B	0.08	dynein, cytoplasmic, light polypeptide 2B	16q23.3	238116_at
SCGB1A1	0.08	secretoglobin, family 1A, member 1 (uteroglobin)	11q12.3-q13.1	205725_at
MSMB	0.08	microseminoprotein, beta-	10q11.2	210297_s_at
MUC16	0.09	mucin 16	19q13.2	220196_at
TMC5	0.09	transmembrane channel-like 5	16p13.11	222904_s_at
HSPC065	0.09	HSPC065 protein	16q13	222890_at
CYP4B1	0.09	cytochrome P450, family 4, subfamily B, polypeptide 1	1p34-p12	210096_at
KCNE1	0.09	potassium voltage-gated channel, Isk-related family, member 1	21q22.1-q22.2	236407_at
CHST9	0.09	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	18q11.2	223737_x_at
CGI-38	0.09	brain specific protein	16q22.1	218876_at
CLIC6	0.09	chloride intracellular channel 6	21q22.12	227742_at
CHST9	0.09	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 /// carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	18q11.2 /// 18q11.2	224400_s_at
FLJ40427	0.1	hypothetical protein FLJ40427	3p21.2	243802_at
SERPINB3	0.1	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	18q21.3	209720_s_at
MGC27085	0.1	hypothetical protein MGC27085	3q26.31	236918_s_at
MGC26610	0.1	hypothetical protein MGC26610	5p13.2	236085_at
MGC13040	0.1	hypothetical protein MGC13040 /// hypothetical protein MGC13040	11q22.2 /// 11q22.2	224463_s_at
SPAG6	0.1	sperm associated antigen 6	10p12.2	210033_s_at
SLPI	0.11	secretory leukocyte protease inhibitor (antileukoproteinase)	20q12	203021_at
PROM1	0.11	prominin 1	4p15.33	204304_s_at
FLJ32926	0.11	hypothetical protein FLJ32926	19q13.33	233157_x_at
LOC120224	0.11	hypothetical protein BC016153	11q24.3	230323_s_at
RRAD	0.11	Ras-related associated with diabetes	16q22	204803_s_at
TSPAN-1	0.11	tetraspan 1	1p34.1	209114_at
