Gene Symbol	Receptors	hESC	hESC/EB
PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	89	195.9
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	604	12.5
HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	194	7.3
FZD5	frizzled homolog 5 (Drosophila)	272	5.9
KISS1R	KISS1 receptor	61	4
GPRC5B	G protein-coupled receptor, family C, group 5, member B	902	3.3
IL17RB	interleukin 17 receptor B	92	3.3
BMPR1A	bone morphogenetic protein receptor, type IA	196	2.7
FGFR4	fibroblast growth factor receptor 4	922	2.5
TNFRSF8	tumor necrosis factor receptor superfamily, member 8	68	2.4
CRLF3	cytokine receptor-like factor 3	210	1.9
ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	126	1.9
ROR1	receptor tyrosine kinase-like orphan receptor 1	840	1.8
GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1	58	1.7
ACVR2B	activin A receptor, type IIB	414	1.6
ADRA2C	adrenergic, alpha-2C-, receptor	115	1.6
PDGFRL	platelet-derived growth factor receptor-like	89	1.4
GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	449	1.3
FLT4	fms-related tyrosine kinase 4	259	1.3
RARG	retinoic acid receptor, gamma	172	1.3
OPRS1	opioid receptor, sigma 1	1530	1.2
NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	352	1.2
