UniGene ID	Gene Name	Description	SAM Score(d)
Hs.1722	IL1A	Interleukin 1, alpha	8.62
Hs.138211	MAPK8	Mitogen-activated protein kinase 8	5.03
Hs.484551	CPM	Carboxypeptidase M	4.88
Hs.504877	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	4.57
Hs.89649	EPHX1	Epoxide hydrolase 1, microsomal (xenobiotic)	4.52
Hs.135646	ELF1	E74-like factor 1 (ets domain transcription factor)	5.47
Hs.134221	MBNL2	Muscleblind-like 2 (Drosophila)	4.92
Hs.224012	JAG1	Jagged 1 (Alagille syndrome)	4
Hs.98367	SOX17	SRY (sex determining region Y)-box 17	6.36
Hs.351068	SPATA22	Spermatogenesis associated 22	6.23
Hs.528821	SPAG17	Sperm associated antigen 17	5.29
Hs.121494	SPAM1	Sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	4.94
Hs.213194	SOX7	SRY (sex determining region Y)-box 7	4.84
Hs.629177	TCAM1	Testicular cell adhesion molecule 1 homolog (mouse)	4.67
Hs.632137	CUGBP1	CUG triplet repeat, RNA binding protein 1	4.78
Hs.436445	OSGIN2	Oxidative stress induced growth inhibitor family member 2	4.59
Hs.119693	PCDHB5	Protocadherin beta 5	7.92
Hs.489142	COL1A2	Collagen, type I, alpha 2	6.48
Hs.372946	LOC440895	Similar to LIM and senescent cell antigen-like domains 3	5.98
Hs.55999	NKX3-1	NK3 transcription factor related, locus 1 (Drosophila)	5.52
Hs.54473	NKX2-5	NK2 transcription factor related, locus 5 (Drosophila)	5.08
Hs.154210	EDG1	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	4.99
Hs.645216	IGFBP7	Insulin-like growth factor binding protein 7	4.99
Hs.522805	CD99L2	CD99 molecule-like 2	4.45
Hs.234763	NKX2-8	NK2 transcription factor related, locus 8 (Drosophila)	4.45
Hs.274313	IGFBP6	Insulin-like growth factor binding protein 6	4.14
Hs.528847	MYADML	Myeloid-associated differentiation marker-like	3.99
Hs.555902	DDEF2	Development and differentiation enhancing factor 2	3.88
Hs.106015	DDEF1	Development and differentiation enhancing factor 1	3.87
