Probeset ID	Gene symbol	Fold change (O/G)
202718_at	IGFBP2	-5.08959
218802_at	FLJ20647	-2.91583
225799_at	MGC4677	-2.8173
208659_at	CLIC1	-2.61081
208816_x_at	ANXA2P2	-2.71187
202627_s_at	SERPINE1	-3.19988
200916_at	TAGLN2	-2.75073
211964_at	COL4A2	-3.15335
1569003_at	TMEM49	-2.55704
211980_at	COL4A1	-2.54365
224917_at	MIRN21	-2.80828
206157_at	PTX3	-3.61317
202237_at	NNMT	-5.25017
218368_s_at	TNFRSF12A	-3.25914
201590_x_at	ANXA2	-2.13874
203729_at	EMP3	-4.89802
207447_s_at	GNTIVH	3.67803
200771_at	LAMC1	-2.13758
210512_s_at	VEGF	-2.38347
209360_s_at	RUNX1	-2.62608
201012_at	ANXA1	-3.02947
217739_s_at	PBEF1	-2.00338
209395_at	CHI3L1	-6.47009
213418_at	HSPA6	-2.51082
205479_s_at	PLAU	-3.02588
231935_at	ARPP-21	2.65251
223276_at	NID67	-2.20265
221577_x_at	GDF15	-2.97996
201666_at	TIMP1	-6.28863
221729_at	COL5A2	-2.4534
202912_at	ADM	-3.24857
208636_at	ACTN1	-2.11803
226722_at	FAM20C	-1.89925
215223_s_at	SOD2	-2.17665
203146_s_at	GABBR1	2.43357
210095_s_at	IGFBP3	-2.52806
208394_x_at	ESM1	-3.3496
200600_at	MSN	-2.09518
213308_at	SHANK2	2.07505
227295_at	IKIP	-1.84117
221898_at	PDPN	-3.90831
205572_at	ANGPT2	-3.40265
212533_at	WEE1	-2.39671
203186_s_at	S100A4	-2.50762
200650_s_at	LDHA	-1.70141
229724_at	GABRB3	2.33161
201505_at	LAMB1	-2.08128
204465_s_at	INA	3.98978
227425_at	REPS2	2.13658
202990_at	PYGL	-1.55722
212169_at	FKBP9	-1.96699
202878_s_at	C1QR1	-2.13239
232059_at	DSCAML1	2.59214
214762_at	ATP6V1G2	2.20731
