Gene symbol	Gene name	Mean 1	Mean 2	Ratio
COL10A1	Collagen, type X, alpha 1	3.81	310.55	81.51
COL2A1	Collagen, type II, alpha 1	17.48	1326.98	75.92
MMP10	Matrix metalloproteinase 10 (stromelysin 2)	1.69	118.49	69.94
AGC1	Aggrecan 1 (chondroitin sulphate proteoglycan 1)	10.14	158.53	15.64
H19	H19 gene	9.56	128.5	13.44
COL11A1	Collagen, type XI, alpha 1	19.87	252.41	12.7
FXYD6	FXYD domain containing ion transport regulator 6	1.5	18.79	12.51
HAPLN1	Hyaluronan and proteoglycan link protein 1 (cartilage linking protein 1)	8.71	105.73	12.14
SCRG1	Scrapie-responsive protein 1	5.94	65.69	11.05
MAP3K7IP1	Mitogen-activated protein kinase kinase kinase 7 interacting protein 1	1.29	14.15	10.98
ANGPTL2	Angiopoietin-like 2	9.9	105.85	10.69
FMOD	Fibromodulin	29.47	296.76	10.07
COMP	Cartilage oligomeric matrix protein	92.71	908.45	9.8
COL9A2	Collagen, type IX, alpha 2	3.08	28.93	9.4
CTGF	Connective tissue growth factor	14.01	126.7	9.05
PRELP	Proline arginine-rich end leucine-rich repeat protein	32.51	259.19	7.97
MMP13	Matrix metalloproteinase 13 (collagenase 3)	2.37	18.57	7.82
WWP2	Nedd-4-like ubiquitin-protein ligase (WWP2)	1.36	10.39	7.62
CHAD	Chondroadherin	4.29	31.91	7.43
MATN3	Matrilin 3	2.08	14.17	6.81
PTK2	Focal adhesion kinase pp125 (tyrosine kinase)	2.35	15.09	6.43
COL1A1	Collagen, type I, alpha 1	88.66	565.94	6.38
SPP1	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I)	13.2	83.52	6.33
ICAM1	Intercellular adhesion molecule 1 (CD54),	8.7	53.23	6.12
SURF4	Surfeit 4	17.46	102.4	5.86
SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	288.67	1630.26	5.65
IBSP	Integrin-binding sialoprotein (bone sialoprotein, bone sialoprotein II)	7.05	36.4	5.16
API5	Apoptosis inhibitor 5 (FGF2-interacting factor, XAGL protein)	3.41	16.49	4.83
LUM	Lumican	32.74	157.06	4.8
SERPINA3	Serine (or cysteine) proteinase inhibitor, clade A, member 3	17.71	79.77	4.5
PCSK1N	Proprotein convertase subtilisin/kexin type 1 inhibitor	3.96	17.72	4.47
TSC22	Transforming growth factor beta-stimulated protein TSC-22	10.74	43.44	4.05
CRTAC1	Cartilage acidic protein 1 (CEP-68)	2.83	10.5	3.72
MIA	Melanoma inhibitory activity (CD-RAP)	6.89	24.37	3.54
CHI3L2	Chitinase 3-like 2 (YKL-39)	9.88	34.74	3.52
COL12A1	Collagen, type XII, alpha 1	6.23	21.75	3.49
MRC2	Mannose receptor, C type 2 (endo 180)	24.99	83.73	3.35
LECT1	Leukocyte cell-derived chemotaxin 1 (chondromodulin I precursor)	5.95	18.6	3.13
AEBP1	AE (adipocyte enhancer) binding protein 1	13.25	39.04	2.95
DCN	Decorin	51.27	146	2.85
CSPG4	Chondroitin sulphate proteoglycan 4 (melanoma-associated) (NG2)	4.69	13.28	2.83
GSK3A	Glycogen synthase kinase 3alpha	9.13	25.27	2.77
BGN	Biglycan	123.85	340.53	2.75
THBS1	Thrombospondin-1	13.14	35.47	2.7
MGP	Matrix Gla protein	17.51	45.43	2.59
FN1	Fibronectin 1	751.2	1942.12	2.59
ACTA2	Actin, alpha 2, smooth muscle, aorta	5.17	13.01	2.52
PTHR1	Parathyroid hormone receptor 1	30.56	74.61	2.44
BGLAP	Bone ã -carboxyglutamate (gla) protein (osteocalcin)	15.5	37.46	2.42
COL3A1	Collagen, type III, alpha 1	67.63	149.93	2.22
SERPINF1	Serine (or cysteine) proteinase inhibitor, clade F, member 1	77.07	166.4	2.16
