Systematic Name	Common Name	GenBank ID	LLID	Description	Function
92366_at	Lama2	NM_008481	16773	laminin, alpha 2	Cell adhesion
96049_at	Bgn	NM_007542	12111	biglycan	Cell adhesion
92558_at	Vcam1	NM_011693	22329	vascular cell adhesion molecule 1	Cell adhesion
101110_at	Col6a3	NM_009935	12835	procollagen, type VI, alpha	Cell adhesion
160469_at	Thbs1	NM_011580	21825	Mus musculus thrombospondin (THBS1) gene	Cell adhesion
102751_at	Tgfb3	NM_009368	21809	transforming growth factor, beta 3	Cell cycle/cell growth
100507_at	Nov	NM_010930	18133	nephroblastoma overexpressed gene	Cell cycle/cell growth
93953_at	Prss12	NM_008939	19142	protease, serine, 12 neurotrypsin (motopsin)	ECM/EC space
93750_at	Gsn	NM_146120	227753	mouse gelsolin gene	ECM/EC space
160280_at	Cav	NM_007616	12389	caveolin, caveolae protein	Integral membrane proteins
93511_at	Itm2a	NM_008409	16431	integral membrane protein 2A	Integral membrane proteins
92407_at	Myom1	NM_010867	17929	myomesin 1	Other
