Ratio.13 vs 0	Map	Gene	Description
20.94	13q13	MAB21L1	Mab-21-like 1 (Caenorhabditis elegans)
9.27	13q13.1	SPG20	“Spastic paraplegia 20, spartin (Troyer syndrome)”
5.24	13q22	SCEL	Sciellin
3.25	13q32	ZIC2	“Zic family member 2 (odd-paired homologue,Drosophila)”
2.64	13	NA	“ESTs, weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precursor (Homo sapiens)”
2.48	13q21.33	LMO7	LIM domain only 7
2.21	13q31.2-q32.3	STK24	“Serine/threonine kinase 24 (STE20 homologue, yeast)”
2.2	13q34	C13orf11	Chromosome 13 open reading frame 11
2.03	13q14.3	ITM2B	Integral membrane protein 2B
2.01	13	NA	“Human BRCA2 region, mRNA sequence CG011”
