Fold change	Public ID	Gene title	Gene symbol	Expression
10	AF03568	Chemokine (C–C motif) ligand 21 (leucine)	Ccl21b	Up-regulated
8.6	M80423	Unknown		Up-regulated
6.4	AF041335	Myocilin	Myoc	Up-regulated
3.4	AW060787	Similar to lactase-phlorizin hydrolase precursor		Up-regulated
3.4	AA967539	Interleukin 4	Il4	Up-regulated
3.4	M88355	Oxytocin-neurophysin I	Oxt	Up-regulated
3.2	AA796831	Small nuclear ribonucleoprotein D3	Snrpd3	Up-regulated
3	X53929	Decorin	Dcn	Up-regulated
3	AI849615	Growth arrest specific 5	GAS 5	Up-regulated
2.8	AA600542	RIKEN cDNA 5730453H04 gene	5730453H04Rik	Up-regulated
2.6	AF080070	Zinc finger protein 54	Zfp54	Up-regulated
2.6	AV139913	Chemokine (C–X–C motif) ligand 12	Cxcl12	Up-regulated
2.6	M18237	Anti-DNA immunoglobulin light chain variable region, clone 4B2		Up-regulated
2.6	AF059029	Calcium/calmodulin-dependent protein kinase II, delta	Camk2d	Up-regulated
2.4	U66835	Expressed sequence AI605202	AI605202	Up-regulated
2.4	U65592	Potassium voltage-gated channel, shaker-related subfamily, beta member 2	Kcnab2	Up-regulated
2.4	X06454	Sex-limited protein	Slp	Up-regulated
2.4	D5261	Discs large homolog 4 (Drosophila)	Dlgh4	Up-regulated
2.4	AI854813	Hypothtical protein A630053O10	A630053O10	Up-regulated
2.4	AA270365	Cytokine receptor-like factor 1	Crlf1	Up-regulated
2.4	AI836117	Ras related GTP binding A	Rraga	Up-regulated
2.4	X83569	Neuronatin	Nnat	Up-regulated
2.4	L17076	hnRNP-associated with lethal yellow	Raly	Up-regulated
2.4	N28141	Weakly similar to protein NP 081764.1		Up-regulated
2.2	AF017255	Synuclein, gamma	Sncg	Up-regulated
2.2	AF029843	Phosphoglycerate mutase 2	Pgam2	Up-regulated
2.2	X79083	Eph receptor A7	Epha7	Up-regulated
2.2	D87271	Mitogen activated protein kinase 1	Mapk1	Up-regulated
2.2	X02801	Glial fibrillary acidic protein	Gfap	Up-regulated
2.2	X56690	Chromobox homolog 1 (Drosophila HP1 beta)	Cbx1	Up-regulated
2.2	X69867	5-Hydroxtryptamine (serotonin) receptor 5B	Htr5b	Up-regulated
