ProbeID	Description	Gene symbol	Fold change (adjacent/normal)	Parametric P value
160564_at	Lipocalin 2	Lcn2	4.26	1.57E-05
97420_at	Leucine-rich a-2-glycoprotein 1	Lrg1	3.65	2.00E-07
98467_at	Inter a-trypsin inhibitor, heavy chain 4	Itih4	3.19	7.10E-06
101912_at	RIKEN cDNA 1100001G20 gene	1100001G20Rik	2.98	<1E-07
160406_at	Cathepsin K	Ctsk	2.61	1.30E-06
92849_at	Chemokine (C-C motif) ligand 6	Ccl6	2.53	9.20E-06
100507_at	Nephroblastoma-overexpressed gene	Nov	2.36	2.00E-07
97519_at	Secreted phosphoprotein 1	Spp1	2.16	2.70E-06
104308_at	Integrin a X	Itgax	2.11	1.36E-05
96787_at	Serine (or cysteine) peptidase inhibitor, clade A (a-1 antiproteinase, antitrypsin), member 10	Serpina10	2.07	8.99E-05
95597_at	Prostaglandin-endoperoxide synthase 1	Pigs1	2.07	6.40E-06
92918_at	Coagulation factor VII	F7	2.03	3.20E-06
98859_at	Acid phosphatase 5, tartrate resistant	Acp5	1.97	2.86E-05
162198_f_at	NA	NA	1.94	<1E-07
103258_at	Lymphocyte antigen 75	Ly75	1.88	4.70E-06
95784_at	Paired-Ig–like receptor A1	Pira1	1.86	2.23E-05
93354_at	Apolipoprotein C-1	Apoc1	1.86	1.70E-05
103016_s_at	CD68 antigen	Cd68	1.82	5.58E-05
97413_at	RIKEN cDNA 1600029D21 gene	1600029D21Rik	1.78	3.00E-07
92762_at	C-type lectin domain family 4, member a2	Clec4a2	1.75	9.60E-06
92633_at	Cathepsin Z	Ctsz	1.74	7.91E-05
161895_s_at	cDNA sequence BC054822	BC054822	1.69	1.23E-05
99071_at	Macrophage-expressed gene 1	Mpeg1	1.67	7.03E-05
100607_at	Phospholipase D family, member 3	Pld3	1.66	6.31E-05
99952_at	Chitinase 3-like 1	Chi3I1	1.64	1.00E-04
95611_at	Lipoprotein lipase	Lpl	1.58	7.92E-05
93810_at	Cathepsin D	Ctsd	1.58	8.00E-07
161458_at	Coagulation factor VII	F7	1.54	2.21E-05
94747_at	Colony-stimulating factor 2 receptor, h 1, low affinity (granulocyte-macrophage)	Cst2rb1	1.47	2.11E-05
103070_at	Protein tyrosine phosphatase, nonreceptor type substrate 1	Sirpa	1.46	4.57E-05
98543_at	Cathepsin S	Ctss	1.44	1.50E-05
101851_at	CD200 antigen	Cd200	1.43	1.10E-05
161819_f_at	Lysosomal-associated protein transmembrane 5	Laptm5	1.43	3.77E-05
104300_at	IQ motif containing GTPase-activating protein 1 (lqgap1), mRNA	Iqgap1	1.4	8.00E-05
94056_at	Stearoyl-CoA desaturase 1	Scd1	1.37	7.60E-06
103210_at	Colony-stimulating factor 2 receptor, h 2, low affinity (granulocyte-macrophage)	Csf2rb2	1.35	1.07E-05
94713_at	Myosin Vlla	Myo7a	1.33	2.40E-06
92232_at	Suppressor of cytokine signaling 3	Socs3	1.31	9.02E-05
101389_at	Scavenger receptor class B, member 2	Scarb2	1.31	1.29E-05
96657_at	Spermidine/spermine N1-acetyl transferase 1	Sat1	1.27	3.49E-05
103584_at	RIKEN cDNA 5830471E12 gene	5830471E12Rik	1.27	2.62E-05
100581_at	Cystatin B	Cstb	1.26	8.57E-05
100611_at	Lysozyme	Lyzs	1.16	1.47E-05
101585_at	Progesterone receptor membrane component 1	Pgrmc1	0.84	7.20E-06
102871_at	Eph receptor B6	Ephb6	0.75	4.58E-05
96812_at	Smoothened homologue (Drosophila)	Smo	0.75	1.50E-06
92448_s_at	Glial cell line–derived neurotrophic factor family receptor a 2	Gfra2	0.61	4.89E-05
92449_at	Glial cell line–derived neurotrophic factor family receptor a 2	Gfra2	0.52	2.01E-05
