Genbank	Gene name	Gene description	Ratios
AA170663	Igh-VJ558	immunoglobulin heavy chain (J558 family)	12.1
X67210	Igh-gamma2b	immunoglobulin heavy chain gamma 2b	9.3
AA170626	Igj	immunoglobulin joining chain	7.7
AJ223540		immunoglobulin kappa light chain V region DNA	5.8
X70423	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	5.8
X67210	Igh-gamma2b	immunoglobulin heavy chain gamma 2b	5.6
X03690	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	4.4
AA035875	Kel	Kell blood group	4.1
NM_008329	Ifi204	interferon activated gene 204	3.9
X14621	IgM	IgM (kappa)-light chain V-J(kappa)1	3.6
X67210	Igh-gamma2b	immunoglobulin heavy chain gamma 2b	3.5
J00475	Ig-alpha	Ig germline D-J-C region alpha gene and secreted tail	3.1
M63848	Lta4h	leukotriene A4 hydrolase	3.1
AJ011413	Alb1	albumin 1	3
AI325891	Hmbs	hydroxymethylbilane synthase	3
AA144790	Tcp1	t-complex protein 1	2.6
AA153675	Smc4l1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	2.6
AA199123	Polm	polymerase (DNA directed), mu	2.5
Z31555	Cct5	chaperonin subunit 5 (epsilon)	2.4
AI324947	Cct6a	chaperonin subunit 6a (zeta)	2.3
NM_008366	Il-2	interleukin 2	2.3
NM_053867	Tpt1	tumor protein, translationally-controlled 1	2.3
AI894365	Igfbp4	insulin-like growth factor binding protein 4	2.2
AA137982	Napa	N-ethylmaleimide sensitive fusion protein attachment protein alpha	2.2
U10903	Pdcd2	programmed cell death 2	2.1
L01062	Atp5alpha1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1	2.1
AA144221	2610528A15Rik	RIKEN cDNA 2610528A15 gene	2.1
X52622	In	Integrase of an endogenous retrovirus	2.1
BF661163	Spib	Spi-B transcription factor (Spi-1/PU,1 related)	2
X14194	Nid1	nidogen 1	2
Y00225	Rpl3	ribosomal protein L3	2
AA060386	Mll	myeloid/lymphoid or mixed-lineage leukemia	2
AI892736	Paics	phosphoribosylaminoimidazole carboxylase	2
D31717	Rpn2	ribophorin II	2
L25913	Cct4	chaperonin subunit 4 (delta)	2
M30856	Il2ralpha	interleukin 2 receptor, alpha chain	2
AI324812	Zfp334	zinc finger protein 334	2
AA064208	Gtf2h1	general transcription factor II H, polypeptide 1	1.9
M33934	Impdh2	inosine 5-phosphate dehydrogenase 2	1.9
Z22532	Sdc-1	syndecan-1	1.9
NM_012670	Tcp1	t-complex protein 1	1.9
AF026073	Sultn	N-sulfotransferase	1.9
X65627	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	1.9
NM_031816	Rbbp7	retinoblastoma binding protein 7	1.8
AI894102	Actr3	ARP3 actin-related protein 3 homolog (yeast)	1.8
AA124231	Nasp	nuclear autoantigenic sperm protein (histone-binding)	1.8
NM_022531	Des	desmin	1.8
AW214939	Adprt1	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase) 1	1.8
AF073992	Hnrpu	heterogeneous nuclear ribonucleoprotein U	1.8
L01062	Atp5alpha1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1	1.7
AA145795	Mx2	myxovirus (influenza virus) resistance 2	1.7
AA122613	Tfam	transcription factor A, mitochondrial	1.7
AA155514	Tctex1	t-complex testis expressed 1	1.7
AI892871	1110012E06Rik	RIKEN cDNA 1110012E06 gene	1.7
AI325635	Hnrpu	heterogeneous nuclear ribonucleoprotein U	1.7
AB022053	Prep	prolyl oligopeptidase	1.7
NM_019932	PF4	platelet factor 4	1.7
U72519	Evl	Ena-vasodilator stimulated phosphoprotein	1.7
D85561	Psmb10	proteasome (prosome, macropain) subunit, beta type 10	1.7
U52951	Ezh-2	enhancer of zeste homolog 2 (Drosophila)	1.7
X13661	Eef1alpha1	eukaryotic translation elongation factor 1 alpha 1	1.7
AA168612	Eif3s7	eukaryotic translation initiation factor 3, subunit 7 (zeta)	1.6
AI893755	Camk2delta	calcium/calmodulin-dependent protein kinase II, delta	1.6
L01062	Atp5alpha1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1	1.6
NM_012495	Aldoa	aldolase A	1.6
M21285	Scd	stearoyl-CoA desaturase gene	1.6
AA516777	Rad50	RAD50 homolog (S, cerevisiae)	1.6
AF041060	Grpel2	GrpE-like 2, mitochondrial	1.6
U84725	Gata5	GATA binding protein 5	1.6
AA153570	Dnajc3	DnaJ (Hsp40) homolog, subfamily C, member 3	1.6
NM_017184	Tnni1	Troponin I, slow isoform	1.6
NM_022297	Ddah1	dimethylarginine dimethylaminohydrolase 1	1.6
M36829	Hspcb	heat shock protein 1, beta	1.6
M73329	Grp58	glucose regulated protein	1.5
U88328	Socs3	suppressor of cytokine signaling 3	1.5
AA138127	Ap1m1	adaptor-related protein complex AP-1, mu subunit 1	1.5
AA065915	Ppp2cb	protein phosphatase 2a, catalytic subunit, beta isoform	1.5
D63378	Grp58	glucose regulated protein	1.5
M29697	Il7R	interleukin 7 receptor	1.5
BE623544	Mox2	mesenchyme homeobox 2	1.5
U62105	Frg1	FSHD region gene 1	1.5
NM_053297	Pkm2	pyruvate kinase, muscle	1.5
NM_058213	Atp2a1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	1.4
AF033566	Clk4	CDC like kinase 4	1.4
D85137	Ppp1cc	protein phosphatase 1, catalytic subunit, gamma isoform	1.4
NM_022397	Hnrpf	ribonucleoprotein F	1.4
AA138824	Cpeb1	cytoplasmic polyadenylation element binding protein 1	1.4
Z49204	Nnt	nicotinamide nucleotide transhydrogenase	1.4
AA125191	Hspa4	heat shock protein 4	1.4
L20048	Il2rgamma	interleukin 2 receptor, gamma chain	1.3
D90151	Hnrpab	heterogeneous nuclear ribonucleoprotein A/B	1.3
AB008183	Pcdha9	protocadherin alpha 9	1.3
J05287	Lamp2	lysosomal membrane glycoprotein 2	1.2
M84746	Il9r	interleukin 9 receptor	0.8
AA062335	Raf1	v-raf-1 leukemia viral oncogene 1	0.8
NM_053584	Gosr1	golgi SNAP receptor complex member 1	0.7
AA034812	Arf1	ADP-ribosylation factor 1	0.7
AF140683	Fbxw2	F-box and WD-40 domain protein 2	0.7
AA047975	Wasl	Wiskott-Aldrich syndrome-like (human)	0.6
AA168635	Dct	dopachrome tautomerase	0.6
AA152673	Bcl6	B-cell leukemia/lymphoma 6	0.6
AA146487	Ccndbp1	cyclin D-type binding-protein 1	0.6
AI385627	Siat8d	sialyltransferase 8 (alpha-2, 8-sialyltransferase) D	0.6
L08115	CD9	CD9 antigen	0.6
AI326777	Serpinh1	serine (or cysteine) proteinase inhibitor, clade H, member 1	0.6
