Probe set	Gene symbol	SAM	P of WRS	Ratio USPC/NEC	Title
1713_s_at	CDKN2Aa	10.592	0.0027	101.9077377	Cyclin-dependent kinase inhibitor 2A (melanoma, p16)
36288_at	KRTHB1	4.573	0.0027	77.3983986	Keratin, hair, basic, 1
33272_at	SAA1	3.778	0.0063	45.74937337	Serum amyloid A1
41294_at	KRT7	7.173	0.0027	41.46788873	Keratin 7
32154_at	TFAP2A	7.637	0.0027	32.47929396	Transcription factor AP-2 alpha
31610_at	MAP17	3.621	0.0093	30.28302802	Membrane-associated protein 17
408_at		4.07	0.0063	30.14111158
32821_at	LCN2	5.126	0.0027	27.69975608	Lipocalin 2 (oncogene 24p3)
35174_i_at	EEF1A2	2.84	0.0278	26.80482891	Elongation factor 1 alpha 2
38551_at	L1CAM	3.115	0.0196	25.60938089	L1 cell adhesion molecule
38249_at	VGLL1	5.274	0.0027	24.69495091	Vestigial like 1 (Drosophila)
35879_at	GAL	5.594	0.0027	23.48953559	Galanin
36838_at	KLK10	3.455	0.0136	23.17518549	Kallikrein 10
38299_at	IL6	3.63	0.0041	19.05873079	Interleukin 6 (interferon, beta 2)
38051_at	MAL	4.878	0.0041	17.51555106	mal, T-cell differentiation protein
41469_at	PI3	2.854	0.0063	16.90464558	Protease inhibitor 3, skin-derived (SKALP)
40412_at	PTTG1	5.218	0.0027	16.61222352	Pituitary tumour-transforming 1
1886_at	WNT7A	3.544	0.0196	16.11519778	Wingless-type MMTV integration site family, member 7A
33128_s_at	CST6	4.222	0.0136	15.97856318	Cystatin E/M
38414_at	CDC20	7.317	0.0027	15.64601435	CDC20 cell division cycle 20 homolog (S. cerevisiae)
34012_at	KRTHA4	2.411	0.0278	15.37247475	Keratin, hair, acidic, 4
37554_at	KLK6	3.785	0.0093	15.23781352	Kallikrein 6 (neurosin, zyme)
1802_s_at	ERBB2	2.566	0.0136	14.52012028	v-erb-b2
41060_at	CCNE1	6.092	0.0027	14.16647068	Cyclin E1
36837_at	KIF2C	6.13	0.0027	14.1328483	Kinesin family member 2C
34213_at	KIBRA	5.301	0.0027	13.27228177	KIBRA protein
1651_at	UBE2C	5.554	0.0027	12.87617243	Ubiquitin-conjugating enzyme E2C
35276_at	CLDN4	6.381	0.0027	12.74825421	Claudin 4
36990_at	UCHL1	4.623	0.0027	12.30505908	Ubiquitin carboxyl-terminal esterase L1
35977_at	DKK1	4.495	0.0041	12.25382636	Dickkopf homolog 1 (Xenopus laevis)
36113_s_at	TNNT1	4.072	0.0027	11.93824813	Troponin T1, skeletal, slow
2011_s_at	BIK	3.451	0.0063	11.66959681	BCL2-interacting killer (apoptosis-inducing)
543_g_at	CRABP1	3.193	0.0093	11.55494382	Cellular retinoic acid binding protein 1
34852_g_at	STK6	6.225	0.0027	11.51812047	Serine/threonine kinase 6
33483_at	NMU	4.094	0.0027	11.42057993	Neuromedin U
39109_at	TPX2	6.162	0.0027	11.29208457	TPX2, microtubule-associated protein homologue
37018_at	HIST1H1C	2.27	0.0278	10.74270622	Histone 1, H1c
1165_at	IL18	3.221	0.0041	10.65596528	Interleukin 18 (interferon-gamma-inducing factor)
36477_at	TNNI3	2.867	0.0136	10.61101382	Troponin I, cardiac
572_at	TTK	3.72	0.0093	9.723902052	TTK protein kinase
31542_at	FLG	2.622	0.0196	9.600831601	Filaggrin
35937_at	MICB	4.238	0.0093	9.460109582	MHC class I polypeptide-related sequence B
36155_at	SPOCK2	2.278	0.0278	9.216570003	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
32186_at	SLC7A5	4.149	0.0063	9.121679665	Solute carrier family 7 (cationic amino-acid transporter, y+ system), member 5
35766_at	KRT18	5.933	0.0027	9.01220054	Keratin 18
35822_at	BF	3.267	0.0063	8.952514469	B-factor, properdin
35714_at	PDXK	6.55	0.0027	8.898191704	Pyridoxal (pyridoxine, vitamin B6) kinase
1369_s_at		2.679	0.0196	8.773380878
40079_at	RAI3	4.516	0.0063	8.626843209	Retinoic acid induced 3
37168_at	LAMP3	2.838	0.0136	8.616807346	Lysosomal-associated membrane protein 3
39704_s_at	HMGA1	5.322	0.0027	8.597894471	High-mobility group AT-hook 1
1887_g_at	WNT7A	3.003	0.0196	8.491813649	Wingless-type MMTV integration site family, member 7A
36929_at	LAMB3	5.77	0.0027	8.354149098	Laminin, beta 3
527_at	CENPA	6.126	0.0027	8.32992789	Centromere protein A, 17 kDa
