Affymetrix ID	Symbol	Gene name	PAX-FKHR regulation
209460_at	ABAT	4-Aminobutyrate aminotransferase	Up
214895_s_at	ADAM10	A disintegrin and metalloproteinase domain 10	Up
208212_s_at	ALK	Anaplastic lymphoma kinase (Ki-1)	Up
202920_at	ANK2	Ankyrin 2, neuronal	Up
202207_at	ARL7	ADP-ribosylation factor-like 7	Up
207076_s_at	ASS	Argininosuccinate synthetase	Up
205444_at	ATP2A1	ATPase, Ca2+ transporting, cardiac muscle, fast twitch 1	Down
205431_s_at	BMP5	Bone morphogenetic protein 5	Up
216598_s_at	CCL2	Chemokine (C-C motif) ligand 2	Down
201005_at	CD9	CD9 antigen (p24)	Up
212977_at	CMKOR1	Chemokine orphan receptor 1	Up
209082_s_at	COL18A1	Collagen, type XVIII, ? 1	Up
204850_s_at	DCX	Doublecortex; lissencephaly, X-linked (doublecortin)	Up
201581_at	DJ971N18.2	Hypothetical protein DJ971N18.2	Up
222154_s_at	DNAPTP6	DNA polymerase-transactivated protein 6	Up
204014_at	DUSP4	Dual-specificity phosphatase 4	Down
211237_s_at	FGFR4	Fibroblast growth factor receptor 4	Up
219147_s_at	FLJ20559	Chromosome 9 open reading frame 95	Up
203689_s_at	FMR1	Fragile X mental retardation 1	Up
203725_at	GADD45A	Growth arrest and DNA damage inducible, ?	Up
205848_at	GAS2	Growth arrest specific 2	Down
207145_at	GDF8	Growth differentiation factor 8	Down
209168_at	GPM6B	Glycoprotein M6B	Up
202455_at	HDAC5	Histone deacetylase 5	Up
205163_at	HUMMLC2B	Myosin light chain 2	Down
210095_s_at	IGFBP3	Insulin-like growth factor–binding protein 3	Down
203233_at	IL4R	Interleukin-4 receptor	Up
202794_at	INPP1	Inositol polyphosphate-1-phosphatase	Up
209185_s_at	IRS2	Insulin receptor substrate 2	Up
205902_at	KCNN3	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	Up
205968_at	KCNS3	Potassium voltage-gated channel, delayed rectifier, subfamily S, member 3	Up
205888_s_at	KIAA0555	Jak and microtubule-interacting protein 2	Up
205151_s_at	KIAA0644	KIAA0644 gene product	Down
212956_at	KIAA0882	KIAA0882 protein	Up
210102_at	LOH11CR2A	Loss of heterozygosity, 11, chromosomal region 2, gene A	Up
214110_s_at	LSP1	Similar to lymphocyte-specific protein 1	Up
208786_s_at	MAP1LC3B	Microtubule-associated protein 1 light chain 3?	Up
213256_at	3-Mar	Membrane-associated RING-CH protein III	Up
211042_x_at	MCAM	Melanoma cell adhesion molecule	Up
210794_s_at	MEG3	Maternally expressed 3	Up
203510_at	MET	Met proto-oncogene (hepatocyte growth factor receptor)	Up
205330_at	MN1	Meningioma (disrupted in balanced translocation) 1	Up
219038_at	MORC4	MORC family CW-type zinc finger 4	Up
209708_at	MOXD1	Monooxygenase, DBH-like 1	Down
209757_s_at	MYCN	V-myc myelocytomatosis viral-related oncogene, neuroblastoma	Up
206657_s_at	MYOD1	Myogenic factor 3	Up
203962_s_at	NEBL	Nebulette	Up
205113_at	NEF3	Neurofilament 3 (150-kDa medium)	Down
206089_at	NELL1	NEL-like 1 (chicken)	Up
204105_s_at	NRCAM	Neuronal cell adhesion molecule	Up
218162_at	OLFM3	Olfactomedin 3	Down
221969_at	PAX5	Paired box gene 5 (B-cell lineage-specific activator protein)	Up
219148_at	PBK	PDZ-binding kinase	Up
217996_at	PHLDA1	Pleckstrin homology-like domain, family A, member 1	Down
204612_at	PKIA	Protein kinase (cyclic AMP–dependent, catalytic) inhibitor ?	Down
201939_at	PLK2	Polo-like kinase 2 (Drosophila)	Down
210830_s_at	PON2	Paraoxonase 2	Up
211341_at	POU4F1	POU domain, class 4, transcription factor 1	Up
212680_x_at	PPP1R14B	Protein phosphatase 1, regulatory (inhibitor) subunit 14B	Up
203680_at	PRKAR2B	Protein kinase, cyclic AMP–dependent, regulatory, type II, ?	Up
213093_at	PRKCA	Protein kinase C, ?	Up
211373_s_at	PSEN2	Presenilin 2 (Alzheimers disease 4)	Up
202388_at	RGS2	Regulator of G-protein signaling 2, 24 kDa	Down
206850_at	RRP22	RAS-related on chromosome 22	Up
201739_at	SGK	Serum/glucocorticoid-regulated kinase	Up
203625_x_at	SKP2	S-phase kinase-associated protein 2 (p45)	Up
221489_s_at	SPRY4	Sprouty homologue 4 (Drosophila)	Down
212353_at	SULF1	Sulfatase 1	Up
212382_at	TCF4	Transcription factor 4	Down
216511_s_at	TCF7L2	Transcription factor 7-like 2 (T-cell-specific, HMG box)	Up
217853_at	TENS1	Tensin-like SH2 domain-containing 1	Up
202039_at	TIAF1	Transforming growth factor B1–induced antiapoptotic factor 1	Up
209656_s_at	TM4SF10	Transmembrane 4 superfamily member 10	Up
205123_s_at	TMEFF1	Transmembrane protein with epidermal growth factor–like and two follistatin-like domains	Up
202643_s_at	TNFAIP3	Tumor necrosis factor-?-induced protein 3	Up
205388_at	TNNC2	Troponin C2, fast	Down
202369_s_at	TRAM2	Translocation-associated membrane protein 2	Up
202478_at	TRIB2	Tribbles homologue 2	Down
221861_at	Unknown	Homo sapiens mRNA; cDNA DKFZp762M127	Up
201760_s_at	WSB2	WD repeat and SOCS box-containing protein 2	Up
201368_at	ZFP36L2	Zinc finger protein 36, C3H type-like 2	Down
