Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	Sam
201473_at	JUNB	Chr:19p13.2	NM_002229	5.416735	2.24341	inv(16)
205076_s_at	CRA	Chr:1q12-q21	NM_006697	6.315995	3.22102	inv(16)
221884_at	EVI1	Chr:3q24-q28	BE466525	6.271829	10.32762	M7
207550_at	MPL	Chr:1p34	NM_005373	5.930537	4.47217	M7
205883_at	ZNF145	Chr:11q23.1	NM_006006	4.254136	2.06452	M7
206674_at	FLT3	Chr:13q12	NM_004119	-4.2506	0.06605	M7
212678_at	NF1	Chr:17q11.2	AW054826	-5.20104	0.56561	MLL
201050_at	PLD3	Chr:19q13.2	NM_012268	8.386158	7.38278	MLL
214651_s_at	HOXA9	Chr:7p15-p14	U41813	7.879088	4.49362	MLL
203372_s_at	SOCS2	Chr:12q	AB004903	7.861571	3.59582	MLL
203373_at	SOCS2	Chr:12q	NM_003877	7.672725	3.49994	MLL
209905_at	HOXA9	Chr:7p15-p14	AI246769	6.889493	4.57773	MLL
205076_s_at	CRA	Chr:1q12-q21	NM_006697	4.008962	2.21204	MLL
202449_s_at	RXRA	Chr:9q34.3	NM_002957	5.907911	1.85148	MLL
211095_at	NF1	Chr:17q11.2	D12625	4.763843	2.275	t(15;17)
31845_at	ELF4	Chr:xq26	U32645	-6.72288	0.2419	t(15;17)
203490_at	ELF4	Chr:xq26	NM_001421	-5.62961	0.14255	t(15;17)
211300_s_at	TP53	Chr:17p13.1	K03199	-4.18426	0.51215	t(15;17)
218902_at	NOTCH1	Chr:9q34.3	NM_017617	-4.30109	0.59342	t(8;21)
207550_at	MPL	Chr:1p34	NM_005373	6.286183	4.5186	t(8;21)
204468_s_at	TIE	Chr:1p34-p33	NM_005424	4.211182	3.16735	t(8;21)
201010_s_at	TXNIP	Chr:1q21.2	NM_006472	4.173037	1.69994	t(8;21)
201009_s_at	TXNIP	Chr:1q21.2	AI439556	4.15605	1.82778	t(8;21)
203490_at	ELF4	Chr:xq26	NM_001421	-4.79986	0.32498	t(8;21)
31845_at	ELF4	Chr:xq26	U32645	-4.35119	0.52686	t(8;21)
