Gene symbol	Fold change	Gene title	UniGene
HSPA6	47	Heat shock 70 kDa protein 6 (HSP70B)	Hs.3268
GDF15	12	Growth differentiation factor 15	Hs.515258
GADD45B	9	Growth arrest and DNA-damage-inducible, beta	Hs.110571
HSPA1A/HSP A1B	8	Heat shock 70 kDa protein 1A/heat shock 70 kDa protein 1B	Hs.520028
CYR61	8	Cysteine-rich, angiogenic inducer, 61	Hs.8867
MAFF	8	v-maf musculoaponeurotic Fibrosarcoma oncogene homolog F (avian)	Hs.517617
BHLHB2	7	Basic helix–loop–helix domain containing, class B, 2	Hs.171825
SOD2	5	Superoxide dismutase 2, mitochondrial	Hs.487046
DUSP1	5	Dual specificity phosphatase 1	Hs.171695
KLHL24	5	Kelch-like 24 (Drosophila)	Hs.407709
ATF3	5	Activating transcription factor 3	Hs.460
PPP1R15A	4	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	Hs.76556
GEM	4	GTP-binding protein overexpressed in skeletal muscle	Hs.345139
CRYAB	4	Crystallin, alpha B	Hs.408767
DUSP5	3	Dual specificity phosphatase 5	Hs.2128
ID2/ID2B	3	Inhibitor of DNA binding 2, dominant-negative helix–loop–helix protein inhibitor of DNA binding 2B, dominant negative helix–loop–helix protein	Hs.556605
DDIT3	3	DNA-damage-inducible transcript 3	Hs.505777
MYC	3	v-myc myelocytomatosis viral oncogene homolog (avian)	Hs.202453
NFIL3	3	Nuclear factor, interleukin 3 regulated	Hs.79334
CTTN	3	Cortactin	Hs.206500
