ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue	log2(glo/brain_capillary)	Pvalue2
ENSMUSG00000040856	Delta-like protein precursor (DLK) (Preadipocyte factor 1) (Pre	MTG_602467820	3.84	0.00239	0.15	0.823
ENSMUSG00000029761	caldesmon 1; EST AI195384. [Source:RefSeq;Acc:NM_14557	gbctl04_plate8_A07	2.65	0.00239	0.25	0.711
ENSMUSG00000004891	nestin; intermediate filament protein. [Source:RefSeq;Acc:NM	gbctl04_plate16_P09	2.6	0.00264	-0.17	0.8
ENSMUSG00000031461	myomesin 2; skeletal muscle 165kD protein; skeletal muscle 1	6MTG_602470266	2.43	0.00295	1.45	0.0575
ENSMUSG00000053198	Periaxin. [Source:Uniprot/SWISSPROT;Acc:O55103]	gbctl04_plate16_N24	2.2	0.00436	1.32	0.0603
ENSMUSG00000054560	H-2 class I histocompatibility antigen, Q9 alpha chain precurs	MTG_602468080	2.01	0.00305	1.64	0.0784
ENSMUSG00000020218	Wnt inhibitory factor 1 precursor (WIF-1). [Source:Uniprot/SWI	SMTG_602139073	2	0.00246	1.2	0.0982
ENSMUSG00000034738	nitric oxide synthase trafficker; nostrin; Dab2-interacting protei	gbctl04_plate13_G08	1.98	0.01071	-0.06	0.945
ENSMUSG00000056708	immediate early response 5. [Source:RefSeq;Acc:NM_010500	MTG_602468272	1.91	0.01132	-0.82	0.0796
ENSMUSG00000044258	CTLA-2-beta protein precursor (Fragment). [Source:Uniprot/S	gbctl04_plate4_B23	1.85	0.01241	-0.86	0.395
ENSMUSG00000026728	Vimentin. [Source:Uniprot/SWISSPROT;Acc:P20152]	MTG_602469128	1.81	0.00272	0.44	0.324
ENSMUSG00000024451	ARF-GAP, RHO-GAP, ankyrin repeat and pleckstrin homolog	gbctl04_plate3_D05	1.79	0.00476	-0.96	0.059
ENSMUSG00000035954	Dedicator of cytokinesis protein 4. [Source:Uniprot/SWISSPR	gbctl04_plate8_L22	1.79	0.00315	0.97	0.217
ENSMUSG00000037679		MTG_602471444	1.77	0.00307	-0.34	0.437
ENSMUSG00000060570		gbctl04_plate6_E10	1.73	0.00434	1.1	0.201
ENSMUSG00000022454	Protein kinase C-binding protein NELL2 precursor (NEL-like p	gbctl04_plate15_F21	1.72	0.00421	0.75	0.192
ENSMUSG00000038175	myosin regulatory light chain interacting protein. [Source:RefS	gbctl04_plate10_K20	1.72	0.00516	0.78	0.0743
ENSMUSG00000039377	Homeobox protein HLX1. [Source:Uniprot/SWISSPROT;Acc:	MTG_602474015	1.72	0.00272	-0.08	0.879
ENSMUSG00000049775		gbctl04_plate4_H16	1.71	0.00516	-0.18	0.841
ENSMUSG00000058826		MTG_602475118	1.71	0.00525	0.26	0.587
ENSMUSG00000030605	Lactadherin precursor (Milk fat globule-EGF factor 8) (MFG-E	MTG_602467177	1.69	0.02871	-0.8	0.111
ENSMUSG00000063968	H-2 class I histocompatibility antigen, Q8 alpha chain precurs	MTG_602467004	1.69	0.00595	1.34	0.0507
ENSMUSG00000002504	Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (NHERF-2	)gbctl04_plate14_G16	1.68	0.00336	-0.3	0.557
ENSMUSG00000025902	Transcription factor SOX-17. [Source:Uniprot/SWISSPROT;A	MTG_602468677	1.67	0.00993	-0.96	0.313
ENSMUSG00000022090	PDZ and LIM domain 2; hypothetical protein MGC37634. [Sou	rMTG_602477137	1.66	0.01022	0.72	0.158
ENSMUSG00000024998	phospholipase C, epsilon. [Source:RefSeq;Acc:NM_019588]	MTG_602471769	1.66	0.01307	0.98	0.0316
ENSMUSG00000004951	Heat-shock protein beta-1 (HspB1) (Heat shock 27 kDa protei	MTG_602474453	1.64	0.01087	0.22	0.768
ENSMUSG00000027858	Tetraspanin 2 (Tspan-2). [Source:Uniprot/SWISSPROT;Acc:Q	9MTG_602472661	1.6	0.00495	0.91	0.0441
ENSMUSG00000018381	ABI gene family, member 3. [Source:RefSeq;Acc:NM_025659]	MTG_602473624	1.59	0.00272	0.02	0.974
ENSMUSG00000021806	Nidogen-2 precursor (NID-2) (Entactin-2). [Source:Uniprot/SW	gbctl04_plate7_F17	1.58	0.00346	-0.08	0.925
