Probe set	Gene symbol	GenBank	Description	FC AGC/EGC
37892_at	COL11A1	J04177	Collagen, type XI, alpha 1	19.12
217428_s_at	COL10A1	X98568	Collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	17.81
209955_s_at	FAP	U76833	Fibroblast activation protein, alpha	10.53
235458_at	HAVCR2	AW025572	Hepatitis A virus cellular receptor 2	9.83
204052_s_at	SFRP4	NM_003014	Secreted frizzled-related protein 4	7.46
226930_at	FNDC1	AI345957	Fibronectin type III domain containing 1	7.23
227140_at	INHBA	AI343467	Inhibin, beta A (activin A, activin AB alpha polypeptide)	6.84
209875_s_at	SPP1	M83248	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	6.82
205422_s_at	ITGBL1	NM_004791	Integrin, beta-like 1 (with EGF-like repeat domains)	6.21
226311_at	—	BF058422	Full-length cDNA clone CS0DI014YH21 of Placenta Cot 25-normalized of Homo sapiens (human)	6.2
222288_at	—	AI004009	Similar to CG9996-PA	6.13
231993_at	—	AK026784	CDNA: FLJ23131 fis, clone LNG08502	5.67
226237_at	COL8A1	AL359062	Collagen, type VIII, alpha 1	5.59
223122_s_at	SFRP2	AF311912	Secreted frizzled-related protein 2	5.53
203819_s_at	IMP-3	AU160004	IGF-II mRNA-binding protein 3	5.23
212464_s_at	FN1	X02761	Fibronectin 1	5.12
212353_at	SULF1	AI479175	Sulfatase 1	5.1
227995_at	—	AI051950	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)	5.06
225681_at	CTHRC1	AA584310	Collagen triple helix repeat containing 1	4.93
204457_s_at	GAS1	NM_002048	Growth arrest-specific 1	4.81
238383_at	LOC389429	AI857688	Hypothetical LOC389429	0.07
223447_at	REG4	AY007243	Regenerating islet-derived family, member 4	0.11
214324_at	GP2	BF222483	Glycoprotein 2 (zymogen granule membrane)	0.14
209752_at	REG1A	AF172331	Regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)	0.14
205815_at	PAP	NM_002580	Regenerating islet-derived 3 alpha	0.16
209116_x_at	HBB	M25079	Hemoglobin, beta /// hemoglobin, beta	0.19
221132_at	CLDN18	NM_016369	Claudin 18	0.19
220421_at	BTNL8	NM_024850	Butyrophilin-like 8	0.2
242601_at	LOC253012	AA600175	Hypothetical protein LOC253012	0.2
206262_at	ADH1C	NM_000669	Alcohol dehydrogenase 1C (class I), gamma polypeptide	0.21
214476_at	TFF2	NM_005423	Trefoil factor 2 (spasmolytic protein 1)	0.21
207200_at	OTC	NM_000531	Ornithine carbamoyltransferase	0.21
202785_at	NDUFA7	NM_005001	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	0.22
204705_x_at	ALDOB	NM_000035	Aldolase B, fructose-bisphosphate	0.23
238878_at	ARX	AA496211	Aristaless related homeobox	0.23
211357_s_at	ALDOB	BC005314	Aldolase B, fructose-bisphosphate	0.23
202996_at	POLD4	NM_021173	Polymerase (DNA-directed), delta 4	0.24
217564_s_at	CPS1	W80357	Carbamoyl-phosphate synthetase 1, mitochondrial	0.25
209458_x_at	HBA1/HBA2	AF105974	Hemoglobin, alpha 1 /// hemoglobin, alpha 1 /// hemoglobin, alpha 2 /// hemoglobin, alpha 2	0.25
228706_s_at	CLDN23	BF110053	Claudin 23	0.25
