Probe Set ID	Gene Symbol	Gene Title	Fold change([GFP+CD133+] vs [GFP-CD133-])	Regulation([GFP+CD133+] vs [GFP-CD133-])	Fold change([GFP-CD133+] vs [GFP-CD133-])	Regulation ([GFP-CD133+] vs [GFP-CD133-])	Fold change([GFP+CD133+] vs [GFP-CD133+])	Regulation([GFP+CD133+] vs [GFP-CD133+])
1460587_at	B230215L15Rik	RIKEN cDNA B230215L15 gene	22.872173	up	12.992955	up	1.7603521	up
1425415_a_at	Slc1a1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	17.062439	up	15.223341	up	1.1208076	up
1419017_at	Corin	corin	16.232973	up	11.480975	up	1.4139023	up
1441102_at	Prlr	prolactin receptor	14.866439	up	8.097313	up	1.8359721	up
1441165_s_at	Clstn2	calsyntenin 2	14.335894	up	13.384512	up	1.0710806	up
1439015_at	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1	13.358978	up	10.777525	up	1.2395217	up
1448556_at	Prlr	prolactin receptor	13.333096	up	6.981294	up	1.9098318	up
1437397_at	Prlr	prolactin receptor	12.657851	up	8.067635	up	1.5689669	up
1448299_at	Slc1a1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	12.374331	up	8.465256	up	1.4617788	up
1437075_at	Frmd3	FERM domain containing 3	11.8947735	up	6.1497307	up	1.9341942	up
1425853_s_at	Prlr	prolactin receptor	11.832083	up	6.3929825	up	1.8507922	up
1450440_at	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1	11.293593	up	8.138446	up	1.3876843	up
1444025_at	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3	11.012676	up	11.945966	up	1.0847468	down
1455374_at	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3	10.942614	up	13.159129	up	1.2025579	down
1456873_at	Clic5	chloride intracellular channel 5	10.906374	up	16.473608	up	1.5104569	down
1434685_at	D3Bwg0562e	DNA segment, Chr 3, Brigham & Womens Genetics 0562 expressed	10.280862	up	7.253521	up	1.4173616	up
1419606_a_at	Tnnt1	troponin T1, skeletal, slow	9.515718	up	6.1984887	up	1.5351676	up
1418106_at	Hey2	hairy/enhancer-of-split related with YRPW motif 2	9.456334	up	6.4561977	up	1.4646909	up
1439995_at	Nhedc2	Na+/H+ exchanger domain containing 2	9.184606	up	11.370607	up	1.2380072	down
1422053_at	Inhba	inhibin beta-A	8.911504	up	8.420851	up	1.0582664	up
1429592_at	Lhfpl3	lipoma HMGIC fusion partner-like 3	8.718134	up	9.383104	up	1.0762744	down
1430676_at	Col19a1	collagen, type XIX, alpha 1	8.709774	up	5.800813	up	1.5014749	up
1456901_at	Adamts20	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20	8.660414	up	15.150057	up	1.7493458	down
1418938_at	Dio2	deiodinase, iodothyronine, type II	8.5884	up	6.083142	up	1.4118361	up
1421468_at	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3	8.4050665	up	8.859234	up	1.0540351	down
1418599_at	Col11a1	collagen, type XI, alpha 1	8.070658	up	6.9272103	up	1.1650659	up
1440343_at	Rps6ka5	ribosomal protein S6 kinase, polypeptide 5	8.066398	up	4.0798635	up	1.9771245	up
1449154_at	Col11a1	collagen, type XI, alpha 1	8.020619	up	7.72833	up	1.0378206	up
1455087_at	D7Ertd715e	DNA segment, Chr 7, ERATO Doi 715, expressed	7.9840345	up	11.308788	up	1.4164252	down
1422158_at	Clstn2	calsyntenin 2	7.8163266	up	8.267417	up	1.0577112	down
1451827_a_at	Nox4	NADPH oxidase 4	7.7806134	up	6.4552975	up	1.2053066	up
1421698_a_at	Col19a1	collagen, type XIX, alpha 1	7.6134605	up	6.844021	up	1.1124252	up
1416687_at	Plod2	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	7.590437	up	4.0823812	up	1.8593162	up
1427528_a_at	Epha7	Eph receptor A7	7.307624	up	3.8770463	up	1.8848431	up
1442924_at			7.081991	up	4.5585027	up	1.5535784	up
1444749_at		Transcribed locus	6.994862	up	3.7503917	up	1.8651017	up
1427247_at	D3Bwg0562e	DNA segment, Chr 3, Brigham & Womens Genetics 0562 expressed	6.825062	up	5.09569	up	1.3393793	up
1443224_at	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	6.757628	up	4.6998014	up	1.437854	up
1426034_a_at	Runx2	runt related transcription factor 2	6.69797	up	7.3172903	up	1.092464	down
1424581_at	Stac2	SH3 and cysteine rich domain 2	6.5899305	up	4.640032	up	1.4202338	up
1449374_at	Pipox	pipecolic acid oxidase	6.522447	up	4.746039	up	1.3742927	up
1440990_at	Kif26b	kinesin family member 26B	6.4636216	up	7.741018	up	1.1976285	down
1417568_at	Ncald	neurocalcin delta	6.367159	up	4.430381	up	1.4371585	up
1424127_at	Eya2	eyes absent 2 homolog (Drosophila)	6.0429697	up	3.7740047	up	1.6012089	up
1439543_at	1110064A23Rik	RIKEN cDNA 1110064A23 gene	6.011865	up	6.8151703	up	1.13362	down
1431050_at	Rps6ka5	ribosomal protein S6 kinase, polypeptide 5	6.0039134	up	4.556413	up	1.3176839	up
1419458_at	Rgnef	Rho-guanine nucleotide exchange factor	5.971981	up	6.406593	up	1.072775	down
1424704_at	Runx2	runt related transcription factor 2	5.9156184	up	6.2666435	up	1.0593387	down
1425389_a_at	Runx2	runt related transcription factor 2	5.895806	up	6.357141	up	1.078248	down
