EGID	SYMBOL	GENENAME	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
492	ATP2B3	ATPase, Ca++ transporting, plasma membrane 3	207026_s_at	2.13	3.92	10.3	0	0	15.82
84701	COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	232761_at	2.88	5.04	9.44	0	0	13.97
283143	LOC283143	hypothetical protein LOC283143	239675_at	1.32	3.12	8.29	0	0	11.34
414	ARSD	arylsulfatase D	232423_at	2.05	4.39	8.22	0	0	11.16
2261	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	204379_s_at	5.25	4.69	8.15	0	0	10.99
10417	SPON2	spondin 2, extracellular matrix protein	218638_s_at	1.5	4.7	8.11	0	0	10.9
	NA	NA	1556749_at	1.21	2.95	8.08	0	0	10.82
4438	MSH4	mutS homolog 4 (E. coli)	210533_at	1.48	2.97	7.98	0	0	10.6
11211	FZD10	frizzled homolog 10 (Drosophila)	219764_at	2.53	3.5	7.67	0	0	9.84
8239	USP9X	ubiquitin specific peptidase 9, X-linked	201100_s_at	1.14	10.35	7.62	0	0	9.7
169611	OLFML2A	olfactomedin-like 2A	213075_at	2.36	4.87	6.89	0	0	7.86
1028	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	213183_s_at	2.68	4.49	6.78	0	0	7.58
57142	RTN4	reticulon 4	1556049_at	1.87	6.07	6.77	0	0	7.54
23177	CEP68	centrosomal protein 68kDa	212677_s_at	1.83	7.24	6.54	0	0	6.93
283131	TncRNA	trophoblast-derived noncoding RNA	234989_at	4.39	5.99	6.43	0	0	6.65
9378	NRXN1	neurexin 1	237535_x_at	1.39	4.94	6.38	0	0	6.53
1299	COL9A3	collagen, type IX, alpha 3	204724_s_at	3.83	4.52	6.36	0	0	6.46
79364	ZXDC	ZXD family zinc finger C	230106_at	1.3	6.29	6.35	0	0	6.44
4986	OPRK1	opioid receptor, kappa 1	207553_at	2.5	4.2	6.34	0	0	6.41
64856	VWA1	von Willebrand factor A domain containing 1	218731_s_at	1.52	5.42	6.28	0	0	6.27
26576	SRPK3	SFRS protein kinase 3	206216_at	2.22	5.53	6.27	0	0	6.22
1471	CST3	cystatin C (amyloid angiopathy and cerebral hemorrhage)	201360_at	1.87	9.07	6.24	0	0	6.16
331	XIAP	X-linked inhibitor of apoptosis	225858_s_at	1.33	8.35	6.21	0	0	6.06
8228	PNPLA4	patatin-like phospholipase domain containing 4	209739_s_at	2.95	4.69	6.18	0	0	6
7767	ZNF224	zinc finger protein 224	216983_s_at	1.56	6.43	6.18	0	0	5.99
3911	LAMA5	laminin, alpha 5	210150_s_at	1.82	6.51	6.07	0	0	5.71
