ProbeSetID	Symbol	Cytoband	strWlcxn	P-value	FDR
204014_at	DUSP4	8p12-p11	-6.679	2.40E-11	5.34E-07
201983_s_at	EGFR	7p12	6.412	1.43E-10	1.31E-06
49485_at	PRDM4	12q23-q24.1	-6.381	1.76E-10	1.31E-06
204015_s_at	DUSP4	8p12-p11	-6.190	6.01E-10	2.78E-06
218329_at	PRDM4	12q23-q24.1	-6.184	6.25E-10	2.78E-06
201984_s_at	EGFR	7p12	6.133	8.62E-10	3.19E-06
201266_at	TXNRD1	12q23-q24.1	-6.044	1.50E-09	4.39E-06
202680_at	GTF2E2	8p21-p12	-6.032	1.62E-09	4.39E-06
221958_s_at	GPR177	1p31.3	6.012	1.83E-09	4.39E-06
221949_at	MGC13098	7p13	6.000	1.98E-09	4.39E-06
212256_at	GALNT10	5q33.2	5.905	3.54E-09	7.14E-06
207357_s_at	GALNT10	5q33.2	5.847	4.99E-09	8.53E-06
220622_at	LRRC31	3q26.2	5.847	4.99E-09	8.53E-06
211607_x_at	EGFR	7p12	5.771	7.87E-09	1.17E-05
217929_s_at	KIAA0319L	1p34.2	5.771	7.87E-09	1.17E-05
218259_at	MKL2	16p13.12	5.752	8.81E-09	1.22E-05
210255_at	RAD51L1	14q23-q24.2	5.698	1.21E-08	1.58E-05
213340_s_at	KIAA0495	1p36.32	5.689	1.28E-08	1.58E-05
215819_s_at	RHCE	1p36.11	5.670	1.43E-08	1.67E-05
205425_at	HIP1	7q11.23	5.638	1.72E-08	1.91E-05
51774_s_at	MGC13098	7p13	5.600	2.15E-08	2.25E-05
220756_s_at	GPR172B	17p13.2	5.593	2.23E-08	2.25E-05
210984_x_at	EGFR	7p12	5.581	2.39E-08	2.30E-05
209295_at	TNFRSF10B	8p22-p21	-5.574	2.48E-08	2.30E-05
206845_s_at	RNF40	16p11.2-p11.1	5.530	3.20E-08	2.74E-05
222190_s_at	C16orf58	16p11.2	5.530	3.20E-08	2.74E-05
221820_s_at	MYST1	16p11.2	5.492	3.98E-08	3.27E-05
204497_at	ADCY9	16p13.3	5.416	6.11E-08	4.84E-05
212904_at	LRRC47	1p36.32	5.397	6.79E-08	5.20E-05
217388_s_at	KYNU	2q22.2	-5.378	7.55E-08	5.59E-05
203225_s_at	RFK	9q21.13	-5.362	8.24E-08	5.90E-05
217478_s_at	HLA-DMA	6p21.3	5.333	9.65E-08	5.90E-05
217891_at	C16orf58	16p11.2	5.333	9.65E-08	5.90E-05
218947_s_at	PAPD1	10p11.23	-5.333	9.65E-08	5.90E-05
45526_g_at	FLJ14154	16p13.3	5.333	9.65E-08	5.90E-05
208306_x_at	HLA-DRB4	6p21.3	5.327	1.00E-07	5.90E-05
212206_s_at	H2AFV	7p13	5.327	1.00E-07	5.90E-05
213268_at	CAMTA1	1p36.31-p36.23	5.320	1.04E-07	5.90E-05
219615_s_at	KCNK5	6p21	5.320	1.04E-07	5.90E-05
220296_at	NA	NA	5.314	1.07E-07	5.95E-05
204076_at	ENTPD4	8p21.3	-5.282	1.28E-07	6.52E-05
205426_s_at	HIP1	7q11.23	5.282	1.28E-07	6.52E-05
220591_s_at	EFHC2	Xp11.3	5.276	1.32E-07	6.52E-05
220889_s_at	CA10	17q21	5.276	1.32E-07	6.52E-05
57082_at	LDLRAP1	1p36-p35	5.276	1.32E-07	6.52E-05
218356_at	FTSJ2	7p22	5.251	1.52E-07	7.32E-05
212313_at	CHMP7	8p21.3	-5.225	1.74E-07	8.22E-05
207253_s_at	UBN1	16p13.3	5.219	1.80E-07	8.33E-05
218394_at	ROGDI	16p13.3	5.193	2.06E-07	9.36E-05
221952_x_at	TRMT5	14q23.1	5.187	2.14E-07	9.49E-05
218823_s_at	KCTD9	8p21.1	-5.181	2.21E-07	9.58E-05
216317_x_at	RHCE	1p36.11	5.174	2.29E-07	9.58E-05
218165_at	C1orf149	1p35.3-p33	5.174	2.29E-07	9.58E-05
201287_s_at	SDC1	2p24.1	5.155	2.53E-07	1.00E-04
202595_s_at	LEPROTL1	8p21.2-p21.1	-5.155	2.53E-07	1.00E-04
201776_s_at	KIAA0494	1pter-p22.1	5.149	2.62E-07	1.00E-04
200940_s_at	RERE	1p36.2-p36.1	5.143	2.71E-07	1.00E-04
204454_at	LDOC1	Xq27	5.143	2.71E-07	1.00E-04
208152_s_at	DDX21	10q21	-5.136	2.80E-07	1.00E-04
210663_s_at	KYNU	2q22.2	-5.136	2.80E-07	1.00E-04
215603_x_at	GGT3	22q11.21	5.136	2.80E-07	1.00E-04
218120_s_at	HMOX2	16p13.3	5.136	2.80E-07	1.00E-04
201282_at	OGDH	7p14-p13	5.124	3.00E-07	1.04E-04
222130_s_at	FTSJ2	7p22	5.124	3.00E-07	1.04E-04
204144_s_at	PIGQ	16p13.3	5.105	3.32E-07	1.10E-04
208937_s_at	ID1	20q11	-5.105	3.32E-07	1.10E-04
220387_s_at	HHLA3	1p31.1	5.105	3.32E-07	1.10E-04
209312_x_at	HLA-DRB1	6p21.3	5.098	3.43E-07	1.12E-04
201802_at	SLC29A1	6p21.2-p21.1	5.092	3.55E-07	1.14E-04
213527_s_at	ZNF688	16p11.2	5.086	3.67E-07	1.16E-04
222000_at	C1orf174	1p36.32	5.079	3.79E-07	1.19E-04
208078_s_at	ZEB1	10p11.2	-5.073	3.92E-07	1.21E-04
202313_at	PPP2R2A	8p21.2	-5.016	5.28E-07	1.61E-04
215193_x_at	HLA-DRB1	6p21.3	5.009	5.46E-07	1.64E-04
218837_s_at	UBE2D4	7p13	5.006	5.55E-07	1.64E-04
208284_x_at	GGT1	22q11.23	4.997	5.83E-07	1.71E-04
213773_x_at	NSUN5	7q11.23	4.984	6.23E-07	1.80E-04
203512_at	TRAPPC3	1p34.3	4.978	6.44E-07	1.83E-04
58900_at	MGC13098	7p13	4.965	6.87E-07	1.93E-04
212599_at	AUTS2	7q11.22	4.959	7.10E-07	1.95E-04
35846_at	THRA	17q11.2	4.959	7.10E-07	1.95E-04
211972_x_at	RPLP0	12q24.2	-4.952	7.34E-07	1.99E-04
201756_at	RPA2	1p35	4.946	7.58E-07	2.00E-04
206813_at	CTF1	16p11.2-p11.1	4.946	7.58E-07	2.00E-04
202772_at	HMGCL	1p36.1-p35	4.940	7.83E-07	2.02E-04
212062_at	ATP9A	20q13.2	4.940	7.83E-07	2.02E-04
220299_at	SPATA6	1p33	4.933	8.09E-07	2.06E-04
201270_x_at	NUDCD3	7p13-p12	4.927	8.36E-07	2.06E-04
201841_s_at	HSPB1	7q11.23	4.927	8.36E-07	2.06E-04
202594_at	LEPROTL1	8p21.2-p21.1	-4.920	8.63E-07	2.06E-04
203365_s_at	MMP15	16q13-q21	4.920	8.63E-07	2.06E-04
203743_s_at	TDG	12q24.1	-4.920	8.63E-07	2.06E-04
204792_s_at	IFT140	16p13.3	4.914	8.92E-07	2.06E-04
208973_at	PRNPIP	1p32	4.914	8.92E-07	2.06E-04
212134_at	PHLDB1	11q23.3	4.914	8.92E-07	2.06E-04
219065_s_at	MEMO1	2p22-p21	-4.914	8.92E-07	2.06E-04
211417_x_at	GGT1	22q11.23	4.901	9.51E-07	2.18E-04
201173_x_at	NUDC	1p35-p34	4.895	9.83E-07	2.21E-04
212854_x_at	NBPF1	1p36.13	4.895	9.83E-07	2.21E-04
209094_at	DDAH1	1p22	4.889	1.01E-06	2.25E-04
203081_at	CTNNBIP1	1p36.22	4.882	1.05E-06	2.28E-04
218824_at	FLJ10781	19q13.32	4.882	1.05E-06	2.28E-04
201121_s_at	PGRMC1	Xq22-q24	4.876	1.08E-06	2.29E-04
215983_s_at	UBXD6	8p12-p11.2	-4.876	1.08E-06	2.29E-04
218121_at	HMOX2	16p13.3	4.876	1.08E-06	2.29E-04
