Accession no.	Gene symbol	Function	Fold difference in geometric means	F test P	Expression
X02751	HSNRASR	Oncogene	304.88	0.000274	Up-regulated
AI142565	RNASE 6	Transcription	78.79	2.26E-05	Up-regulated
U20350	V28	G protein-coupled receptor	29.09	0.000275	Up-regulated
AI660656	EST	Unknown	23.69	5.34E-06	Up-regulated
U04343	CD86	Costimulatory signal	12.62	0.000805	Up-regulated
AF070641	IGJ	Immunity	12.42	0.000308	Up-regulated
AF043722	Rap2	GEF/signaling	12.03	9.71E-05	Up-regulated
D21205	ERFP	Ubiquitin ligase/cell cycle	11.65	6x10-5	Up-regulated
S71326	BGPc / CEACAM1	Adhesion	11.56	3.86E-05	Up-regulated
X81438	amphiphysin	Synaptic vesicle protein	11.38	0.000535	Up-regulated
X04011	CGD	Metabolism	10.5	0.000728	Up-regulated
Y14737	IGHM	Immunity	9.68	0.000561	Up-regulated
AB013382	DUSP6	Signaling	9.52	6.95E-05	Up-regulated
U48807	DUSP4	Signaling	9.28	9.37E-05	Up-regulated
AL512715	GEF2	Signaling	8.98	3.14E-06	Up-regulated
Z54367	PLECTIN	Cytoskeleton	8.84	0.000168	Up-regulated
AB020689	KIAA0882	Unknown	8.45	0.000161	Up-regulated
M55067	NCF1	Metabolism	7.69	9.12E-06	Up-regulated
J04430	ACP5	Metabolism	7.42	0.000149	Up-regulated
AF055004	EST	Unknown	7	0.000496	Up-regulated
AB018278	SVB2	Synaptic vesicle transporter	6.96	0.000573	Up-regulated
AB002351	DMN	Cytoskeleton	6.85	0.000287	Up-regulated
M80335	p47-phox	Metabolism	6.78	0.000483	Up-regulated
M62397	MCC	Tumor supressor	6.62	0.00057	Up-regulated
X99802	ZYG	Unknown	6.34	3.46E-05	Up-regulated
V01512	cFos	Oncogene	304.43	3.38E-06	Down-regulated
M77349	TGFBI	Adhesion	140.46	0.000748	Down-regulated
M12125	TPM2	Cytoskeleton	77.33	0.000394	Down-regulated
X78947	IGFBP8	Signaling	67.11	3.58E-05	Down-regulated
X04430	IL6	Cytokine	64.43	0.000822	Down-regulated
J03464	COL1A2	ECM	56.21	0.000724	Down-regulated
K00650	c-Fos	Oncogene	54.48	1.84E-05	Down-regulated
D13666	OSF-2	ECM	52.91	3.28E-05	Down-regulated
J03040	Sparc	ECM	49.84	7.16E-05	Down-regulated
X52022	COL6A3	ECM	45.36	0.000489	Down-regulated
S77154	NR4A2	Signaling	38.75	3.19E-07	Down-regulated
X13839	ACTSA	Cytoskeleton	33.11	0.00033	Down-regulated
U03057	FSCN1	Cytoskeleton	30.31	0.000256	Down-regulated
M19267	TPM1	Cytoskeleton	29.27	3.27E-05	Down-regulated
X52947	GJA1	Gap junction	29.03	0.000323	Down-regulated
X68277	DUSP1	Signaling	27.11	4.62E-05	Down-regulated
M17733	TMSB4	Cytoskeleton	23.31	0.000299	Down-regulated
L19182	IGFBP7	Signaling	21.15	0.00024	Down-regulated
M35878	IGFBP3	Signaling	19.38	0.000308	Down-regulated
X75918	NR4A2	Signaling	19.09	0.000212	Down-regulated
AB029000	SULF1	Metabolism	18.51	9.69E-05	Down-regulated
AI557295	EST	Unknown	15.75	0.000395	Down-regulated
M58459	RPS4X	Translation	12.56	0.000231	Down-regulated
M33680	CD81	Membrane protein	11.87	0.000117	Down-regulated
