Affi ID	Gene abbreviation	CB 1 Fold Change	CB 2 Fold Change	PB 1 Fold Change	PB 2 Fold Change	Gene name	Function
1555372_at	BimL	1.39	1.52	0.61	0.42	BCL2-like 11 (apoptosis facilitator)	Apoptosis
237837_at	BCL2	1.27	1.32	0.49	0.73	B-cell CLL/lymphoma 2	Apoptosis
205681_at	BCL2A1	1.91	1.53	0.39	0.47	BCL2-related protein A1	Apoptosis
1558143_a_at	BCL2L11	1.68	1.74	0.32	0.32	BGL2-like 11 (apoptosis facilitator)	Apoptosis
228311_at	BCL6B	1.36	3.39	0.64	0.26	B-cell CLL/lymphoma 6, member B (zinc finger protein)	Apoptosis
215037_s_at	BCLX	2.56	1.27	0.73	0.56	BCL2-like 1	Apoptosis
224414_s_at	CARD6	2.65	1.34	0.56	0.66	Caspase recruitment domain family, member 6	Apoptosis
201631_s_at	IER3	1.62	2.95	0.38	0.31	Immediate early response 3	Apoptosis
218000_s_at	PHLDA1	2.34	1.21	0.53	0.79	Pleckstrin homology-like domain, family A, member 1	Apoptosis
209803_s_at	PHLDA2	2.87	1.32	0.31	0.68	Pleckstrin homology-like domain, family A. member 2	Apoptosis
203063_at	PPMIF	1.26	1.53	0.74	0.64	Protein phosphatase IF (PP2C domain containing)	Apoptosis
205214_at	STK17B	1.78	1.26	0.74	0.71	Serine/threonine kinase 17b (apoptosis-inducing)	Apoptosis
217853_at	TENS1	1.63	6	0.04	0.37	Tensin 1	Apoptosis
211861_x_at	CD28	1.35	1.41	0.49	0.65	CD28 antigen(Tp44)	B-and T-cell development
207892_at	CD40LG	3.67	1.32	0.45	0.68	C040 ligand (TNF superfamily, member 5, hyper-IgM syndrome)	B-and T-cell development
206914_at	CRTAM	2.76	1.6	0.4	0.36	Class I MHC-restricted T-cell-associated molecule	B-and T-cell development
210557_x_at	CSF1	3.79	1.22	0.78	0.7	Colony-stimulating factor 1 (macrophage)	B-and T-cell development
210229_s_at	CSF2	1.28	2.67	0.69	0.72	Colony-stimulating factor 2 (granulocyte–macrophage)	B-and T-cell development
205159_at	CSF2RB	2.33	1.6	0.18	0.4	Colony-stimulating factor 2 receptor	B-and T-cell development
231794_at	CTLA4	1.39	1.26	0.74	0.44	Cytotoxic T-lymphocyte-associated protein 4	B-and T-cell development
204232_at	FCER1G	1.63	2.14	0.28	0.37	Fc fragment of IgE, high affinity 1, receptor for; gamma polypeptide	B-and T-cell development
210439_at	ICOS	1.38	1.34	0.57	0.66	Inducible T-cell costimulator	B-and T-cell development
210354_at	IFNG	1.48	1.92	0.46	0.52	Human mRNA for HuIFN -gamma interferon	B-and T-cell development
230536_at	PBX4	1.48	1.26	0.5	0.74	Pre-B-cell leukaemia transcription factor 4	B-and T-cell development
215540_at	TCRA	1.25	1.87	0.67	0.75	T-cell antigen receptor alpha	B-and T-cell development
234440_al	TCRD	7.51	1.48	0.5	0.52	Human T-cell receptor delta-chain	B-and T-cell development
213497_at	ABTB2	2.06	1.34	0.66	0.63	Ankyrin repeat and BTB (POZ) domain containing 2	Cell growth and maintenance
201236_s_at	BTG2	1.6	1.23	0.6	0.77	BTG family, member 2	Cell growth and maintenance
235287_at	CDK6	1.5	1.32	0.44	0.68	Cyclin-dependent kinase 6	Cell growth and maintenance
209644_x_at	CDKN2A	2.9	1.21	0.67	0.79	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	Cell growth and maintenance
236313_at	CDKN2B	3.24	1.28	0.58	0.72	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Cell growth and maintenance
241984_at	CHES1	1.38	1.34	0.66	0.63	Checkpoint suppressor 1	Cell growth and maintenance
202552_s_at	CRIM1	1.94	1.39	0.32	0.61	Cysteine-rich transmembrane BMP regulator 1 (chordin-like)	Cell growth and maintenance
204844_at	ENPEP	1.64	1.75	0.09	0.36	Glutamyl aminopeptidase (aminopeptidase A)	Cell growth and maintenance
205418_at	FES	1.39	1.8	0.61	0.25	Feline sarcoma oncogene	Cell growth and maintenance
228572_at	GRB2	4.69	1.21	0.79	0.78	Growth factor receptor-bound protein 2	Cell growth and maintenance
207688_s_at	INHBC	1.46	1.25	0.51	0.75	Inhibin, beta C	Cell growth and maintenance
209744_x_at	ITCH	1.3	1.47	0.63	0.7	Itchy homolog E3 ubiquitin protein ligase (mouse)	Cell growth and maintenance
201548_s_at	JARID1B	1.27	1.92	0.73	0.46	Jumonji, AT-rich interactive domain IB (RBP2-like)	Cell growth and maintenance
203297_s_at	JARID2	1.42	1.28	0.54	0.72	Jumonji, AT-rich interactive domain 2	Cell growth and maintenance
41387_r_at	JMJD3	1.82	1.24	0.76	0.65	Jumonji domain containing 3	Cell growth and maintenance
205569_at	LAMP3	2.32	1.24	0.76	0.5	Lysosomal-associated membrane protein 3	Cell growth and maintenance
214039_s_at	LAPTM4B	1.41	1.49	0.49	0.59	Lysosomal-associated protein transmembrane 4 beta	Cell growth and maintenance
205857_x_at	MSH3	1.79	1.28	0.58	0.72	MutS homolog 3 (E. coli)	Cell growth and maintenance
