Probe set ID	Gene name	Gene symbol	Log2 R (B/N)	Log2 R (T/N)
204272_at	galectin 4	LGALS4	4.9	4.83
211429_s_at	Homo sapiens PRO2275 mRNA	unknown	4.26	4.7
201839_s_at	tumor-associated calcium signal transducer 1	TACSTD1	3.27	3.76
209008_x_at	keratin 8	KRT8	2.88	3
209173_at	anterior gradient 2 homolog (Xenopus laevis)	AGR2	2.87	3.25
213059_at	old astrocyte specifically induced substance	OASIS	2.76	2.97
212444_at	retinoic acid induced 3	RAI3	2.68	2.92
213036_x_at	ATPase, Ca++ transporting, ubiquitous	ATP2A3	2.67	1.89
210002_at	GATA binding protein 6	GATA6	2.65	3.43
212314_at	KIAA0746 protein	KIAA0746	2.58	3.03
200644_at	MARCKS-like protein	MLP	2.52	3
212110_at	KIAA0062	KIAA0062	2.4	2.98
205632_s_at	protein phosphatidylinositol-4-phosphate 5-kinase, type I, beta	PIP5K1B	2.32	2.52
209453_at	solute carrier family 9	SLC9A1	2.08	1.57
212311_at	KIAA0746 protein	KIAA0746	2.05	2.31
221766_s_at	chromosome 6 open reading frame 37	C6orf37	2.01	2.37
201206_s_at	ribosome binding protein 1 homolog 180kDa (dog)	RRBP1	2.01	2.54
217989_at	retinal short-chain dehydrogenase/reductase 2	RETSDR2	1.97	2.23
208891_at	dual specificity phosphatase 6	DUSP6	1.96	1.49
212143_s_at	insulin-like growth factor binding protein 3	IGFBP3	1.89	2.51
220532_s_at	LR8 protein	LR8	1.88	2.49
218113_at	transmembrane protein 2	TMEM2	1.86	1.92
204779_s_at	homeo box B7	HOXB7	1.83	2.54
208998_at	uncoupling protein 2	UCP2	1.81	2.72
210264_at	G protein-coupled receptor 35	GPR35	1.7	1.91
201954_at	actin related protein 2/3 complex, subunit 1B, 41kDa	ARPC1B	1.68	2.44
202901_x_at	cathepsin S	CTSS	1.62	2.4
219622_at	RAB20, member RAS oncogene family	RAB20	1.53	2.22
213811_x_at	transcription factor 3	TCF3	1.5	2.15
200972_at	tetraspan 3	TSPAN-3	1.49	1.5
218368_s_at	TNF receptor superfamily, member 12A	TNFRSF12A	1.49	1.41
203028_s_at	cytochrome b-245, alpha polypeptide	CYBA	1.47	2.05
208892_s_at	dual specificity phosphatase 6	DUSP6	1.47	1.2
216973_s_at	homeo box B7	HOXB7	1.44	2.14
212552_at	hippocalcin-like 1	HPCAL1	1.42	1.68
209270_at	laminin, beta 3	LAMB3	1.37	1.39
201204_s_at	ribosome binding protein 1 homolog	RRBP1	1.3	1.74
202180_s_at	major vault protein	MVP	1.3	1.48
201579_at	FAT tumor suppressor homolog 1	FAT	1.28	1.16
202369_s_at	translocation associated membrane protein 2	TRAM2	1.2	1.12
211799_x_at	major histocompatibility complex, class I, C	HLA-C	1.19	1.4
201301_s_at	annexin A4	ANXA4	1.19	1.65
221875_x_at	major histocompatibility complex, class I, F	HLA-F	1.19	1.74
203943_at	kinesin family member 3B	KIF3B	1.18	1.78
200599_s_at	tumor rejection antigen (gp96) 1	TRA1	1.17	1.52
201422_at	interferon, gamma-inducible protein 30	IFI30	1.16	2.04
214439_x_at	bridging integrator 1	BIN1	1.16	1.7
202838_at	fucosidase, alpha-L- 1, tissue	FUCA1	1.14	1.3
204806_x_at	major histocompatibility complex, class I, F	HLA-F	1.12	1.68
209295_at	TNF receptor superfamily, member 10b	TNFRSF10B	1.09	1.43
209635_at	adaptor-related protein complex 1, sigma 1 subunit	AP1S1	1.06	1.53
203038_at	protein tyrosine phosphatase, receptor type, K	PTPRK	1.04	1.39
218376_s_at	NEDD9 interacting protein	NICAL	1.02	1.64
210776_x_at	transcription factor 3	TCF3	1.01	1.46
217741_s_at	zinc finger protein 216	ZNF216	-1.02	-1.49
213005_s_at	kidney ankyrin repeat-containing protein	KANK	-1.02	-2.06
201851_at	SH3-domain GRB2-like 1	SH3GL1	-1.05	-1.39
220942_x_at	growth and transformation-dependent protein	E2IG5	-1.07	-1.55
219100_at	hypothetical protein FLJ22559	FLJ22559	-1.07	-1.77
