Probe Set ID	Gene	Ratio	95% Conf. Interval min	95% Conf. Interval max
204487_s_at	KCNQ1	85.5	49.19	148.61
206294_at	HSD3B2	41.06	16.09	104.74
204621_s_at	NR4A2	26.9	11.5	62.96
214630_at	CYP11B2	26.25	11.89	57.95
214321_at	NOV	24.45	10.81	55.27
209613_s_at	ADH1B	21.55	10.86	42.79
216248_s_at	NR4A2	19.21	8.47	43.56
204501_at	NOV	19.12	9.57	38.21
211959_at	IGFBP5	18.25	11.29	29.48
203523_at	LSP1	17.87	10.49	30.46
208606_s_at	WNT4	17.31	8.29	36.12
213764_s_at	MFAP5	15.66	4.33	56.63
204622_x_at	NR4A2	15.54	7.77	31.06
209496_at	RARRES2	14.26	6.73	30.2
202768_at	FOSB	14	4.76	41.19
217767_at	C3	13.74	7.22	26.16
211217_s_at	KCNQ1	13.65	6.4	29.08
202994_s_at	FBLN1	13.21	6.89	25.32
203131_at	PDGFRA	13.04	7.87	21.59
205969_at	AADAC	12.2	5.36	27.75
203798_s_at	VSNL1	11.97	6.02	23.8
203424_s_at	IGFBP5	11.08	6.62	18.54
204457_s_at	GAS1	10.99	5.27	22.92
213994_s_at	SPON1	10.83	3.91	30.01
211896_s_at	DCN	10.78	6.2	18.76
211597_s_at	HOP	10.65	6.5	17.47
209335_at	DCN	10.61	5.72	19.69
203766_s_at	LMOD1	9.96	5.15	19.28
209189_at	FOS	9.86	5.12	18.98
205083_at	AOX1	9.79	4.69	20.43
222073_at	---	9.52	5.99	15.13
219440_at	RAI2	9.43	5.51	16.14
204163_at	EMILIN1	9.4	5.04	17.55
218162_at	OLFML3	9.33	5.71	15.24
211571_s_at	CSPG2	9.25	3.77	22.68
219478_at	WFDC1	9.22	4.83	17.62
201893_x_at	DCN	9.17	5.73	14.69
211813_x_at	DCN	9.1	5.6	14.78
205382_s_at	DF	9.09	3.43	24.08
206638_at	HTR2B	9.08	2.69	30.64
204619_s_at	CSPG2	8.98	3.24	24.88
221731_x_at	CSPG2	8.91	4.21	18.84
203071_at	SEMA3B	8.9	4.4	17.99
215028_at	SEMA6A	8.68	5.03	14.99
201744_s_at	LUM	8.6	4.26	17.36
202340_x_at	NR4A1	8.34	5.51	12.64
218223_s_at	CKIP-1	8.31	4.57	15.14
211143_x_at	NR4A1	8.23	5.44	12.47
209612_s_at	ADH1B	8.18	4.79	13.97
220116_at	KCNN2	8.15	4.18	15.88
216598_s_at	CCL2	8.02	3.92	16.4
208404_x_at	---	7.95	5.2	12.15
204223_at	PRELP	7.91	4.36	14.35
219545_at	KCTD14	7.71	3.49	17.02
214622_at	CYP21A2	7.65	4.03	14.53
