Accession no.	Fold1	Gene name	Function
NM_000596	?2.12	IGF-binding protein 1	Insulin function
AB028973	?3.56	Myelin transcription factor 1	Transcription factor
D13891	?2.98	Inhibitor of DNA binding 2	Transcription factor
NM_003453	?2.85	Zinc finger protein 198	Transcription factor
BC002704	?4.21	Signal transducer and activator of transcription 1	Signal transduction
AF040752	?2.06	G protein-coupled receptor kinase 6	Signal transduction
NM_001827	?3.18	CDC28 protein kinase 2	Cell cycle
NM_002048	?2.01	Growth arrest-specific 1	Cell cycle
NM_001621	?3.91	Aryl hydrocarbon receptor	Apoptosis process
NM_003816	?2.34	A disintegrin and metalloproteinase domain 9	Membrane protein
BC000687	?2.62	Translocation associated membrane protein 1	Membrane protein
U48734	?4.32	Non-muscle alpha-actinin	Cytoskeleton molecule
NM_003174	?2.13	Supervillin	Cytoskeleton molecule
BC000914	?4.65	Splicing factor, arginine/serine-rich 3	mRNA splicing
NM_003020	?2.34	Secretory granule, neuroendocrine protein 1	Enzyme activator
NM_000942	?2.98	Peptidylprolyl isomerase B	Protein folding
